cite_key,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
ASAM2024ASAMOpenDRIVE,ground,NR,open_corridor,parametric_curve,NR,serialization,NR,NR,NR,NR,NR,NR,NR,OpenDRIVE XML,NR,NR,official specification version 1.8.1,https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.8.1/specification/index.html Section 9.2 Road reference line Figure 25 Table 18 planView and geometry,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the standard defines representation and gap-free geometry constraints but not a sampling procedure.
Althoff2017CommonRoadComposable,ground,autonomous road vehicle,road_network,NR,NR,serialization; benchmark_only,NR,NR,NR,NR,constructed scenarios; count NR,NR,NR,CommonRoad XML,NR,official benchmark and scenario assets documented,DOI; archived author manuscript,https://doi.org/10.1109/ivs.2017.7995802; https://web.archive.org/web/20180720100708id_/http://mediatum.ub.tum.de/doc/1379638/document.pdf pp. 2 and 5 Portability Section V.A Road Network Figure 4,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: composition is documented but a probability distribution over road geometries is NR.
Brockman2016OpenAIGym,ground,physics-based racing car,closed_track,tile_grid; sampled_centerline,constructive; stochastic_procedural,geometry_synthesis,NR,NR,NR,NR,per-episode randomized track; count NR,NR,Box2D environment,NR,official_open,open official source repository,arXiv record; pinned official Gym commit,https://arxiv.org/abs/1606.01540; https://github.com/openai/gym/commit/c17ac6cc55fda4be60548e2e05b54f22e83e2c1b paper Sections 3-4 and gym/envs/box2d/car_racing.py lines 22-29 and 134-171,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the general API is in the paper and track generation is documented in the authoritative companion implementation.
CARLA2021OpenDRIVEStandalone,ground,simulated road vehicle,road_network,NR,constructive,geometry_synthesis,NR,NR,NR,NR,NR,NR,CARLA,OpenDRIVE; generated road mesh and boundaries,NR,NR,official CARLA 0.9.12 documentation,https://carla.readthedocs.io/en/0.9.12/adv_opendrive/ OpenDRIVE standalone mode Run a standalone map Mesh generation client.generate_opendrive_world(),Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the API generates a world mesh from supplied geometry and does not select or sample the input road network.
DeVivo2023SpiraleSBFT,ground,road car,open_corridor,parametric_curve,constructive; search_evolutionary,geometry_synthesis; task_selection,NR,NR,NR,NR,NR,test-fitness objective,NR,NR,NR,NR,DOI; pinned public implementation archive,https://doi.org/10.1109/sbft59156.2023.00007; https://codeload.github.com/domenico-devivo/cps-tool-competition/tar.gz/d378dae5bfc8e5fe3b015a5b90119cabd74db23c spirale/README.md lines 5-12 and 27-38 and spirale/base.py lines 31-116,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: road points and evolutionary operations are exposed but no interchange file format is documented and official status is NR.
EUFS2023EUFSMaps,ground,Formula Student race car,closed_track,NR,NR,serialization,NR,NR,NR,NR,repository course set; count NR,NR,NR,EUFS course-map CSV,official_open,open official repository with map assets,pinned official repository source files,https://gitlab.com/eufs/public/eufs_maps; https://gitlab.com/eufs/public/eufs_maps/-/blob/ccd652da93bcd16b86d89ad1c68dcca440265cbb/include/eufs_maps/io/writer.hpp lines 38-82 README.md lines 1-12 and eufs_maps/competitions and eufs_maps/tracks,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the writer serializes maps but no general track-sampling algorithm is documented.
F1TENTH2021F1tenthF1tenth,ground,F1TENTH race car,closed_track,centerline_plus_width,NR,NR,NR,NR,NR,NR,repository course set; count NR,NR,NR,simulator map files; centerline and raceline and waypoint assets,official_open,open official repository with track assets,pinned official repository commit,https://github.com/f1tenth/f1tenth_racetracks; https://github.com/f1tenth/f1tenth_racetracks/commit/b95c4eff766f6367d66b310ea20cd2c9563712c0 README.md lines 1-2 and 24-64 and 68-71 BrandsHatch centerline lines 1-8,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the repository supplies tracks but does not document an algorithm that creates them.
Han2021PreliminaryEvaluation,ground,road car,road_network,NR,search_evolutionary,geometry_synthesis; mutation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DOI; archived author manuscript,https://doi.org/10.1109/SBST52555.2021.00020; https://web.archive.org/web/20211220135757id_/https://coinse.kaist.ac.kr/publications/pdfs/Han2021vp.pdf pp. 1-3 Introduction and Section II,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: AsFault is identified as the underlying builder but simulator and serialization details are NR.
Hwang2022NavigationScenario,maritime,maritime autonomous surface ship,waypoint_sequence,NR,NR,geometry_synthesis,NR,NR,NR,NR,"564,480 practical ordered scenarios",NR,NR,NR,NR,NR,DOI; publisher article,https://doi.org/10.3390/app12031651; https://www.mdpi.com/2076-3417/12/3/1651 Sections 2.1 and 2.4 and 3.3 Figure 5,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: practical scenarios are stated but the formal validity metric and released scenario format are NR.
Kabzan2019FSSIM,ground,Formula Student race car,NR,NR,human_designed,geometry_synthesis; serialization,NR,NR,NR,NR,NR,NR,FSSIM/ROS,FSSIM/ROS Track message interface,official_open,open official source repository,pinned official repository source files,https://github.com/AMZ-Racing/fssim; https://github.com/AMZ-Racing/fssim/blob/cf652d8d3f1e13031dad3fb75eb3d4e6fbaaeff4/fssim_rqt_plugins/rqt_fssim_track_editor/src/rqt_fssim_track_editor/track.py lines 117-135 and 187-235 and 302-360 and 399-419 fssim_common/msg/Track.msg lines 1-7,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: construction and serialization are exposed but a randomized track distribution is NR.
