candidate_id,cite_key,title,authors,year,venue,doi,url,source_type,discovery_stream,discovery_query,discovery_agent,screening_status,exclusion_reason,metadata_status,metadata_evidence,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
BAAM-A001,SongEtAl2021AutonomousDroneRacing,Autonomous Drone Racing with Deep Reinforcement Learning,Yunlong Song; Mats Steinweg; Elia Kaufmann; Davide Scaramuzza,2021,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS51168.2021.9636053,https://rpg.ifi.uzh.ch/docs/IROS21_Yunlong.pdf,conference paper,aerial,"""drone racing"" randomized tracks gate sequence reinforcement learning",blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2103.08624; https://rpg.ifi.uzh.ch/docs/IROS21_Yunlong.pdf,aerial racing,quadrotor,ordered racing gates,ordered 6-DoF gate poses; relative gate primitives,stochastic primitive concatenation; curriculum,generates random training tracks and unseen validation/test tracks,bounded relative gate position and orientation,gate count; track length 110-150 m; elevation change up to 17 m; safety margin,curriculum stage; crash count; success rate; lap time,100 unseen validation tracks; 1000 random test tracks; three difficulty levels,100 parallel configurations per iteration; random relative gate transforms; 5/15/30/35-gate curricula reported,Split-S 7 gates; AlphaPilot 11; AirSim 21; 1000 random configurations; 97.4% random-track success,Flightmare,in-memory gate pose sequence,NR,official_open,relative-pose sampling bounds; parallel environment count; gate counts; test counts; track extents,"https://rpg.ifi.uzh.ch/docs/IROS21_Yunlong.pdf, Secs. IV-C and V-C, Fig. 3, Tables I-II; https://github.com/uzh-rpg/flightmare, README and assets",Geometry generator is distinct from trajectory optimization and dynamics randomization. Paper-specific generator-code availability was not established from a row-specific official availability surface; public Flightmare code and assets are dependency resources. Explicit global self-intersection checking was not reported.
BAAM-A002,MadaanEtAl2020AirSimDroneRacingLab,AirSim Drone Racing Lab,Ratnesh Madaan; Nicholas Gyde; Sai Vemprala; Matthew Brown; Keiko Nagami; Tim Taubner; Eric Cristofalo; Davide Scaramuzza; Mac Schwager; Ashish Kapoor,2020,arXiv preprint; NeurIPS 2019 Game of Drones system,10.48550/arXiv.2003.05654,https://arxiv.org/abs/2003.05654,system paper,aerial,site:microsoft.com AirSim Drone Racing Lab generation racing tracks paper,blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2003.05654; https://www.microsoft.com/en-us/research/publication/airsim-drone-racing-lab/; https://github.com/microsoft/AirSim-NeurIPS2019-Drone-Racing; https://github.com/microsoft/AirSim-NeurIPS2019-Drone-Racing/releases,aerial racing,quadrotor,racing track; gate assets,Unreal environment; named gate objects and poses; race API,asset-based track construction,enables track generation in multiple photorealistic environments and race orchestration,gate assets and simulator collision geometry,NR,benchmark completion; collision; lap time,competition tracks and environments,NR,NeurIPS 2019 Game of Drones competition tracks,AirSim; Unreal Engine,Unreal level; named gate object poses,official_open,official_open,environment name; gate asset; gate pose; race settings,"https://arxiv.org/abs/2003.05654, abstract and Secs. III-IV; https://www.microsoft.com/en-us/research/publication/airsim-drone-racing-lab/, project resources; https://github.com/microsoft/AirSim-NeurIPS2019-Drone-Racing, README training-binary and environment-pak instructions; https://github.com/microsoft/AirSim-NeurIPS2019-Drone-Racing/releases, release notes and downloadable race-track assets","System provides construction mechanisms; paper does not establish a stochastic geometry distribution. Formal distribution size, seed handling, and portable interchange were not reported. The official Microsoft repository and releases expose source, binaries, environment pakfiles, and race-track assets; qualification binaries disable some object-pose and simulation-control APIs."
BAAM-A003,WangEtAl2025EnvironmentAsPolicy,Environment as Policy: Learning to Race in Unseen Tracks,Hongze Wang; Jiaxu Xing; Nico Messikommer; Davide Scaramuzza,2025,IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA55743.2025.11127376,https://arxiv.org/abs/2410.22308,conference paper,aerial,"""Environment as Policy: Learning to Race in Unseen Tracks"" ICRA 2025 paper",blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2410.22308; https://rpg.ifi.uzh.ch/env_as_policy/,aerial racing,quadrotor,ordered racing gates,per-environment ordered gate poses; environment-policy actions,learned adaptive environment shaping,secondary SAC policy modifies gate layouts to produce difficult-but-achievable training tracks,performance feedback from racing policy; bounded environment actions,track width 8-16 m; layout class,success rate; lap time; environment reward,six unseen named layouts; cross-layout generalization,one adaptive layout per parallel environment; policy-conditioned curriculum,2D Big S; Kidney; 3D Big S; 3D Figure 8; Twist; one additional project-page layout,Flightmare,in-memory gate poses,NR,NR,environment action definition; reward; parallelization; unseen-track names and widths,"https://arxiv.org/pdf/2410.22308, Secs. III-IV; https://rpg.ifi.uzh.ch/env_as_policy/, Fig. 8 and Evaluation","Generator is a learned task designer, not a racing-line optimizer. Project videos and illustrations are not counted as reusable assets; paper-specific code and reusable-asset availability are NR."
BAAM-A004,Liu2024ObstacleAwareDroneRacing,Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing,Yueqian Liu,2024,arXiv preprint,10.48550/arXiv.2411.04246,https://arxiv.org/abs/2411.04246,preprint,aerial,"""Learning generalizable policy for obstacle-aware autonomous drone racing""",blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2411.04246; https://github.com/ErcBunny/IsaacGymEnvs,aerial racing; cluttered navigation,quadrotor,waypoint/gate chain; walls; trees; orbital obstacles,ordered rectangular waypoint poses plus obstacle anchors,iterative relative-pose sampling; rule-based obstacle placement,randomizes track and obstacle configurations before every rollout,bounded five-parameter relative pose; environment-bound offset; obstacles anchored to segments and gates,waypoint size 1.4-2.0 m; relative distance 6-18 m; gate/obstacle counts; safety margin,four randomized difficulty levels; success; mean/max motor command; speed,512000 training environments; 400 evaluation tracks; 10 rollouts per track,512000 different environments over 1000 iterations; approximately 520M steps,four handcrafted tracks; four random levels with 100 tracks x 10 episodes each,Isaac Gym,Isaac Gym Python environment/configuration,official_open,official_open,five relative-pose bounds; waypoint-size range; obstacle recipes; training steps; evaluation repetitions,"https://arxiv.org/pdf/2411.04246, Sec. IV-A, Tables I-III, Figs. 6-9; https://github.com/ErcBunny/IsaacGymEnvs, README and environment implementation",Includes genuine geometry randomization; obstacle types are not merely visual domain randomization. An explicit self-intersection check was not reported.
BAAM-A005,YuEtAl2025MasteringDiverseTracks,"Mastering Diverse, Unknown, and Cluttered Tracks for Robust Vision-Based Drone Racing",Feng Yu; Yu Hu; Yang Su; Yang Deng; Linzuo Zhang; Danping Zou,2025,IEEE Robotics and Automation Letters accepted preprint,10.48550/arXiv.2512.09571,https://arxiv.org/abs/2512.09571,journal preprint,aerial,"site:arxiv.org ""Mastering Diverse, Unknown, and Cluttered Tracks""",blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2512.09571; https://yufengsjtu.github.io/MasterRacing.github.io/static/masterracing.pdf,aerial racing,quadrotor,gate track; clutter obstacles,ordered gate-track primitives; scene collision geometry,predefined track-primitive composition; random clutter,composes diverse racing layouts for training and adds clutter to hard-collision refinement,soft-collision then hard-collision phases; point-in-mesh/collision tests; adaptive noise curriculum,primitive family; gate error; clearance; speed,soft/hard collision phase; gate-position noise; success rate,zigzag; circular; U-shaped and unseen cluttered tracks,track-primitive generator during training; adaptive command-noise curriculum,simulation ablations; real zigzag/circular/U-shaped tracks,DiffLab on Isaac Lab,Isaac Lab scene/configuration,NR,NR,primitive definitions; collision phases; noise schedule; training/evaluation layouts,"https://yufengsjtu.github.io/MasterRacing.github.io/static/masterracing.pdf, Sec. III and Fig. 3; https://arxiv.org/abs/2512.09571, abstract",Final RA-L metadata and generator availability remain unverified. Project videos and the paper are not counted as reusable assets; code and course-asset availability are NR.
BAAM-A006,SunEtAl2026CurriculumQuadrotorRacing,Curriculum Reinforcement Learning for Quadrotor Racing with Random Obstacles,Fangyu Sun; Fanxing Li; Yu Hu; Linzuo Zhang; Yueqian Liu; Wenxian Yu; Danping Zou,2026,arXiv preprint,10.48550/arXiv.2602.24030,https://arxiv.org/abs/2602.24030,preprint,aerial,"""drone racing"" randomized tracks gate sequence reinforcement learning",blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2602.24030; https://github.com/SJTU-ViSYS-team/CRL-Drone-Racing,aerial racing,quadrotor,fixed gate track with randomized obstacles and gate perturbations,named fixed tracks; obstacle instances; perturbed gate positions,safe-margin random placement; multi-scene curriculum,randomizes obstacles and initial state on fixed layouts; tests bounded gate perturbation,obstacle safe margins; placement bounds; collision checks in simulator,2-5 obstacles per two gates; gate perturbation +/-0.3 to +/-1.0 m,obstacle-density stage; perturbation amplitude; success rate; lap time,three layouts; four perturbation levels; varied real obstacle placements,multi-stage curriculum and multi-scene updating,S-shaped; 3D Circle; J-shaped; 10 trials per simulation condition; three real trials per layout,VisFly; hardware-in-the-loop,NR,official_open,official_open,obstacle density; safe margin; perturbation levels; trial counts; track names,"https://arxiv.org/pdf/2602.24030, Sec. IV and Tables I-II; https://github.com/SJTU-ViSYS-team/CRL-Drone-Racing, README and course configuration","Track topology is fixed; generation role is obstacle geometry and small gate perturbation, not full track synthesis."
BAAM-A007,KrishnanEtAl2021AirLearning,Air Learning: a deep reinforcement learning gym for autonomous aerial robot visual navigation,Srivatsan Krishnan; Behzad Boroujerdian; William Fu; Aleksandra Faust; Vijay Janapa Reddi,2021,Machine Learning,10.1007/s10994-021-06006-6,https://link.springer.com/article/10.1007/s10994-021-06006-6,journal paper,aerial,site:arxiv.org Air Learning deep reinforcement learning gym aerial robot random obstacle environments,blind-aerial-maritime,candidate,NR,unverified,https://link.springer.com/article/10.1007/s10994-021-06006-6; https://github.com/harvard-edge/airlearning-rl; https://github.com/harvard-edge/airlearning-ue4,aerial agile navigation,quadrotor,arena; start/goal; static/dynamic obstacles,UE4 arena configuration; seeded object instances,configurable random environment generator,"generates arena size, goals, obstacle count/type/material/position and dynamic-obstacle speed",configuration validation; minimum obstacle distance; arena bounds,arena size; obstacle count; minimum distance; path length,no/static/dynamic levels; success; quality-of-flight energy/endurance/path length,100 shared random test configurations; five seeds,50 x 50 m; 0 obstacles or 5-10 static; 5 static plus up to 5 dynamic; positions/goals randomized per episode,three environments; 100 configurations each; five seeds,AirSim; Unreal Engine 4; OpenAI Gym,UE4 project and game configuration; seed,official_open,official_open,seed; arena bounds; obstacle ranges; update frequency; dynamic speed 1-2.5 m/s; test count,"https://link.springer.com/article/10.1007/s10994-021-06006-6, Secs. 4.1 and 6.1, Table 2, Fig. 3; https://github.com/harvard-edge/airlearning-rl, README and reinforcement-learning environment files; https://github.com/harvard-edge/airlearning-ue4, README installation, environment-generator, dependency, and release sections","Appearance knobs coexist with geometry knobs and are coded separately here. The official UE4 environment-generator repository is public, but it has no published releases and depends on a separate AirSim branch. Some README-referenced or promised external assets may be absent; asset completeness is not claimed."
BAAM-A008,KulkarniEtAl2025AerialGymSimulator,Aerial Gym Simulator: A Framework for Highly Parallelized Simulation of Aerial Robots,Mihir Kulkarni; Welf Rehberg; Kostas Alexis,2025,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3548507,https://arxiv.org/abs/2503.01471,journal paper,aerial,site:github.com/ntnu-arl aerial_gym procedurally generated environments paper,blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2503.01471; https://github.com/ntnu-arl/aerial_gym_simulator,aerial agile navigation,multirotor,goal-directed obstacle field,Isaac Gym environments; primitive obstacle actors; task configuration,GPU-parallel obstacle randomization,supports rapid randomized obstacle environments for navigation-policy training,configuration bounds; simulator collision geometry,obstacle count/density and dimensions configurable,task return; collision; goal completion; throughput,parallel environments and multiple navigation examples,large parallel batches with per-environment obstacle randomization,simulation studies and sim-to-real depth navigation,NVIDIA Isaac Gym,Python/YAML-style environment and task configuration; asset URDF,official_open,official_open,environment/task configs; asset lists; controller modes; randomization ranges,"https://arxiv.org/abs/2503.01471, framework and navigation examples; https://github.com/ntnu-arl/aerial_gym_simulator, README and environment configuration modules",Uses 2025 journal framework as final system record; 2023 precursor was conceptually deduplicated. The official repository reports a BSD-3-Clause license. Global connected-path checking was not reported.
BAAM-A009,YuEtAl2023AvoidBench,AvoidBench: A high-fidelity vision-based obstacle avoidance benchmarking suite for multi-rotors,Hang Yu; Guido C. H. E. de Croon; Christophe De Wagter,2023,IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48891.2023.10161097,https://arxiv.org/abs/2301.07430,conference paper,aerial,"""AvoidBench"" aerial robot benchmark obstacle generation",blind-aerial-maritime,candidate,NR,unverified,https://arxiv.org/abs/2301.07430; https://github.com/tudelft/AvoidBench,aerial agile navigation,multirotor,start-goal obstacle environment,Unity scene plus generated obstacle placement and start/goal,automatic benchmark-environment generation,generates environments with varying obstacle density and visual texture for repeatable benchmarking,traversability/start-goal feasibility checks reported; simulator collision geometry,obstacle density; relative gap size; normalized traversability; texture richness,environment complexity; success; path/energy optimality; velocity; compute,multiple generated complexity settings,not a training distribution; benchmark generation,EGO-Planner; MBPlanner; Agile-Autonomy comparisons plus real-world validation,RotorS; Unity3D,Unity scene/configuration; Dockerized benchmark outputs,official_open,official_open,environment metrics; algorithm settings; trial protocol; container,"https://arxiv.org/pdf/2301.07430, Secs. III-IV; https://github.com/tudelft/AvoidBench, README and benchmark configuration",Geometry and appearance metrics are both reported; only geometry fields define course difficulty here.
BAAM-A010,LoquercioEtAl2021HighSpeedFlight,Learning High-Speed Flight in the Wild,Antonio Loquercio; Elia Kaufmann; Rene Ranftl; Matthias Mueller; Vladlen Koltun; Davide Scaramuzza,2021,Science Robotics,10.1126/scirobotics.abg5810,https://www.science.org/doi/10.1126/scirobotics.abg5810,journal paper,aerial,"site:rpg.ifi.uzh.ch ""Learning High-Speed Flight in the Wild"" random environment obstacles",blind-aerial-maritime,candidate,NR,unverified,https://www.science.org/doi/10.1126/scirobotics.abg5810; https://rpg.ifi.uzh.ch/AgileAutonomy.html; https://github.com/uzh-rpg/agile_autonomy,aerial agile navigation,quadrotor,forest/primitive obstacle field; start-goal route,3D scene mesh; random obstacle field; reference trajectory,random forest and convex-obstacle environment construction,creates simulated obstacle distributions used to train perception-guided high-speed flight,collision-free reference trajectory and simulator collision checking; clearance constraints,obstacle density/clearance; path length; speed,collision-free success; speed; generalization from simulation to real forests,simulated forests and artificial convex-obstacle environments,large synthetic trajectory/image corpus in Flightmare,simulation; indoor clutter; outdoor forest deployments,Flightmare,Flightmare scenes; trajectory dataset formats,official_open,official_open,scene configuration; trajectory generation; training data; hardware and test environments,"https://www.science.org/doi/10.1126/scirobotics.abg5810, Methods and supplementary material; https://rpg.ifi.uzh.ch/AgileAutonomy.html, project data; https://github.com/uzh-rpg/agile_autonomy, README","Course role is obstacle-field distribution, not racing gates."
