candidate_id,artifact_id,artifact_role,source_url,evidence_version,evidence_retrieved_on,access_status,evidence_archive_url,evidence_sha256,local_filename,redistribution_status,retrieval_notes
C0001,provisional-metadata,metadata-only,https://sourceforge.net/projects/torcs/,unversioned@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official project/source endpoint  no v8 archived artifact.; outcome: metadata-only record requires acquisition
C0002,provisional-metadata,metadata-only,https://forge.a-lec.org/speed-dreams/speed-dreams-code,unversioned@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official code forge  no v8 archived artifact.; outcome: metadata-only record requires acquisition
C0003,provisional-metadata,metadata-only,https://doi.org/10.1016/j.asoc.2014.11.010,DOI-10.1016-j.asoc.2014.11.010,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  DOI/publisher record only.; outcome: metadata-only record requires acquisition
C0004,provisional-metadata,metadata-only,https://doi.org/10.1109/acii63134.2024.00034,DOI-10.1109-acii63134.2024.00034,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  IEEE record only.; outcome: metadata-only record requires acquisition
C0005,provisional-metadata,metadata-only,https://github.com/DiogoAABranco/Solid-Rally-Plus,repository-HEAD@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official repository  no v8 archived revision.; outcome: metadata-only record requires acquisition
C0006,primary-pdf,primary-report,https://arxiv.org/pdf/2012.13681,arXiv:2012.13681v2,2026-07-06,full_text,NR,35fab1daecfccb222c2feac79cc5b019ebdc99f9b1b8d0efa300cbe542606fa0,C0006/improving_generalization_procedural_generation_arxiv_2012.13681.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0007,provisional-metadata,metadata-only,https://www.asam.net/standards/detail/opendrive/,unversioned@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official standard landing page  specification text was not locally archived.; outcome: metadata-only record requires acquisition
C0008,primary-pdf,primary-report,https://arxiv.org/pdf/2303.17900,arXiv:2303.17900v2,2026-07-06,full_text,NR,a16724999de0aa16fbdd1ee5d178a77a1dbd7cdbf31ed7efeaa30b6c1aa518f8,C0008/complex_roundabouts_autonomous_vehicle_testing_arxiv_2303.17900.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0010,primary-pdf,primary-report,https://web-archive.southampton.ac.uk/cogprints.org/5221/1/Togelius2006Making.pdf,CogPrints 5221 (2006),2026-07-06,full_text,NR,61363a18d5bc8842654cdd49b656e8c0bee3a6aa6a3f185b92eb4a705bd61c97,C0010/making_racing_fun_player_modeling_track_evolution_cogprints.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0012,provisional-metadata,metadata-only,https://doi.org/10.4018/ijamc.350330,DOI-10.4018-ijamc.350330,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  DOI/publisher record only.; outcome: metadata-only record requires acquisition
C0013,primary-pdf,primary-report,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,SBGames 2021 proceedings,2026-07-06,full_text,NR,d168baea43c3fc567c71cf0036eeecb85c0fc90f4fee3678f4adc8125b5d00ed,C0013/isometric_racetracks_chain_code_sbgames_2021.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0014,primary-pdf,primary-report,https://arxiv.org/pdf/2103.01288,arXiv:2103.01288v1,2026-07-06,full_text,NR,c1eb38f0251917c99e5a9081239dc2863789c98a32ff68ada04d0e677ce79d66,C0014/challenging_road_networks_alks_testing_arxiv_2103.01288.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0016,primary-pdf,primary-report,https://proceedings.neurips.cc/paper_files/paper/2021/file/0e915db6326b6fb6a3c56546980a8c93-Paper.pdf,NeurIPS 2021 proceedings,2026-07-06,full_text,NR,4d6dac8a6ac16e29e063ac6e47a3e8b6b7b860dd845dafd430574df55f780d93,C0016/replay_guided_adversarial_environment_design_neurips_2021.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0018,provisional-metadata,metadata-only,https://proceedings.mlr.press/v202/azad23a/azad23a.pdf,PMLR-v202-2023,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Public proceedings PDF  no v8 archived copy.; outcome: metadata-only record requires acquisition
C0019,provisional-metadata,metadata-only,https://proceedings.mlr.press/v139/jiang21b/jiang21b.pdf,PMLR-v139-2021,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Public proceedings PDF  no v8 archived copy.; outcome: metadata-only record requires acquisition
C0020,primary-pdf,primary-report,https://proceedings.neurips.cc/paper_files/paper/2020/file/985e9a46e10005356bbaf194249f6856-Paper.pdf,NeurIPS 2020 proceedings,2026-07-06,full_text,NR,06b29c20bada539ceac41556b78831f13ee296c4dccda8f2512dccd4b843624e,C0020/emergent_complexity_zero_shot_transfer_neurips_2020.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0021,primary-pdf,primary-report,https://proceedings.mlr.press/v162/parker-holder22a/parker-holder22a.pdf,PMLR volume 162 (ICML 2022),2026-07-06,full_text,NR,592e2a3fa44fbd0d652b234fe38ac70d754e0199a1e808b2e671b1685a457938,C0021/evolving_curricula_regret_based_environment_design_icml_2022.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0022,provisional-metadata,metadata-only,https://doi.org/10.1145/3293882.3330566,DOI-10.1145-3293882.3330566,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  ACM/DOI record only.; outcome: metadata-only record requires acquisition
C0024,primary-pdf,primary-report,https://arxiv.org/abs/2401.14682,arXiv:2401.14682v1,2026-07-06,full_text,NR,c7602a67fca9bbe3f8f555847aeab907871484d2343e08f662113a8e95d70015,C0024/diversity_guided_frenet_arxiv_2401.14682.pdf,local-restricted,"Public arXiv preprint; file, pdfinfo, and pdftotext confirm the exact title and listed authors."
C0026,provisional-metadata,metadata-only,https://doi.org/10.1109/IROS51168.2021.9636053,DOI-10.1109-IROS51168.2021.9636053,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  IEEE/DOI record only.; outcome: metadata-only record requires acquisition
C0027,provisional-metadata,metadata-only,https://arxiv.org/pdf/2411.04246,arXiv-2411.04246@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Public preprint endpoint  no v8 archived copy.; outcome: metadata-only record requires acquisition
C0028,provisional-metadata,metadata-only,https://developer.nvidia.com/isaac-gym,unversioned@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official NVIDIA product documentation  no v8 archived artifact.; outcome: metadata-only record requires acquisition
C0029,provisional-metadata,metadata-only,https://doi.org/10.1038/s41586-021-04357-7,DOI-10.1038-s41586-021-04357-7,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  publisher/DOI record only.; outcome: metadata-only record requires acquisition
C0030,provisional-metadata,metadata-only,https://www.polyphony.co.jp/products/,unversioned@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official product catalogue  no v8 archived artifact.; outcome: metadata-only record requires acquisition
C0031,provisional-metadata,metadata-only,https://doi.org/10.1109/lra.2021.3064284,DOI-10.1109-lra.2021.3064284,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  IEEE/DOI record only.; outcome: metadata-only record requires acquisition
C0032,provisional-metadata,metadata-only,https://rlj.cs.umass.edu/2024/papers/Paper213.html,RLJ-2024-Paper213,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Public Reinforcement Learning Journal paper page  no v8 archived copy.; outcome: metadata-only record requires acquisition
C0033,provisional-metadata,metadata-only,https://doi.org/10.1109/lra.2025.3560873,DOI-10.1109-lra.2025.3560873,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=No v8 primary report  IEEE/DOI record only.; outcome: metadata-only record requires acquisition
C0034,provisional-metadata,metadata-only,https://www.gran-turismo.com/us/products/gtsport/,unversioned@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official product page  no v8 archived artifact.; outcome: metadata-only record requires acquisition
C0035,provisional-metadata,metadata-only,https://www.gran-turismo.com/us/products/gt7/,unversioned@2026-07-03,2026-07-06,abstract_only,NR,NR,NR,metadata-only,attempted: doi_or_publisher=normalizer did not download bytes | title_author=metadata audit row inspected | scholarly_index_or_repository=no verified local artifact | official_page=Official product page  no v8 archived artifact.; outcome: metadata-only record requires acquisition
