search_id,search_date,stream,agent,query,search_surface,results_screened,candidates_added,notes
S0001,2026-06-29,bootstrap,main,docs/related-work/state-of-the-art.rst,local-corpus,95,65,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0002,2026-06-29,bootstrap,main,docs/related-work/prior-art.rst,local-corpus,188,33,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0003,2026-06-29,bootstrap,main,docs/generators/benchmarks.rst,local-corpus,6,0,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0004,2026-06-29,bootstrap,main,docs/tutorials/gate-sequences.rst,local-corpus,15,1,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0005,2026-06-29,bootstrap,main,docs/superpowers/specs/2026-06-23-gate-sequence-generation-design.md,local-corpus,15,0,"Unit: inventoried visible named-mention occurrences in this local file, including repeated heading and summary occurrences; not comparable to or pooled with search-engine result counts."
S0006,2026-06-29,blind-ground,blind-ground,autonomous racing procedural track generation paper robot,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0007,2026-06-29,blind-ground,blind-ground,F1TENTH procedural track generator paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0008,2026-06-29,blind-ground,blind-ground,autonomous race track generation reinforcement learning random tracks paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0009,2026-06-29,blind-ground,blind-ground,autonomous racing simulator procedural tracks RaceCarGym paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0010,2026-06-29,blind-ground,blind-ground,OpenAI Gym CarRacing random track generation official repository paper,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0011,2026-06-29,blind-ground,blind-ground,procedural road maps driving reinforcement learning simulator random tracks benchmark,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0012,2026-06-29,blind-ground,blind-ground,site:f1tenth-gym.readthedocs.io random track generator OpenAI CarRacing,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0013,2026-06-29,blind-ground,blind-ground,site:github.com/f1tenth f1tenth_gym random track generator,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
S0014,2026-06-29,blind-ground,blind-ground,F1TENTH gym paper simulation environment official,mixed-primary-web,NR,NR,Source: paper/data/agent_runs/blind-ground.md; section: Discovery Queries / Autonomous Racing and Simulators. Per-query screened-hit and candidate-add counts were not captured.
