candidate_id,artifact_id,artifact_role,source_url,evidence_version,evidence_retrieved_on,access_status,evidence_archive_url,evidence_sha256,local_filename,redistribution_status,retrieval_notes
C0006,primary-pdf,primary-report,https://arxiv.org/pdf/2012.13681,arXiv:2012.13681v2,2026-07-06,full_text,NR,35fab1daecfccb222c2feac79cc5b019ebdc99f9b1b8d0efa300cbe542606fa0,C0006/improving_generalization_procedural_generation_arxiv_2012.13681.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0008,primary-pdf,primary-report,https://arxiv.org/pdf/2303.17900,arXiv:2303.17900v2,2026-07-06,full_text,NR,a16724999de0aa16fbdd1ee5d178a77a1dbd7cdbf31ed7efeaa30b6c1aa518f8,C0008/complex_roundabouts_autonomous_vehicle_testing_arxiv_2303.17900.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0010,primary-pdf,primary-report,https://web-archive.southampton.ac.uk/cogprints.org/5221/1/Togelius2006Making.pdf,CogPrints 5221 (2006),2026-07-06,full_text,NR,61363a18d5bc8842654cdd49b656e8c0bee3a6aa6a3f185b92eb4a705bd61c97,C0010/making_racing_fun_player_modeling_track_evolution_cogprints.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0013,primary-pdf,primary-report,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,SBGames 2021 proceedings,2026-07-06,full_text,NR,d168baea43c3fc567c71cf0036eeecb85c0fc90f4fee3678f4adc8125b5d00ed,C0013/isometric_racetracks_chain_code_sbgames_2021.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0014,primary-pdf,primary-report,https://arxiv.org/pdf/2103.01288,arXiv:2103.01288v1,2026-07-06,full_text,NR,c1eb38f0251917c99e5a9081239dc2863789c98a32ff68ada04d0e677ce79d66,C0014/challenging_road_networks_alks_testing_arxiv_2103.01288.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0016,primary-pdf,primary-report,https://proceedings.neurips.cc/paper_files/paper/2021/file/0e915db6326b6fb6a3c56546980a8c93-Paper.pdf,NeurIPS 2021 proceedings,2026-07-06,full_text,NR,4d6dac8a6ac16e29e063ac6e47a3e8b6b7b860dd845dafd430574df55f780d93,C0016/replay_guided_adversarial_environment_design_neurips_2021.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0020,primary-pdf,primary-report,https://proceedings.neurips.cc/paper_files/paper/2020/file/985e9a46e10005356bbaf194249f6856-Paper.pdf,NeurIPS 2020 proceedings,2026-07-06,full_text,NR,06b29c20bada539ceac41556b78831f13ee296c4dccda8f2512dccd4b843624e,C0020/emergent_complexity_zero_shot_transfer_neurips_2020.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0021,primary-pdf,primary-report,https://proceedings.mlr.press/v162/parker-holder22a/parker-holder22a.pdf,PMLR volume 162 (ICML 2022),2026-07-06,full_text,NR,592e2a3fa44fbd0d652b234fe38ac70d754e0199a1e808b2e671b1685a457938,C0021/evolving_curricula_regret_based_environment_design_icml_2022.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0046,primary-pdf,primary-report,https://arxiv.org/pdf/2109.12674v3,arXiv:2109.12674v3,2026-07-06,full_text,NR,ae04f7e4a3976f977ccff136a218d0daca5a84224f68ded684a6a734f8a87e2e,C0046/metadrive_composing_diverse_driving_scenarios_arxiv_2109.12674v3.pdf,local-restricted,"Replacement public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0071,primary-pdf,primary-report,https://proceedings.mlr.press/v119/cobbe20a/cobbe20a.pdf,PMLR volume 119 (ICML 2020),2026-07-06,full_text,NR,1a3292f3dbf2187a2254cceb8af970c1022154ce90b9ae1ebb7de5a4d51c712a,C0071/leveraging_procedural_generation_benchmark_rl_icml_2020.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0073,primary-pdf,primary-report,https://proceedings.mlr.press/v87/kaufmann18a/kaufmann18a.pdf,PMLR volume 87 (CoRL 2018),2026-07-06,full_text,NR,9be82e11d0c3d2ee4c9d1cb745a62c27131f4e804fd73a12f192d2d2a203d48d,C0073/deep_drone_racing_dynamic_environments_corl_2018.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0118,primary-pdf,primary-report,https://hal.science/hal-01328909v1/document,HAL hal-01328909v1,2026-07-06,full_text,NR,39c9da1c20b8eb1e175ce56acd4e9906b2a414d536fc94efc49d117a45193cb9,C0118/virtual_worlds_testing_robot_navigation_hal_01328909v1.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0154,primary-pdf,primary-report,https://arxiv.org/pdf/1901.01753,arXiv:1901.01753v3,2026-07-06,full_text,NR,dd47d961249b0328d8d9e88801cdb7a74da6a8224dc08f0d23da7d6f79fa766c,C0154/poet_open_ended_coevolution_arxiv_1901.01753.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0156,primary-pdf,primary-report,https://arxiv.org/pdf/2301.12738,arXiv:2301.12738v1,2026-07-06,full_text,NR,554e88e8ed1879b848e4696957073200093b9d2f6c415bba84171f45910a65f0,C0156/flyover_diverse_highway_interchanges_arxiv_2301.12738.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0158,primary-pdf,primary-report,https://arxiv.org/pdf/2309.14685,arXiv:2309.14685v2,2026-07-06,full_text,NR,66714dc3ee9f0db0824649c491438212339860317ee6322f69e110d819e62c57,C0158/drivescenegen_driving_scenarios_arxiv_2309.14685.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0161,primary-pdf,primary-report,https://raw.githubusercontent.com/mlresearch/v270/main/assets/liang25a/liang25a.pdf,PMLR volume 270 (CoRL 2025),2026-07-06,full_text,NR,722623112fab9b1fe88ea1a66e881ec63d7c2c35895ca2bf64c7a8f4cdc58537,C0161/environment_curriculum_generation_llms_corl_2025.pdf,local-restricted,"Primary PDF linked by the official PMLR page; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0162,primary-pdf,primary-report,https://arxiv.org/pdf/2411.09451,arXiv:2411.09451v1,2026-07-06,full_text,NR,6a7a37df6c79e06e7c270d59150b8d023ec18f38287d24636142cdb2fa84d0b3,C0162/diffroad_road_scenario_generation_arxiv_2411.09451.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0163,primary-pdf,primary-report,https://arxiv.org/pdf/2411.19577,arXiv:2411.19577v1,2026-07-06,full_text,NR,d535c1b18a4430a634253bdd23f260bcb7aeb856bb7e85e9a34d755fdae58eeb,C0163/roadgen_road_scenarios_arxiv_2411.19577.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0164,primary-pdf,primary-report,https://arxiv.org/pdf/2504.09997,arXiv:2504.09997v1,2026-07-06,full_text,NR,8d09aa9a1d0fd97ebbfb90268cb9a924455fb44304b3c4c8bd7e40e20ecf3bcb,C0164/gente_real_world_terrains_arxiv_2504.09997.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0165,primary-pdf,primary-report,https://arxiv.org/pdf/2512.09571,arXiv:2512.09571v2,2026-07-06,full_text,NR,274d76d31c82035c13b1ed4e9ec9e83a6c7ebf9604ecad7b2d9ca19e9194b63d,C0165/mastering_unknown_cluttered_drone_racing_arxiv_2512.09571.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0176,primary-pdf,primary-report,https://mediatum.ub.tum.de/doc/1624607/1624607.pdf,TUM Mediatum 1624607 (ITSC 2021 author copy),2026-07-06,full_text,NR,819e77f4fefd584feb434bb429740b34ae832470822afee1ced65567ccf2e7fb,C0176/commonroad_scenario_designer_mediatum_1624607.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0194,primary-pdf,primary-report,https://arxiv.org/pdf/2304.01305,arXiv:2304.01305v1,2026-07-06,full_text,NR,fb6a9a04c8d96082515274edf2cf735df1680af0f76b2ad3921046381d826b46,C0194/pyflyt_uav_simulation_rl_arxiv_2304.01305.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0202,primary-pdf,primary-report,https://openaccess.thecvf.com/content/CVPR2025/papers/Rowe_Scenario_Dreamer_Vectorized_Latent_Diffusion_for_Generating_Driving_Simulation_Environments_CVPR_2025_paper.pdf,CVPR 2025 paper 01604,2026-07-06,full_text,NR,6fca1736e788f03046dd4f4e31125c7b75f87ad3544373a4fb2e04ca50a43466,C0202/scenario_dreamer_cvpr_2025.pdf,local-restricted,"Primary public PDF; file, pdfinfo, and pdftotext confirmed title, author, and topic identity."
C0205,primary-pdf,primary-report,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00490.pdf,ECCV 2024 paper 00490,2026-07-06,full_text,NR,e404b4fe277269591688f2d054467f4cddc40072742e8ed40d76dd97f62407a5,C0205/sledge_driving_environments_eccv_2024.pdf,local-restricted,"Primary public PDF; file and pdfinfo passed; pdftotext confirmed title, author, and topic identity after a nonfatal cross-reference reconstruction warning."
