candidate_id,cite_key,title,authors,year,venue,doi,url,source_type,discovery_stream,discovery_query,discovery_agent,screening_status,exclusion_reason,metadata_status,metadata_evidence,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
AGRL0001,Loiacono2011AutomaticTrack,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,Daniele Loiacono; Luigi Cardamone; Pier Luca Lanzi,2011,IEEE Transactions on Computational Intelligence and AI in Games,10.1109/tciaig.2011.2163692,https://doi.org/10.1109/TCIAIG.2011.2163692,paper,aware-geometry-rl,bootstrap title/DOI verification: automatic racing track generation evolutionary computation,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/tciaig.2011.2163692,ground,car,closed_track,parametric_curve,search_evolutionary,geometry_synthesis; mutation; serialization,rejection; simulation_validation,curvature-profile entropy; track length; segment radii,speed-profile entropy,NR,GA population of candidate TORCS tracks,human selection; 2010 Simulated Car Racing Championship,TORCS,TORCS track,NR,NR,control-point count; population; generations; crossover and mutation settings,"https://doi.org/10.1109/TCIAIG.2011.2163692 (primary paper, Sections III-VI, pp. 248-257)",Bootstrap-represented (C0009). Actual closed-course synthesis and TORCS serialization; not a fixed-track controller.
AGRL0002,Togelius2006MakingRacingFun,Making Racing Fun Through Player Modeling and Track Evolution,Julian Togelius; Renzo De Nardi; Simon M. Lucas,2006,From Animals to Animats 9 (SAB 2006),NR,http://cogprints.org/5221/1/Togelius2006Making.pdf,paper,aware-geometry-rl,bootstrap title verification: racing fun player modeling track evolution,aware-geometry-rl,candidate,,verified,http://cogprints.org/5221/1/Togelius2006Making.pdf,ground,car,open_corridor,segment_grammar,search_evolutionary,geometry_synthesis; mutation,penalty,segment type; turn radius; width; obstacle placement,progress; maximum speed; speed variance,NR,evolved fixed-length segment strings,player-model fitness experiments,custom racing game,NR,NR,NR,segment alphabet; mutation probability; fitness targets,"http://cogprints.org/5221/1/Togelius2006Making.pdf (primary PDF, Section 2 and Section 6, pp. 2-8; Figure 2)","Bootstrap-represented (C0010). Generates segment courses; overlap is penalized rather than structurally prevented, and closure is a teleport boundary. Evidence audit: the paper reports an internal segment representation but no serialized export format, so export_format is NR."
AGRL0003,Togelius2007PersonalisedContent,Towards automatic personalised content creation for racing games,Julian Togelius; Renzo De Nardi; Simon M. Lucas,2007,2007 IEEE Symposium on Computational Intelligence and Games,10.1109/cig.2007.368106,https://doi.org/10.1109/CIG.2007.368106,paper,aware-geometry-rl,bootstrap title/DOI verification: personalised racing game content track evolution,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/cig.2007.368106,ground,car,closed_track,parametric_curve,search_evolutionary,geometry_synthesis; mutation,by_construction; rejection; simulation_validation,NR,progress; progress variance; maximum speed,NR,evolved 30-segment B-spline tracks conditioned on player models,player-model and track-evolution experiments,custom racing game,NR,NR,NR,30-segment B-spline; radial and random-walk mutation; three prioritized fitnesses,"https://web-archive.southampton.ac.uk/cogprints.org/5573/1/Togelius2007Towards.pdf (primary PDF, Section IV and Section V-B-E, pp. 4-7; Figures 5-8)",Bootstrap-represented (C0067). Course synthesis is personalized by modeled behavior; this is not merely player control on a fixed circuit. Evidence audit corrected the primary representation to a closed 30-segment B-spline/Bezier track; the older segment grammar appears only as a comparison.
AGRL0004,Cardamone2011InteractiveEvolution,Interactive evolution for the procedural generation of tracks in a high-end racing game,Luigi Cardamone; Daniele Loiacono; Pier Luca Lanzi,2011,Proceedings of GECCO 2011,10.1145/2001576.2001631,https://doi.org/10.1145/2001576.2001631,paper,aware-geometry-rl,racing game track generation interactive evolution,aware-geometry-rl,candidate,,verified,https://doi.org/10.1145/2001576.2001631,ground,car,closed_track,parametric_curve,search_evolutionary,geometry_synthesis; mutation,rejection; simulation_validation,curvature and geometric track descriptors,human preference fitness,population variation,interactive evolutionary population,interactive user sessions in TORCS,TORCS,TORCS track,NR,NR,population; interaction protocol; evolutionary operators,"https://www.cmap.polytechnique.fr/~nikolaus.hansen/proceedings/2011/GECCO/proceedings/p395.pdf (primary proceedings PDF, Sections 4.2, 5, 6, and 7, pp. 398-402)","Newly discovered, expansion round 1, via backward citation from Loiacono et al. 2011. Human-in-the-loop course synthesis."
AGRL0005,Cardamone2015TrackGen,TrackGen: An interactive track generator for TORCS and Speed-Dreams,Luigi Cardamone; Pier Luca Lanzi; Daniele Loiacono,2015,Applied Soft Computing,10.1016/j.asoc.2014.11.010,https://doi.org/10.1016/j.asoc.2014.11.010,paper,aware-geometry-rl,TrackGen interactive track generator TORCS Speed-Dreams,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1016/j.asoc.2014.11.010,ground,car,closed_track,parametric_curve,search_evolutionary,geometry_synthesis; mutation; serialization,rejection; simulation_validation,NR,interactive preference,NR,interactive evolutionary candidates,TORCS and Speed-Dreams authoring demonstrations,TORCS; Speed-Dreams,TORCS track; Speed-Dreams track,NR,NR,interactive workflow; evolutionary settings; game exporters,"https://doi.org/10.1016/j.asoc.2014.11.010 (publisher full-text page, Abstract and sections TrackGen, Statistics, and Conclusions)","Newly discovered, expansion round 1, from the Loiacono/Cardamone forward chain. Direct authoring and serialization contribution. Evidence audit retained fields supported by the publisher full-text page; exact geometry and diversity metrics remain NR pending extraction of the open Politecnico preprint."
AGRL0006,Georgiou2016PersonalisedTrack,Personalised track design in car racing games,Theodosis Georgiou; Yiannis Demiris,2016,2016 IEEE Conference on Computational Intelligence and Games,10.1109/cig.2016.7860435,https://doi.org/10.1109/CIG.2016.7860435,paper,aware-geometry-rl,personalised track design car racing games generator difficulty,aware-geometry-rl,candidate,,verified,https://doi.org/10.1109/cig.2016.7860435,ground,car,closed_track,NR,environment_design,geometry_synthesis; task_selection,not_reported,NR,user-model fit; path variation,NR,tracks conditioned on unobtrusively sensed user data,41-user study,NR,NR,NR,NR,user count; sensing modalities; learned user model,https://doi.org/10.1109/CIG.2016.7860435 (IEEE Xplore Abstract and reported 41-participant evaluation summary),"Newly discovered, expansion round 1. Full paper needs manual retrieval before finer geometry/validity coding. Evidence audit retained only claims exposed by the IEEE abstract; full text is still needed for the exact track encoding, simulator, and validity procedure."
AGRL0007,Prasetya2016SearchBasedTracks,Search-Based Procedural Content Generation for Race Tracks in Video Games,Hafizh Adi Prasetya; Nur Ulfa Maulidevi,2016,International Journal on Electrical Engineering and Informatics,10.15676/ijeei.2016.8.4.6,https://doi.org/10.15676/IJEEI.2016.8.4.6,paper,aware-geometry-rl,bootstrap DOI verification: search-based procedural race tracks video games,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.15676/ijeei.2016.8.4.6,ground,car,closed_track,segment_grammar,search_evolutionary,geometry_synthesis; mutation,penalty,closure error; heading error; segment intersections,curvature diversity; speed-profile diversity,curvature diversity; speed-profile diversity,evolutionary population of parameterized segment sequences,generated-track validity and fitness experiments,NR,NR,NR,NR,five-parameter segments; four validity criteria; multiobjective fitness; search configuration,"https://www.ijeei.org/docs-1804133866588e9f62ade3b.pdf (official journal PDF, Sections 3-7, pp. 784-793)",Bootstrap-represented (C0011). Full text needs manual retrieval; technical fields are not inferred from title or secondary summaries.
AGRL0008,Nascimento2021ChainCode,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,Erik Jhones F. do Nascimento; Tassiana M. Castro; Ana Carolina S. Abreu; Filipe A. Lira; Amauri H. Souza,2021,2021 Brazilian Symposium on Computer Games and Digital Entertainment,10.1109/sbgames54170.2021.00025,https://doi.org/10.1109/SBGames54170.2021.00025,paper,aware-geometry-rl,bootstrap DOI verification: isometric racetracks chain code,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/sbgames54170.2021.00025,ground,car,closed_track,segment_grammar; tile_grid,stochastic_procedural,geometry_synthesis,not_reported,NR,playability survey,mean generated-track image difference; reported 98.5% average,150 source-track images and sampled chain lists,100-run diversity comparison; isometric kart-game user evaluation,Unity,NR,NR,NR,150-image corpus; 8-neighbor chain code; preprocessing; 100-run comparison,"https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf (official proceedings PDF, Sections IV-A-E and V, pp. 3-6)",Bootstrap-represented (C0013). Full paper needs manual retrieval for closure and collision-validity details.
AGRL0009,Alyaseri2024Metaheuristics,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,Sana Alyaseri; Andy Conner,2024,International Journal of Applied Metaheuristic Computing,10.4018/ijamc.350330,https://doi.org/10.4018/IJAMC.350330,paper,aware-geometry-rl,bootstrap DOI verification: metaheuristic procedural race track generation,aware-geometry-rl,candidate,,verified,https://doi.org/10.4018/ijamc.350330,ground,car,closed_track,NR,search_evolutionary,geometry_synthesis,not_reported,NR,NR,NR,GA; artificial bee colony; particle swarm candidate tracks,comparative algorithm-performance study,NR,NR,NR,NR,GA; artificial bee colony; particle swarm,"https://www.sciencedirect.com/org/science/article/pii/S194782832400002X (publisher page, Abstract)","Bootstrap-represented (C0012). Full text needs manual retrieval; algorithm names are publisher-reported, but unreported validity fields remain NR. Evidence audit retained the three algorithms and comparative role from the publisher abstract; full text is needed for representation, validity, and metric formulas."
AGRL0010,Barthet2024AffectiveRL,Closing the Affective Loop via Experience-Driven Reinforcement Learning Designers,Matthew Barthet; Diogo Branco; Roberto Gallotta; Ahmed Khalifa; Georgios N. Yannakakis,2024,2024 International Conference on Affective Computing and Intelligent Interaction,10.1109/acii63134.2024.00034,https://doi.org/10.1109/ACII63134.2024.00034; https://arxiv.org/abs/2408.06346,paper,aware-geometry-rl,bootstrap primary-paper verification: affective reinforcement learning racetrack Solid Rally,aware-geometry-rl,candidate,,verified,https://api.crossref.org/works/10.1109/acii63134.2024.00034,ground,car,closed_track,tile_grid,search_evolutionary; environment_design,geometry_synthesis; mutation; task_selection; repair,penalty; repair_projection; simulation_validation,track-component sequence; connectivity; intersections,area between target and predicted arousal traces; event accuracy,component and event-tile distribution,corpus of player arousal traces,Solid Rally GA and Go-Explore/Go-Blend comparison,Solid Rally,component-ID string,NR,NR,tile vocabulary; crossover; mutation; reward; corpus protocol,"https://arxiv.org/pdf/2408.06346 (primary PDF, Sections III and IV-A-C, Algorithm 1, Tables I-II, pp. 3-7)",Bootstrap-represented (C0004). Corpus-aware affective geometry generation; path repair uses Dijkstra and invalid uncloseable layouts are discarded.
