cite_key,survey_evidence_tier,course_object,representation_family,generator_family,generation_role,validity_strategy,code_status,asset_status
DRAFT_C0006,core,road_network,segment_grammar,stochastic_procedural,geometry_synthesis,by_construction,official_open,NR
DRAFT_C0008,core,road_network,parametric_curve,constructive,geometry_synthesis,by_construction,NR,NR
DRAFT_C0009,core,closed_track,segment_grammar;parametric_curve,search_evolutionary,geometry_synthesis;mutation,rejection,NR,NR
DRAFT_C0011,core,closed_track,segment_grammar,search_evolutionary,geometry_synthesis;mutation,penalty,NR,NR
DRAFT_C0020,core,world_asset,NR,learned_generative;environment_design,geometry_synthesis,simulation_validation,official_open,NR
DRAFT_C0054,core,road_network,waypoint_graph,constructive,geometry_synthesis,not_reported,NR,NR
DRAFT_C0063,core,NR,NR,NR,geometry_synthesis,NR,official_open,NR
DRAFT_C0119,supporting,closed_track;fixed_benchmark,simulator_native,NR,NR,NR,official_open,official_open
DRAFT_C0121,core,gate_chain,gate_poses,learned_generative;environment_design,geometry_synthesis;mutation,simulation_validation,NR,NR
DRAFT_C0128,supporting,road_network;fixed_benchmark,NR,NR,NR,NR,official_open,official_open
DRAFT_C0131,core,world_asset,simulator_native,stochastic_procedural,geometry_synthesis,NR,NR,NR
DRAFT_C0136,supporting,fixed_benchmark,simulator_native,NR,NR,NR,NR,NR
DRAFT_C0150,core,waypoint_sequence,waypoint_graph,selection_replay,geometry_synthesis,by_construction,NR,closed
DRAFT_C0164,core,world_asset,occupancy_heightfield_mesh;hybrid,constructive;learned_generative,geometry_synthesis,not_reported,official_open,official_open
DRAFT_C0168,supporting,buoy_course,NR,NR,NR,NR,NR,NR
DRAFT_C0182,supporting,closed_track;fixed_benchmark,sampled_centerline;centerline_plus_width;occupancy_heightfield_mesh,NR,NR,NR,official_open,official_open
DRAFT_C0191,core,road_network,parametric_curve;waypoint_graph,constructive;stochastic_procedural,geometry_synthesis,not_reported,NR,NR
DRAFT_C0205,core,road_network,waypoint_graph;occupancy_heightfield_mesh,learned_generative,geometry_synthesis,not_reported,official_open,NR
