candidate_id,artifact_id,artifact_role,source_url,evidence_version,evidence_retrieved_on,access_status,evidence_archive_url,evidence_sha256,local_filename,redistribution_status,retrieval_notes
C0024,primary-pdf,primary-report,https://arxiv.org/abs/2401.14682,arXiv:2401.14682v1,2026-07-06,full_text,NR,c7602a67fca9bbe3f8f555847aeab907871484d2343e08f662113a8e95d70015,C0024/diversity_guided_frenet_arxiv_2401.14682.pdf,local-restricted,"Public arXiv preprint; file, pdfinfo, and pdftotext confirm the exact title and listed authors."
C0052,primary-pdf,primary-report,https://people.eecs.berkeley.edu/~sequin/CS285/PAPERS/Parish_Muller01.pdf,SIGGRAPH 2001 paper,2026-07-06,full_text,NR,43108a9ebd3ebe9ae2947fe5aeda11834efe973fdc32fcced55e044f98a15dc7,C0052/procedural_modeling_cities_siggraph_2001.pdf,local-restricted,"UC Berkeley EECS-hosted paper; file, pdfinfo, and pdftotext confirm the title and Parish/Mueller author identity."
C0054,primary-pdf,primary-report,https://peterwonka.net/Publications/pdfs/2008.SG.Chen.InteractiveProceduralStreetModeling.pdf,ACM TOG 27(3) author PDF (2008),2026-07-06,full_text,NR,fa3271884023ebf8d1442e8626d649bbb5ebe1e9043dc48ff5a62ad291674665,C0054/interactive_procedural_street_modeling_2008.pdf,local-restricted,"Author-hosted PDF; file, pdfinfo, and pdftotext confirm the exact article title and author list."
C0069,primary-pdf,primary-report,https://yannakakis.net/wp-content/uploads/2015/11/PID3821875.pdf,IEEE CIG invited-paper extended abstract (2011),2026-07-06,full_text,NR,e83cab4249994972e08756f313d6218f0a9dc4ff021174a312a98feb0c88732a,C0069/experience_driven_procedural_content_generation_2011.pdf,local-restricted,"Author-hosted PDF; file, pdfinfo, and pdftotext confirm the exact title and Yannakakis/Togelius author identity."
C0102,primary-pdf,primary-report,https://eprints.whiterose.ac.uk/id/eprint/103118/,Accepted Version (2013),2026-07-06,full_text,NR,5ff2607f84aad21e94151e11c5804d423f012c81f4139aa07708459b915e9ea0,C0102/testing_autonomous_robot_control_safecomp_2013.pdf,local-restricted,"White Rose accepted manuscript; file, pdfinfo, and pdftotext confirm the title, authors, SAFECOMP venue, and accepted-version notice."
C0107,primary-pdf,primary-report,https://arxiv.org/abs/2203.12138,arXiv:2203.12138v1,2026-07-06,full_text,NR,eab7e6435ad35e783639a875cc04737939c2355d3c0b37226425b07d48e45c2d,C0107/ambiegen_arxiv_2203.12138.pdf,local-restricted,"Public arXiv preprint for the cited work; file, pdfinfo, and pdftotext confirm title and author identity."
C0121,primary-pdf,primary-report,https://arxiv.org/abs/2410.22308,Accepted ICRA 2025 author manuscript,2026-07-06,full_text,NR,c3ddf711eb83a9e28c8ba43b45f4b558a8d017f479c8774917b9ecfe8783dd2e,C0121/environment_as_policy_arxiv_2410.22308.pdf,local-restricted,"Public author manuscript; file, pdfinfo, and pdftotext confirm title, author list, and ICRA 2025 acceptance notice."
C0126,primary-pdf,primary-report,https://www.mrt.kit.edu/z/publ/download/2018/Poggenhans2018Lanelet2.pdf,ITSC 2018 author PDF,2026-07-06,full_text,NR,8bc82686455ff7edb0ea74b0ced6f05a38d7f66a062c1f768ac393535b0e1135,C0126/lanelet2_itsc_2018.pdf,local-restricted,"KIT-hosted author PDF; file, pdfinfo, and pdftotext confirm the cited title and author list."
C0130,primary-pdf,primary-report,https://arxiv.org/abs/2402.08381,arXiv:2402.08381 preprint,2026-07-06,full_text,NR,dcf4f37059ec3adea927fcec51ad3680a0a4f5a8160d6624c5036ef79808e17b,C0130/mavrl_arxiv_2402.08381.pdf,local-restricted,"Public arXiv preprint for the cited work; file, pdfinfo, and pdftotext confirm the exact title and article content."
C0132,primary-pdf,primary-report,https://webperso.ensta.fr/lebars/paper_wrsc_2013_oceans_2015.pdf,OCEANS 2015 conference paper,2026-07-06,full_text,NR,5f2c243af4e1d64185b8f78bf95011beeb66d83be47a03b2a880f20ded373d59,C0132/world_robotic_sailing_championship_oceans_2015.pdf,local-restricted,"ENSTA author-hosted PDF; file, pdfinfo, and pdftotext confirm title, Le Bars/Jaulin authors, and OCEANS 2015 identity."
