candidate_id,artifact_id,artifact_role,source_url,evidence_version,evidence_retrieved_on,access_status,evidence_archive_url,evidence_sha256,local_filename,redistribution_status,retrieval_notes
C0047,source-snapshot,repository-source,https://github.com/ChickenKorma/Track-Generator,commit 8cf5fe26df607dcd5796e799eb219a3462d61431 (default branch main),2026-07-06,official_documentation,https://codeload.github.com/ChickenKorma/Track-Generator/tar.gz/8cf5fe26df607dcd5796e799eb219a3462d61431,c83195500a9608a2148c92ab3c5176c507db8676b3120fba5a5213d8bee0b496,C0047/track_generator_8cf5fe26df607dcd5796e799eb219a3462d61431.tar.gz,local-restricted,Official GitHub default branch resolved to the recorded commit; tar listing contains the commit-rooted Track-Generator source tree.
C0049,source-snapshot,repository-source,https://github.com/Drallig/ProceduralTrack,commit 1653b3816698effdd61254af63a839023747dcbf (default branch master),2026-07-06,official_documentation,https://codeload.github.com/Drallig/ProceduralTrack/tar.gz/1653b3816698effdd61254af63a839023747dcbf,cdfa2f69676f58ed141ede70b191536fc39f33ef55fc1150005f5aad6fb3c536,C0049/procedural_track_1653b3816698effdd61254af63a839023747dcbf.tar.gz,local-restricted,Official GitHub default branch resolved to the recorded commit; tar listing contains the commit-rooted ProceduralTrack source tree.
C0050,source-snapshot,repository-source,https://github.com/meraccos/random_car_racing_track_generator,commit 45848d15554a2da85e5b3b93322ba364908837e0 (default branch main),2026-07-06,official_documentation,https://codeload.github.com/meraccos/random_car_racing_track_generator/tar.gz/45848d15554a2da85e5b3b93322ba364908837e0,9dde7ddb971f993ddb05900f01b07819d4fb41615d1c1f1a3bd8254c3da306d8,C0050/random_car_racing_track_generator_45848d15554a2da85e5b3b93322ba364908837e0.tar.gz,public-redistributable,"Official GitHub default branch resolved to the recorded commit; tar listing contains the commit-rooted source tree and LICENSE, while repository metadata declares Apache-2.0."
C0051,source-snapshot,repository-source,https://github.com/h3h3h0h0/Racetrackgen2,commit b51edbc4195550bdf04f8ec5567259e03675f05b (default branch main),2026-07-06,official_documentation,https://codeload.github.com/h3h3h0h0/Racetrackgen2/tar.gz/b51edbc4195550bdf04f8ec5567259e03675f05b,16d149b62d50f710e01a793e9fcde56af493cf19a4d8dacd5b978b073d948e47,C0051/racetrackgen2_b51edbc4195550bdf04f8ec5567259e03675f05b.tar.gz,local-restricted,Official GitHub default branch resolved to the recorded commit; tar listing contains the commit-rooted Racetrackgen2 source tree.
C0098,page-snapshot,official-documentation,https://www.openstreetmap.org/about,OpenStreetMap About page snapshot 2026-07-06,2026-07-06,official_documentation,https://www.openstreetmap.org/about,b40a85c003a30a0e2c0904cb2b03e6cfd9ad74af988f22b12a24e96d139a460f,C0098/openstreetmap_about_2026-07-06.html,local-restricted,Official HTML snapshot is nonempty and identifies OpenStreetMap and its community; SHA-256 fixes the retrieved live-page representation.
C0119,primary-pdf,primary-report,https://openaccess.thecvf.com/content/ICCV2021/html/Herman_Learn-To-Race_A_Multimodal_Control_Environment_for_Autonomous_Racing_ICCV_2021_paper.html,ICCV 2021 paper,2026-07-06,full_text,https://openaccess.thecvf.com/content/ICCV2021/papers/Herman_Learn-To-Race_A_Multimodal_Control_Environment_for_Autonomous_Racing_ICCV_2021_paper.pdf,fe6540c38f19aedc95db9f8992cdc750b3a017e2dcb3796db3ed6c641e765fde,C0119/learn_to_race_iccv_2021.pdf,local-restricted,"Official CVF landing page links this primary PDF; file, pdfinfo, and pdftotext confirm the title and author identity."
C0148,primary-pdf,primary-report,https://www.sciopen.com/article/10.26599/COMMTR.2026.9640024,Communications in Transportation Research Version 1 (2026-06-01),2026-07-06,full_text,https://www.sciopen.com/local/article_pdf/10.26599/COMMTR.2026.9640024.pdf,26ae0bbc89b840c6402a9f5622afc34123ed426e73a27073cd7764cdab2aec44,C0148/complexity_controllable_road_network_commtr_2026.pdf,local-restricted,"Official SciOpen citation_pdf_url resolves to this primary PDF; file, pdfinfo, and pdftotext confirm the report title and usable 21-page content."
C0150,primary-pdf,primary-report,https://www.mdpi.com/2076-3417/12/3/1651,Applied Sciences 12(3):1651 (2022) PDF v2,2026-07-06,full_text,https://mdpi-res.com/d_attachment/applsci/applsci-12-01651/article_deploy/applsci-12-01651-v2.pdf,95ab84d67915610dbf600b9e097092f59ff27d2d8871146d48b4742f0e8e41b3,C0150/navigation_scenario_permutation_applsci_2022_v2.pdf,public-redistributable,"Official MDPI CDN primary PDF v2; file, pdfinfo, and pdftotext confirm title and authors, and page one states the CC BY license."
C0178,source-snapshot,repository-source,https://gitlab.com/eufs/public/eufs_maps,commit ccd652da93bcd16b86d89ad1c68dcca440265cbb (default branch master),2026-07-06,official_documentation,https://gitlab.com/eufs/public/eufs_maps/-/archive/ccd652da93bcd16b86d89ad1c68dcca440265cbb/eufs_maps-ccd652da93bcd16b86d89ad1c68dcca440265cbb.tar.gz,114604034f1453e101bef84d9079363270ebe9ffd1ea4a3aaea096c2a9fbcfd0,C0178/eufs_maps_ccd652da93bcd16b86d89ad1c68dcca440265cbb.tar.gz,local-restricted,Official GitLab default branch resolved to the recorded commit; tar listing contains the commit-rooted eufs_maps source tree.
C0182,source-snapshot,repository-source,https://github.com/f1tenth/f1tenth_racetracks,commit b95c4eff766f6367d66b310ea20cd2c9563712c0 (default branch main),2026-07-06,official_documentation,https://codeload.github.com/f1tenth/f1tenth_racetracks/tar.gz/b95c4eff766f6367d66b310ea20cd2c9563712c0,a38dcc6852a718efbd97b73d927a963ea1a9e1d9c869767112b481db9122a0e3,C0182/f1tenth_racetracks_b95c4eff766f6367d66b310ea20cd2c9563712c0.tar.gz,public-redistributable,"Official GitHub default branch resolved to the recorded commit; tar listing contains the commit-rooted source tree and LICENSE, while repository metadata declares GPL-3.0."
