cite_key,survey_evidence_tier,course_object,representation_family,generator_family,generation_role,validity_strategy,code_status,asset_status
DRAFT_C0010,core,open_corridor,segment_grammar,constructive;stochastic_procedural;search_evolutionary,geometry_synthesis;mutation,not_reported,NR,NR
DRAFT_C0015,contextual,NR,NR,NR,NR,NR,not_applicable,not_applicable
DRAFT_C0025,supporting,gate_chain,gate_poses,NR,benchmark_only,NR,official_open,official_open
DRAFT_C0047,core,closed_track,parametric_curve,constructive;stochastic_procedural,geometry_synthesis,rejection,official_open,NR
DRAFT_C0050,core,closed_track,parametric_curve;sampled_centerline;occupancy_heightfield_mesh,constructive;stochastic_procedural,geometry_synthesis;serialization,not_reported,official_open,official_open
DRAFT_C0052,core,road_network,segment_grammar;waypoint_graph,constructive,geometry_synthesis,by_construction;rejection,NR,NR
DRAFT_C0063,core,NR,NR,NR,geometry_synthesis,not_reported,official_open,NR
DRAFT_C0071,core,world_asset,NR,stochastic_procedural,geometry_synthesis,not_reported,official_open,NR
DRAFT_C0110,core,open_corridor,parametric_curve,constructive;stochastic_procedural;search_evolutionary,geometry_synthesis,by_construction;rejection,official_open,NR
DRAFT_C0126,supporting,road_network,boundary_pair,NR,NR,NR,official_open,NR
DRAFT_C0132,supporting,buoy_course,NR,NR,benchmark_only,NR,NR,NR
DRAFT_C0162,core,road_network,sampled_centerline;simulator_native,stochastic_procedural;learned_generative,geometry_synthesis;serialization,rejection,NR,NR
DRAFT_C0165,core,gate_chain,gate_poses,human_designed,geometry_synthesis,not_reported,NR,NR
DRAFT_C0177,core,open_corridor,parametric_curve,constructive;stochastic_procedural;search_evolutionary;learned_generative,geometry_synthesis;mutation,rejection;simulation_validation,official_open,NR
DRAFT_C0180,core,closed_track,NR,stochastic_procedural,geometry_synthesis,not_reported,official_open,NR
DRAFT_C0195,supporting,closed_track,centerline_plus_width,NR,benchmark_only,NR,NR,official_open
DRAFT_C0202,core,road_network,sampled_centerline;waypoint_graph,stochastic_procedural;learned_generative,geometry_synthesis,not_reported,NR,NR
DRAFT_C0211,supporting,buoy_course,NR,NR,benchmark_only,NR,NR,NR
