candidate_id,input_sha256,snapshot_sha256,primary_snapshot_sha256,assignment_ids,adjudicator_id,reviewer_ids,decided_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,resolution_evidence,resolved_conflict_ids,notes
C0001,d270eedaa9e11fbb23a369eb8cbda605ca61e780616d6ca95b35ad4fd5019beb,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0001-03;A-C0001-05,adjudication-draft-01,screening-03;screening-05,2026-07-01,included,include-1,official_documentation,https://sourceforge.net/p/torcs/code/ci/7ed3e067f1a1aae917b9bf1aa054dde7c339398d/tree/torcs/torcs/src/tools/trackgen/maintrackgen.cpp,commit:7ed3e067f1a1aae917b9bf1aa054dde7c339398d,2026-06-30,https://sourceforge.net/p/torcs/code/ci/7ed3e067f1a1aae917b9bf1aa054dde7c339398d/tree/torcs/torcs/src/tools/trackgen/maintrackgen.cpp,312baf44a68a4a06a76baa9ed25bee2460df3316fc89af708bb7545f470a737a,torcs/torcs/src/tools/trackgen/maintrackgen.cpp lines 400-474; torcs/torcs/src/tools/trackgen/track.cpp lines 2818-2845,NR,"{""comparison_analysis"":""C0001 is assessed from the directly inspected record: The pinned TORCS TrackGen implementation emits racing-track geometry from track data and serializes the resulting track representation. sealed A-C0001-03 records included under include-1, whereas sealed A-C0001-05 records included under include-2. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A2""],""deciding_fact"":{""kind"":""transfer_source_fact"",""text"":""The pinned TORCS TrackGen implementation emits racing-track geometry from track data and serializes the resulting track representation.""},""deciding_locator"":""torcs/torcs/src/tools/trackgen/maintrackgen.cpp lines 400-474; torcs/torcs/src/tools/trackgen/track.cpp lines 2818-2845"",""final_decision"":{""criterion"":""include-1"",""screening_status"":""included""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0001-03"",""criterion"":""include-1"",""screening_status"":""included""},{""assignment_id"":""A-C0001-05"",""criterion"":""include-2"",""screening_status"":""included""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://sourceforge.net/p/torcs/code/ci/7ed3e067f1a1aae917b9bf1aa054dde7c339398d/tree/torcs/torcs/src/tools/trackgen/maintrackgen.cpp""}",NR,Pending accountable-author verification.
C0002,2450b25a3ab588f6d3e830da889e4bac48561cc3af5b4ee7d6a57d025c55e160,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0002-01;A-C0002-05,adjudication-draft-01,screening-01;screening-05,2026-07-01,included,include-1,official_documentation,https://forge.a-lec.org/speed-dreams/speed-dreams-code;https://forge.a-lec.org/speed-dreams/speed-dreams-code/commit/6080e2bca084443be7fd0f3ab4f75430633ee978,commit:6080e2bca084443be7fd0f3ab4f75430633ee978,2026-06-30,https://forge.a-lec.org/speed-dreams/speed-dreams-code/commit/6080e2bca084443be7fd0f3ab4f75430633ee978,b3c803b9a1a5c524bc12c75ecf3a829b28f640aa3b1ffc3e8c455b6d1234158f,src/tools/trackgen/main.cpp lines 99-105 and 366-398 at commit 6080e2bca084443be7fd0f3ab4f75430633ee978,NR,"{""comparison_analysis"":""C0002 is assessed from the directly inspected record: The pinned Speed Dreams TrackGen source emits the racing-track mesh and terrain from its documented track-generation implementation. sealed A-C0002-01 records included under include-1, whereas sealed A-C0002-05 records included under include-2. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A2""],""deciding_fact"":{""kind"":""transfer_source_fact"",""text"":""The pinned Speed Dreams TrackGen source emits the racing-track mesh and terrain from its documented track-generation implementation.""},""deciding_locator"":""src/tools/trackgen/main.cpp lines 99-105 and 366-398 at commit 6080e2bca084443be7fd0f3ab4f75430633ee978"",""final_decision"":{""criterion"":""include-1"",""screening_status"":""included""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0002-01"",""criterion"":""include-1"",""screening_status"":""included""},{""assignment_id"":""A-C0002-05"",""criterion"":""include-2"",""screening_status"":""included""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://forge.a-lec.org/speed-dreams/speed-dreams-code""}",NR,TrackGen emits the track mesh and terrain for a racing track. Pending accountable-author verification.
C0003,1734ebc62e9def5a18b9cb5bebe4f1e2af9fbc1372753d308862b0ca37d56232,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0003-05;A-C0003-06,adjudication-draft-01,screening-05;screening-06,2026-07-01,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1016/j.asoc.2014.11.010;https://re.public.polimi.it/oai/request?verb=GetRecord&metadataPrefix=didl&identifier=oai%3Are.public.polimi.it%3A11311%2F984831,version-of-record DOI 10.1016/j.asoc.2014.11.010; repository datestamp 2023-05-16,2026-06-30,NR,d5fa23f18210696cae818480039faa1d2d889afa72c0f82f603c0b9511ef6544,"OAI DIDL record, dc:title/dc:rights and d:Component resources 11311_984831_1 and 11311_984831_4","The repository identifies two PDF components, but no inspectable full text was retrieved to verify TrackGen's technical generator.","{""comparison_analysis"":""C0003 is assessed from the directly inspected record: The DOI and repository records identify TrackGen materials, but the current retrieval provided no inspectable primary-report bytes for the backend. sealed A-C0003-05 records included under include-1, whereas sealed A-C0003-06 records excluded under exclude-insufficient-detail. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A1"",""A2""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The repository identifies two PDF components, but no inspectable full text was retrieved to verify TrackGen's technical generator.""},""deciding_locator"":""OAI DIDL record, dc:title/dc:rights and d:Component resources 11311_984831_1 and 11311_984831_4"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0003-05"",""criterion"":""include-1"",""screening_status"":""included""},{""assignment_id"":""A-C0003-06"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://doi.org/10.1016/j.asoc.2014.11.010""}",NR,"Official bitstreams returned 403; DOI, publisher, exact-title, indexes, repository, author-page, and companion searches were attempted. Pending accountable-author verification."
C0005,35b02ee0b6a91ffc0c813f8053b49dfbfa2d8abefd568aad0619cb72ebf413fa,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0005-03;A-C0005-05,adjudication-draft-01,screening-03;screening-05,2026-07-01,excluded,exclude-insufficient-detail,official_documentation,https://github.com/DiogoAABranco/Solid-Rally-Plus/tree/2d3e3af16d7c2845cbe63b620d8b4a8fd709e542,commit:2d3e3af16d7c2845cbe63b620d8b4a8fd709e542,2026-06-30,https://github.com/DiogoAABranco/Solid-Rally-Plus/tree/2d3e3af16d7c2845cbe63b620d8b4a8fd709e542,22fbc9572b074314e30f3292967d74e391e63ec36602eb1ae8854c741555dbde,"README.md line 1; pinned recursive tree, Assets/Solid Rally/Materials/TrackBuilder* and static racetrack asset paths","The pinned repository README contains only the project name, and the inspected tree exposes assets but no technical documentation or source-native generator sufficient to support a course-generation claim.","{""comparison_analysis"":""C0005 is assessed from the directly inspected record: The pinned README and inspected repository tree identify a project and static assets, not a documented course-generation implementation. sealed A-C0005-03 records excluded under exclude-insufficient-detail, whereas sealed A-C0005-05 records excluded under exclude-out-of-scope. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A2""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The pinned repository README contains only the project name, and the inspected tree exposes assets but no technical documentation or source-native generator sufficient to support a course-generation claim.""},""deciding_locator"":""README.md line 1; pinned recursive tree, Assets/Solid Rally/Materials/TrackBuilder* and static racetrack asset paths"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0005-03"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0005-05"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://github.com/DiogoAABranco/Solid-Rally-Plus/tree/2d3e3af16d7c2845cbe63b620d8b4a8fd709e542""}",NR,Pending accountable-author verification.
C0008,dba4a85aac9045e4c82e07f6ee9b7bb290a0863d1b581e94c4c86b8eba3b2df5,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0008-01;A-C0008-05,adjudication-draft-01,screening-01;screening-05,2026-07-01,included,include-1,full_text,https://arxiv.org/pdf/2303.17900v2;https://doi.org/10.1109/iv55152.2023.10186533,arXiv:2303.17900v2,2026-06-30,https://arxiv.org/pdf/2303.17900v2,a16724999de0aa16fbdd1ee5d178a77a1dbd7cdbf31ed7efeaa30b6c1aa518f8,Abstract; Section III Procedural Roundabout Generation; Section IV Evaluation,NR,"{""comparison_analysis"":""C0008 is assessed from the directly inspected record: The full report defines a procedure that generates connected roundabout roads and exports the resulting road geometry in OpenDRIVE. sealed A-C0008-01 records excluded under exclude-insufficient-detail, whereas sealed A-C0008-05 records included under include-1. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A1"",""A2""],""deciding_fact"":{""kind"":""transfer_source_fact"",""text"":""The full report defines a procedure that generates connected roundabout roads and exports the resulting road geometry in OpenDRIVE.""},""deciding_locator"":""Abstract; Section III Procedural Roundabout Generation; Section IV Evaluation"",""final_decision"":{""criterion"":""include-1"",""screening_status"":""included""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0008-01"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0008-05"",""criterion"":""include-1"",""screening_status"":""included""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://arxiv.org/pdf/2303.17900v2""}",NR,Adjacent-domain mapping: generated roundabout lanes and OpenDRIVE road geometry map to constrained racing-course corridors. Pending accountable-author verification.
C0012,e1ea1561b167b5ebfb6bd216226c22f7c6a5e523f67a99119fe67a5d58215723,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0012-01;A-C0012-04,adjudication-draft-01,screening-01;screening-04,2026-07-01,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.4018/ijamc.350330;https://openalex.org/W4401502054;https://www.google.com/search?q=%22Comparative%20Analysis%20of%20Metaheuristic%20Algorithms%20for%20Procedural%20Race%20Track%20Generation%20in%20Games%22,DOI:10.4018/IJAMC.350330 version-of-record bibliographic record,2026-06-30,NR,c75fe92fb4ea8f450a0925347f8382a1cb297b688386eea353763b26a4740a7d,"OpenAlex abstract sentences 1-7 describing the GA, ABC, and PSO race-track level-design comparison","The accessible abstract reports metaheuristics for race-track content, but the publisher copy was inaccessible and no complete technical artifact was recovered.","{""comparison_analysis"":""C0012 is assessed from the directly inspected record: The accessible publisher and index records expose only an abstract, not an inspectable primary method, representation, or evaluation. The first exclusion explanation is The accessible abstract reports metaheuristics for race-track content, but the publisher copy was inaccessible and no complete technical artifact was recovered. whereas the second is The abstract describes metaheuristic procedural racetrack generation, but no complete report was retrievable, so material implementation and evaluation evidence could not be inspected.. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The accessible abstract reports metaheuristics for race-track content, but the publisher copy was inaccessible and no complete technical artifact was recovered.""},""deciding_locator"":""OpenAlex abstract sentences 1-7 describing the GA, ABC, and PSO race-track level-design comparison"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0012-01"",""reason"":""The accessible abstract reports metaheuristics for race-track content, but the publisher copy was inaccessible and no complete technical artifact was recovered.""},{""assignment_id"":""A-C0012-04"",""reason"":""The abstract describes metaheuristic procedural racetrack generation, but no complete report was retrievable, so material implementation and evaluation evidence could not be inspected.""}],""raw_ratings"":[{""assignment_id"":""A-C0012-01"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0012-04"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://doi.org/10.4018/ijamc.350330""}",NR,"Exhaustive retrieval attempted the DOI/publisher record, an exact-title web search, OpenAlex and Semantic Scholar, and identifiable author/project or software repositories; no inspectable complete primary report or technical documentation was recovered. Pending accountable-author verification."
C0013,39c5e195e4faa59b5c8afb26b5004dcf8316e45cc3e97b9775fd7dc3e0e64e56,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0013-04;A-C0013-06,adjudication-draft-01,screening-04;screening-06,2026-07-01,included,include-1,full_text,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,SBGames 2021 proceedings version,2026-06-30,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,d168baea43c3fc567c71cf0036eeecb85c0fc90f4fee3678f4adc8125b5d00ed,"pp. 136-139, Abstract, Section I, and generation method",NR,"{""comparison_analysis"":""C0013 is assessed from the directly inspected record: The proceedings report defines chain-code synthesis of new racetrack circuits and instantiates the generated layouts in Unity. sealed A-C0013-04 records excluded under exclude-insufficient-detail, whereas sealed A-C0013-06 records included under include-1. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A1"",""A2""],""deciding_fact"":{""kind"":""transfer_source_fact"",""text"":""The proceedings report defines chain-code synthesis of new racetrack circuits and instantiates the generated layouts in Unity.""},""deciding_locator"":""pp. 136-139, Abstract, Section I, and generation method"",""final_decision"":{""criterion"":""include-1"",""screening_status"":""included""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0013-04"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0013-06"",""criterion"":""include-1"",""screening_status"":""included""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf""}",NR,Adjacent mapping: generated isometric racing-game chain-code centerlines and tiles map to simulated racing-robot courses. Pending accountable-author verification.
C0026,4a11e5b16e5ed427bdc7fa4f148eb75912c7db85a730748652b4b5c04728deec,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0026-01;A-C0026-06,adjudication-draft-01,screening-01;screening-06,2026-07-01,included,include-1,full_text,https://rpg.ifi.uzh.ch/docs/IROS21_Yunlong.pdf,IROS 2021 author manuscript,2026-06-30,NR,cf39bc90b01921b689ba911a665636972366fc4cf55da7dbfb6d1b995132faa4,"pp. 1-4, Abstract, Section I, Section III-B, track-randomization discussion",NR,"{""comparison_analysis"":""C0026 is assessed from the directly inspected record: The author manuscript defines random gate primitives, bounded relative poses, and gate counts to generate drone-racing tracks of varying complexity. sealed A-C0026-01 records excluded under exclude-fixed-racing-line, whereas sealed A-C0026-06 records included under include-1. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A1"",""A2""],""deciding_fact"":{""kind"":""transfer_source_fact"",""text"":""The author manuscript defines random gate primitives, bounded relative poses, and gate counts to generate drone-racing tracks of varying complexity.""},""deciding_locator"":""pp. 1-4, Abstract, Section I, Section III-B, track-randomization discussion"",""final_decision"":{""criterion"":""include-1"",""screening_status"":""included""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0026-01"",""criterion"":""exclude-fixed-racing-line"",""screening_status"":""excluded""},{""assignment_id"":""A-C0026-06"",""criterion"":""include-1"",""screening_status"":""included""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://rpg.ifi.uzh.ch/docs/IROS21_Yunlong.pdf""}",NR,"Tracks are 3D gate sets, and training/evaluation uses strongly randomized and randomly generated configurations. Pending accountable-author verification."
C0028,63b55e58569d52b4ecd7a3a9f4f9577d672d8862dc4760aaedf23e9df69f63b7,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0028-01;A-C0028-02,adjudication-draft-01,screening-01;screening-02,2026-07-01,excluded,exclude-out-of-scope,official_documentation,https://developer.nvidia.com/isaac-gym,Isaac Gym unversioned@2026-06-30,2026-06-30,NR,4ceada825e4e5cfd4c9f65ef8dfbdd41c9beaaa56a9dfd46d2868e384fdcf3bf,Isaac Gym page sections About Isaac Gym and Getting Started,"The page documents a general GPU-accelerated robot-learning simulator and contains no course-generation, course-representation, or course-benchmark contribution.","{""comparison_analysis"":""C0028 is assessed from the directly inspected record: The official Isaac Gym page documents a general GPU robot-learning simulator without a course generator, representation, or benchmark artifact. The first exclusion explanation is The page documents a general GPU-accelerated robot-learning simulator and contains no course-generation, course-representation, or course-benchmark contribution. whereas the second is The official page describes a general GPU-accelerated robot-learning simulator and does not define or generate course geometry, course representations, or course benchmarks.. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The page documents a general GPU-accelerated robot-learning simulator and contains no course-generation, course-representation, or course-benchmark contribution.""},""deciding_locator"":""Isaac Gym page sections About Isaac Gym and Getting Started"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0028-01"",""reason"":""The page documents a general GPU-accelerated robot-learning simulator and contains no course-generation, course-representation, or course-benchmark contribution.""},{""assignment_id"":""A-C0028-02"",""reason"":""The official page describes a general GPU-accelerated robot-learning simulator and does not define or generate course geometry, course representations, or course benchmarks.""}],""raw_ratings"":[{""assignment_id"":""A-C0028-01"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0028-02"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://developer.nvidia.com/isaac-gym""}",NR,Pending accountable-author verification.
C0030,67f0ec817d7ba8dd2c33b8d1d3b3e7a5429229a87f2f124d7d534e6bb9567390,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0030-01;A-C0030-06,adjudication-draft-01,screening-01;screening-06,2026-07-01,excluded,exclude-out-of-scope,official_documentation,https://www.polyphony.co.jp/products/,Polyphony products page unversioned@2026-06-30,2026-06-30,NR,1fa617291589e34f2ecf94904a0ec0f7ca11343fbfd0cf2c5a376b5e4b9eb407,Products page Gran Turismo product entries,"The corporate product catalogue describes game releases but provides no material technical evidence about course generation, representation, metrics, or interchange.","{""comparison_analysis"":""C0030 is assessed from the directly inspected record: The official Polyphony catalogue identifies game releases but provides no technical course-generation or survey-transfer artifact. sealed A-C0030-01 records excluded under exclude-out-of-scope, whereas sealed A-C0030-06 records excluded under exclude-insufficient-detail. The provisional adjudication weighs documentary scope, explicit technical operation, source provenance, evidence completeness, and protocol precedence before selecting the final disposition."",""controlling_rules"":[""A2""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""The corporate product catalogue describes game releases but provides no material technical evidence about course generation, representation, metrics, or interchange.""},""deciding_locator"":""Products page Gran Turismo product entries"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[],""raw_ratings"":[{""assignment_id"":""A-C0030-01"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0030-06"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://www.polyphony.co.jp/products/""}",NR,Pending accountable-author verification.
