candidate_id,cite_key,title,authors,year,venue,doi,url,source_type
DRAFT_C0010,DRAFT_C0010,Making Racing Fun Through Player Modeling and Track Evolution,Julian Togelius; Renzo De Nardi; Simon M. Lucas,2006,Proceedings of the SAB'06 Workshop on Adaptive Approaches for Optimizing Player Satisfaction in Computer and Physical Games,,https://web-archive.southampton.ac.uk/cogprints.org/5221/,workshop paper
DRAFT_C0015,DRAFT_C0015,UN Regulation No. 157 - Automated Lane Keeping Systems (ALKS),United Nations Economic Commission for Europe,2021,United Nations Regulation No. 157,,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks,official standard
DRAFT_C0025,DRAFT_C0025,AirSim Drone Racing Lab,Ratnesh Madaan; Nicholas Gyde; Sai Vemprala; Matthew Brown; Keiko Nagami; Tim Taubner; Eric Cristofalo; Davide Scaramuzza; Mac Schwager; Ashish Kapoor,2020,Proceedings of the NeurIPS 2019 Competition and Demonstration Track,,https://proceedings.mlr.press/v123/madaan20a.html,conference paper
DRAFT_C0047,DRAFT_C0047,ChickenKorma/Track-Generator,ChickenKorma,2022,GitHub repository,,https://github.com/ChickenKorma/Track-Generator,software repository
DRAFT_C0050,DRAFT_C0050,meraccos/random_car_racing_track_generator,meraccos,2023,GitHub repository,,https://github.com/meraccos/random_car_racing_track_generator,software repository
DRAFT_C0052,DRAFT_C0052,Procedural modeling of cities,Yoav I. H. Parish; Pascal Müller,2001,Proceedings of the 28th annual conference on Computer graphics and interactive techniques,10.1145/383259.383292,https://doi.org/10.1145/383259.383292,conference paper
DRAFT_C0063,DRAFT_C0063,TrackGen,Antoine Richard,2026,GitHub repository,,https://github.com/AntoineRichard/TrackGen,software repository
DRAFT_C0071,DRAFT_C0071,Leveraging Procedural Generation to Benchmark Reinforcement Learning,Karl Cobbe; Chris Hesse; Jacob Hilton; John Schulman,2020,Proceedings of the 37th International Conference on Machine Learning,,https://proceedings.mlr.press/v119/cobbe20a.html,conference paper
DRAFT_C0110,DRAFT_C0110,CRAG – a combinatorial testing-based generator of road geometries for ADS testing,Paolo Arcaini; Ahmet Cetinkaya,2024,Science of Computer Programming,10.1016/j.scico.2024.103171,https://www.sciencedirect.com/science/article/pii/S0167642324000947,journal article
DRAFT_C0126,DRAFT_C0126,Lanelet2: A high-definition map framework for the future of automated driving,Fabian Poggenhans; Jan-Hendrik Pauls; Johannes Janosovits; Stefan Orf; Maximilian Naumann; Florian Kuhnt; Matthias Mayr,2018,2018 21st International Conference on Intelligent Transportation Systems (ITSC),10.1109/itsc.2018.8569929,https://doi.org/10.1109/ITSC.2018.8569929,conference paper
DRAFT_C0132,DRAFT_C0132,"The World Robotic Sailing Championship, a Competition to Stimulate the Development of Autonomous Sailboats",Fabrice Le Bars; Luc Jaulin,2015,OCEANS 2015 - Genova,10.1109/oceans-genova.2015.7271767,https://doi.org/10.1109/oceans-genova.2015.7271767,conference paper
DRAFT_C0162,DRAFT_C0162,DiffRoad: Realistic and Diverse Road Scenario Generation for Autonomous Vehicle Testing,Junjie Zhou; Lin Wang; Qiang Meng; Xiaofan Wang,2024,arXiv,10.48550/arxiv.2411.09451,https://arxiv.org/abs/2411.09451,preprint
DRAFT_C0165,DRAFT_C0165,"Mastering Diverse, Unknown, and Cluttered Tracks for Robust Vision-Based Drone Racing",Feng Yu; Yang Su; Yu Hu; Yang Deng; Linzuo Zhang; Danping Zou,2026,IEEE Robotics and Automation Letters,10.1109/lra.2025.3643267,https://doi.org/10.1109/LRA.2025.3643267,journal article
DRAFT_C0177,DRAFT_C0177,Enhanced POET: Open-ended Reinforcement Learning through Unbounded Invention of Learning Challenges and their Solutions,Rui Wang; Joel Lehman; Aditya Rawal; Jiale Zhi; Yulun Li; Jeffrey Clune; Kenneth Stanley,2020,Proceedings of the 37th International Conference on Machine Learning,,https://proceedings.mlr.press/v119/wang20l.html,conference paper
DRAFT_C0180,DRAFT_C0180,F1TENTH: An Open-source Evaluation Environment for Continuous Control and Reinforcement Learning,Matthew O'Kelly; Hongrui Zheng; Dhruv Karthik; Rahul Mangharam,2020,Proceedings of the NeurIPS 2019 Competition and Demonstration Track,,https://proceedings.mlr.press/v123/o-kelly20a.html,conference paper; official software
DRAFT_C0195,DRAFT_C0195,Race Track Database,TUMFTM contributors,2020,GitHub repository,,https://github.com/TUMFTM/racetrack-database,dataset; official repository
DRAFT_C0202,DRAFT_C0202,Scenario Dreamer: Vectorized Latent Diffusion for Generating Driving Simulation Environments,Luke Rowe; Roger Girgis; Anthony Gosselin; Liam Paull; Christopher Pal; Felix Heide,2025,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,10.1109/cvpr52734.2025.01604,https://openaccess.thecvf.com/content/CVPR2025/html/Rowe_Scenario_Dreamer_Vectorized_Latent_Diffusion_for_Generating_Driving_Simulation_Environments_CVPR_2025_paper.html,conference paper
DRAFT_C0211,DRAFT_C0211,World Robotic Sailing Championship 2019 Notice of Race and Competition Rules,WRSC/IRSC 2019 Organizing Committee,2019,World Robotic Sailing Championship official rules,,https://www.roboticsailing.org/2019/rules/,official competition documentation
