candidate_id,title,source_url,evidence_version,access_status,local_archive_path_or_NR,limitation_note
C0103,"Machine learning-based test selection for simulation-based testing of self-driving cars software",https://doi.org/10.1007/s10664-023-10286-y,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; no lawful full-text copy verified in this audit."
C0104,"Air Learning: a deep reinforcement learning gym for autonomous aerial robot visual navigation",https://link.springer.com/article/10.1007/s10994-021-06006-6,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; no independently verified full-text version recorded here."
C0106,"A voyage planning framework for energy performance analysis of autonomous inland waterway vessels",https://doi.org/10.1016/j.energy.2025.137906,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0107,"A Search-Based Framework for Automatic Generation of Testing Environments for Cyber-Physical Systems",https://doi.org/10.1016/j.infsof.2022.106936,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0108,"AmbieGen: A search-based framework for autonomous systems testing",https://doi.org/10.1016/j.scico.2023.102990,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0109,"Frenetic-lib: An extensible framework for search-based generation of road structures for ADS testing",https://doi.org/10.1016/j.scico.2023.102996,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0110,"CRAG - a combinatorial testing-based generator of road geometries for ADS testing",https://doi.org/10.1016/j.scico.2024.103171,"related local SBFT 2024 full text",related_local_full_text,"paper/data/source_archive/v7/C0110/C0110.pdf","Archive is a 2024 SBFT CRAG tool paper, not the cited Science of Computer Programming article."
C0111,"Learning vision-based agile flight via differentiable physics",https://doi.org/10.1038/s42256-025-01048-0,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0112,"ASVSim (AirSim for Surface Vehicles): A High-Fidelity Simulation Framework for Autonomous Surface Vehicle Research",https://ieeexplore.ieee.org/document/11493908,"IEEE Access final article",full_text_official,NR,"No local archived copy."
C0113,"Evolving A Diverse Collection of Robot Path Planning Problems",https://doi.org/10.1109/cec.2006.1688530,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0114,"Racing tracks improvisation",https://doi.org/10.1109/cig.2014.6932899,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0115,"Personalised track design in car racing games",https://doi.org/10.1109/cig.2016.7860435,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0116,"Controllable Procedural Generation of Race Track Surroundings for Iterative Level Design",https://doi.org/10.1109/cog64752.2025.11114175,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0118,"Virtual Worlds for Testing Robot Navigation: A Study on the Difficulty Level",https://hal.science/hal-01328909v1,"HAL v1 author manuscript",full_text_repository,NR,"Repository version; no local archived copy."
C0119,"Learn-To-Race: A Multimodal Control Environment for Autonomous Racing",https://openaccess.thecvf.com/content/ICCV2021/html/Herman_Learn-To-Race_A_Multimodal_Control_Environment_for_Autonomous_Racing_ICCV_2021_paper.html,"ICCV 2021 proceedings version",full_text_official,NR,"No local archived copy."
C0120,"AvoidBench: A high-fidelity vision-based obstacle avoidance benchmarking suite for multi-rotors",https://arxiv.org/abs/2301.07430,"arXiv preprint",full_text_repository,NR,"Preprint may differ from final ICRA version."
C0121,"Environment as Policy: Learning to Race in Unseen Tracks",https://doi.org/10.1109/icra55743.2025.11127376,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0122,"Automatically Generating Content for Testing Autonomous Vehicles from User Descriptions",https://doi.org/10.1109/icse-nier66352.2025.00021,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0123,"Quality Metrics and Oracles for Autonomous Vehicles Testing",https://doi.org/10.1109/ICST49551.2021.00030,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0124,"AV-FUZZER: Finding Safety Violations in Autonomous Driving Systems",https://doi.org/10.1109/issre5003.2020.00012,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0125,"EvoScenario: Integrating Road Structures into Critical Scenario Generation for Autonomous Driving System Testing",https://doi.org/10.1109/issre59848.2023.00054,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0126,"Lanelet2: A high-definition map framework for the future of automated driving",https://doi.org/10.1109/ITSC.2018.8569929,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; official software documentation was not substituted for the paper."
C0127,"Scenario Factory: Creating Safety-Critical Traffic Scenarios for Automated Vehicles",https://doi.org/10.1109/itsc45102.2020.9294629,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0128,"CommonRoad: Composable Benchmarks for Motion Planning on Roads",https://mediatum.ub.tum.de/1379638,"2017 conference PDF",local_full_text,"paper/data/source_archive/v7/C0128/commonroad-iv-2017.pdf","Archived conference full text."
C0129,"OmniDrones: An Efficient and Flexible Platform for Reinforcement Learning in Drone Control",https://arxiv.org/abs/2309.12825,"arXiv preprint",full_text_repository,NR,"Preprint may differ from final IEEE RA-L version."
C0130,"MAVRL: Learn to Fly in Cluttered Environments With Varying Speed",https://doi.org/10.1109/lra.2024.3522778,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0131,"Aerial Gym Simulator: A Framework for Highly Parallelized Simulation of Aerial Robots",https://github.com/ntnu-arl/aerial_gym_simulator,"Aerial Gym v2.0.0 component documentation",official_artifact_only,"paper/data/source_archive/v7/C0131/aerial-gym-v2.0.0-simulation-components.md","Archive is official simulator documentation, not the cited 2025 article."
C0132,"The World Robotic Sailing Championship, a Competition to Stimulate the Development of Autonomous Sailboats",https://doi.org/10.1109/oceans-genova.2015.7271767,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0133,"Analysis of Road Representations in Search-Based Testing of Autonomous Driving Systems",https://doi.org/10.1109/qrs54544.2021.00028,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
C0134,"RoadSign at the SBFT 2023 Tool Competition Cyber-Physical Systems Track",https://doi.org/10.1109/SBFT59156.2023.00006,"SBFT 2023 conference PDF",local_full_text,"paper/data/source_archive/v7/C0134/C0134.pdf","Archived full text."
C0135,"Spirale at the SBFT 2023 Tool Competiton - Cyber-Physical Systems Track",https://doi.org/10.1109/SBFT59156.2023.00007,"publisher record (2026-07-06)",metadata_only,NR,"No local archive; publisher record only."
