candidate_id,cite_key,title,authors,year,venue,doi,url,source_type,discovery_stream,discovery_query,discovery_agent,screening_status,exclusion_reason,metadata_status,metadata_evidence,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
BG-001,TogeliusDeNardiLucas2006MakingRacingFun,Making Racing Fun Through Player Modeling and Track Evolution,Julian Togelius; Renzo De Nardi; Simon M. Lucas,2006,SAB'06 Workshop on Adaptive Approaches for Optimizing Player Satisfaction in Computer and Physical Games,NR,https://julian.togelius.com/Togelius2006Making.pdf,workshop paper,racing-game PCG transfer,"""Making Racing Fun Through Player Modeling and Track Evolution""",blind-ground,candidate,NR,unverified,https://julian.togelius.com/Togelius2006Making.pdf,racing-game geometry,simulated car,closed race track,polar control-point loop,evolutionary search,synthesizes player-adapted track centerlines,closed-loop construction; geometric penalties,NR,player-model fitness; driving performance,NR,evolutionary populations conditioned on player model,NR,custom racing game,NR,NR,NR,track genotype; mutation operators; player model; fitness,https://julian.togelius.com/Togelius2006Making.pdf,Geometry generation is in scope; player modeling is the conditioning signal rather than the generated object. Exact penalty thresholds were not resolved and remain uncertain.
BG-002,CardamoneLoiaconoLanzi2011InteractiveEvolution,Interactive Evolution for the Procedural Generation of Tracks in a High-End Racing Game,Luigi Cardamone; Daniele Loiacono; Pier Luca Lanzi,2011,Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation (GECCO),10.1145/2001576.2001631,https://doi.org/10.1145/2001576.2001631,conference paper,racing-game PCG transfer,site:dl.acm.org racing track procedural generation evolutionary TORCS,blind-ground,candidate,NR,unverified,https://doi.org/10.1145/2001576.2001631,racing-game geometry,simulated car,closed race track,polar control points; spline centerline; tangent parameters,interactive evolutionary computation,mutates and selects TORCS track geometry with human preference input,closed loop; self-intersection and drivability constraints inherited from generator,track length; curvature-related descriptors,human preference; drivability,population-level variation; exact metric NR,interactive evolutionary populations,human-in-the-loop track evaluations; exact count NR,TORCS,TORCS track format,NR,NR,genotype; evolutionary operators; user-selection protocol; TORCS version,https://doi.org/10.1145/2001576.2001631,Includes geometry evolution; not merely appearance randomization.
BG-003,LoiaconoCardamoneLanzi2011AutomaticTrack,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,Daniele Loiacono; Luigi Cardamone; Pier Luca Lanzi,2011,IEEE Transactions on Computational Intelligence and AI in Games 3(3),10.1109/TCIAIG.2011.2163692,https://doi.org/10.1109/TCIAIG.2011.2163692,journal article,racing-game PCG transfer,race track generation entropy curvature speed profiles evolutionary paper,blind-ground,candidate,NR,unverified,https://re.public.polimi.it/handle/11311/609167; https://doi.org/10.1109/TCIAIG.2011.2163692,racing-game geometry,simulated car,closed race track,polar control points; tangent slopes; spline centerline,genetic algorithm; NSGA-II,synthesizes optimized TORCS track geometry,closed loop; self-intersection penalty; geometric feasibility penalties,track length; curvature entropy,speed-profile entropy; estimated lap behavior,curvature entropy; speed entropy,5; 10; or 15 control-point genotypes; 300 generations,10 runs per setup; 1000 tracks for descriptor correlation,TORCS 1.3.1,TORCS track format,NR,NR,population; generations; runs; control-point counts; objectives; TORCS version,https://re.public.polimi.it/handle/11311/609167; https://doi.org/10.1109/TCIAIG.2011.2163692,Primary contribution is geometry generation; speed profile is an evaluation surrogate.
BG-004,WangMissura2014RacingTracks,Racing Tracks Improvisation,Jiao Jian Wang; Olana Missura,2014,2014 IEEE Conference on Computational Intelligence and Games (CIG),10.1109/CIG.2014.6932899,https://doi.org/10.1109/CIG.2014.6932899,conference paper,racing-game PCG transfer,"""Racing Tracks Improvisation"" IEEE official",blind-ground,candidate,NR,unverified,https://doi.org/10.1109/CIG.2014.6932899,racing-game geometry,simulated car,race track,ordered track-segment sequence,sequence prediction; improvisational generation,learns segment transitions from example tracks and serializes new layouts,segment-compatibility model,NR,interestingness proxy; exact definition NR,NR,example-track corpus; size NR,generated-track evaluation; size NR,NR,NR,NR,NR,training corpus; sequence model; segment vocabulary,https://doi.org/10.1109/CIG.2014.6932899,Sequence generation is in scope; no claim is made about appearance. Final geometric repair details were not resolved.
BG-005,PrasetyaMaulidevi2016SearchBasedRaceTracks,Search-based Procedural Content Generation for Race Tracks in Video Games,Hafizh Adi Prasetya; Nur Ulfa Maulidevi,2016,International Journal on Electrical Engineering and Informatics 8(4),10.15676/ijeei.2016.8.4.6,https://ijeei.org/archives-number-49.html,journal article,racing-game PCG transfer,"""Search-based procedural content generation for race tracks"" official journal",blind-ground,candidate,NR,unverified,https://www.ijeei.org/docs-1804133866588e9f62ade3b.pdf,racing-game geometry,simulated car,closed race track,sequence of parameterized track segments,multiobjective search,searches segment sequences for valid and enjoyable tracks,closed; continuous; non-intersecting validity criteria,NR,questionnaire-derived fun objective,NR,search populations; exact sizes NR,player questionnaire; generated-track tests; counts NR,custom racing game,NR,NR,NR,segment parameters; validity predicates; objectives; questionnaire protocol,https://www.ijeei.org/docs-1804133866588e9f62ade3b.pdf,Human fun evaluation is separate from geometric validity.
BG-006,NascimentoEtAl2021ChainCode,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,Erik Jhones F. do Nascimento; Tassiana M. Castro; Ana Carolina S. Abreu; Amauri H. Souza; Filipe A. Lira,2021,XX SBGames Computing Track,10.1109/SBGames54170.2021.00025,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,conference paper,racing-game PCG transfer,"site:sbgames.org/proceedings2021 ""Procedural Generation of Isometric Racetracks Using Chain Code""",blind-ground,candidate,NR,unverified,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,racing-game geometry,simulated kart,2D isometric race track,Freeman chain-code direction sequence derived from track images,constructive random generation; Douglas-Peucker-like preprocessing,generates tile-placement paths from processed and varied chain codes,preprocessing removes staircase artifacts; gameplay/closure checks,path size; difference from source patterns,playability standard,98.5% average difference among generated tracks,images of predefined real tracks seed generation,100 generation runs,Unity,Unity scene/tile placement,NR,NR,input images; chain-code operations; preprocessing; 100-run protocol,https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf,Transfers geometric PCG to a game; flat 2D geometry limits direct robotic fidelity.
BG-007,AlyaseriConnor2024MetaheuristicRaceTrack,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,Sana Alyaseri; Andy M. Connor,2024,International Journal of Applied Metaheuristic Computing 15(1),10.4018/IJAMC.350330,https://doi.org/10.4018/IJAMC.350330,journal article,racing-game PCG transfer,"""procedural generation"" racetracks racing games paper DOI",blind-ground,candidate,NR,unverified,https://doi.org/10.4018/IJAMC.350330,racing-game geometry,simulated car,race track,parameterized track genotype,genetic algorithm; artificial bee colony; particle swarm optimization,compares metaheuristics that synthesize race-track layouts,geometric feasibility objective,NR,fitness/convergence; exact difficulty metric NR,algorithmic solution spread; exact metric NR,metaheuristic populations; sizes NR,comparative repeated trials; counts NR,NR,NR,NR,NR,algorithm parameters; objective; repetitions,https://doi.org/10.4018/IJAMC.350330,Included for generator comparison. The exact track primitive and validity predicates require full-text verification.
BG-008,HenrichKotter2025RepulsiveCurves,From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves,Lasse Henrich; Falko Koetter,2025,IEEE Transactions on Games 17(4),10.1109/TG.2025.3561107,https://doi.org/10.1109/TG.2025.3561107,journal article,racing-game PCG transfer,"""From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves""",blind-ground,candidate,NR,unverified,https://doi.org/10.1109/TG.2025.3561107; https://github.com/Lassehenrich/racetrack-generation/tree/2f0b796c1550e365893ac73104be94696493b3df,racing-game geometry,simulated car,closed race track; optional bridge/intersection geometry,self-repulsive planar curve; fitted spline; 3D editor geometry,physics-inspired curve growth; interactive authoring,grows and edits tracks in bounded areas; serializes playable 3D courses,self-repulsion avoids self-intersection and tight packing; editor checks,length; curvature; occupied area; exact set NR,NR,expressive-range descriptors,generated samples across parameter settings; count NR,expressive-range and gameplay demonstrations,Unity,Unity project/scene,official_open,NR,curve parameters; editor controls; expressive-range settings; repository,https://doi.org/10.1109/TG.2025.3561107; https://github.com/Lassehenrich/racetrack-generation/tree/2f0b796c1550e365893ac73104be94696493b3df,Optional crossings are explicit authored geometry rather than accidental invalidity. Author-owned repository was open at pinned commit 2f0b796c1550e365893ac73104be94696493b3df; no separate course-asset release was asserted.
BG-009,BrockmanEtAl2016OpenAIGym,OpenAI Gym,Greg Brockman; Vicki Cheung; Ludwig Pettersson; Jonas Schneider; John Schulman; Jie Tang; Wojciech Zaremba,2016,arXiv,10.48550/arXiv.1606.01540,https://arxiv.org/abs/1606.01540,preprint; official software,robot-learning benchmark,OpenAI Gym CarRacing random track generation official repository paper,blind-ground,candidate,NR,unverified,https://arxiv.org/abs/1606.01540; https://github.com/openai/gym/blob/bc212954b6713d5db303b3ead124de6cba66063e/gym/envs/box2d/car_racing.py; https://gymnasium.farama.org/environments/box2d/car_racing/,robot-learning course distribution,simulated car,closed road-tile racing course,checkpoint polyline; road-tile strip,stochastic constructive generator,samples a new closed racing course per episode in CarRacing,checkpoint/closure construction; failed generation retries,track tile count; loop geometry details NR,tile-completion reward; lap completion,episode-level random track variation,one newly sampled track per reset; seed-controllable,CarRacing benchmark episodes,Box2D; Gym/Gymnasium,runtime environment state,official_open,NR,seed; environment version; lap_complete_percent; domain_randomize flag,https://arxiv.org/pdf/1606.01540; https://github.com/openai/gym/blob/bc212954b6713d5db303b3ead124de6cba66063e/gym/envs/box2d/car_racing.py; https://gymnasium.farama.org/environments/box2d/car_racing/,Color domain randomization is coded separately from the in-scope random geometry. The OpenAI Gym repository is archived; the maintained Gymnasium implementation is a successor. No separate generated-track asset release was asserted.
BG-010,OKellyEtAl2020F1TENTH,F1TENTH: An Open-source Evaluation Environment for Continuous Control and Reinforcement Learning,Matthew O'Kelly; Hongrui Zheng; Dhruv Karthik; Rahul Mangharam,2020,Proceedings of the NeurIPS 2019 Competition and Demonstration Track; PMLR 123,NR,https://proceedings.mlr.press/v123/o-kelly20a.html,conference paper; official software,autonomous racing,"""random track generator"" F1TENTH",blind-ground,candidate,NR,unverified,https://proceedings.mlr.press/v123/o-kelly20a.html; https://f1tenth-gym.readthedocs.io/en/stable/; https://github.com/f1tenth/f1tenth_gym/tree/4fdb9c7e6fb7c701290f4dc18377d07c1681724f,autonomous racing,F1TENTH car,occupancy-map race track; random closed track,centerline/checkpoints rasterized to map,constructive random generator derived from CarRacing,provides random maps for training and evaluation alongside fixed maps,inherited loop checks; map rasterization,centerline length; map geometry NR,lap completion; collision; control reward,random-track variety; exact metric NR,random track instances; fixed benchmark maps,continuous-control and RL evaluation; exact map count NR,F1TENTH Gym,PNG/YAML map; centerline CSV,official_open,NR,simulator version; map resolution; seed; vehicle parameters,https://proceedings.mlr.press/v123/o-kelly20a/o-kelly20a.pdf; https://github.com/f1tenth/f1tenth_gym/tree/4fdb9c7e6fb7c701290f4dc18377d07c1681724f,Random-map support is an evaluation-environment feature rather than the paper's sole contribution. Exact inherited validity predicates were not resolved; no separate map-asset status was asserted.
BG-011,JainEtAl2021BayesRace,BayesRace: Learning to Race Autonomously Using Prior Experience,Achin Jain; Matthew O'Kelly; Pratik Chaudhari; Manfred Morari,2021,Proceedings of the 3rd Conference on Learning for Dynamics and Control; PMLR 155,NR,https://proceedings.mlr.press/v155/jain21b.html,conference paper,autonomous racing,"""BAYESRACE"" ""random track generator""",blind-ground,candidate,NR,unverified,https://proceedings.mlr.press/v155/jain21b.html; https://github.com/jainachin/bayesrace/tree/0a23cf950d5ec97c12c373622a4606c2321ad7ed,autonomous racing,F1TENTH car,random closed race track,NR,inherited OpenAI Gym CarRacing random-track generator,adapts an inherited generator to create four experimental F1TENTH tracks for a control study,NR,NR,lap time; Gaussian-process prediction quality,NR,four generated tracks: one vehicle-model training track; three validation tracks,F1TENTH control experiments in Appendix B,validated F1TENTH simulator; physical F1TENTH platform context,NR,official_open,official_open,four-track split; controller sequence; generator provenance; F1TENTH simulator; MIT-licensed author repository,"Appendix B, pp. 11-12: https://proceedings.mlr.press/v155/jain21b/jain21b.pdf; https://github.com/jainachin/bayesrace/blob/0a23cf950d5ec97c12c373622a4606c2321ad7ed/bayes_race/maps/generate_rand_track.py; https://github.com/jainachin/bayesrace/tree/0a23cf950d5ec97c12c373622a4606c2321ad7ed/bayes_race/tracks","Control/inherited-generator boundary: Appendix B states that BayesRace adapts a random track generator based on OpenAI Gym CarRacing and generates four tracks, but the paper does not contribute a new course generator or specify its representation/validity checks. The author repository contains generate_rand_track.py and track definitions."
