candidate_id,artifact_id,artifact_role,source_url,evidence_version,evidence_retrieved_on,access_status,evidence_archive_url,evidence_sha256,local_filename,redistribution_status,retrieval_notes
C0009,primary-report,primary-report,https://ieeexplore.ieee.org/document/5975206/,IEEE-T-CIAIG-3-3-2011,2026-07-03,full_text,NR,96c04acf36aa8db5ac156d363258a029007f67fca270b77d5504928314941aa9,C0009/C0009.pdf,local-restricted,NR
C0011,primary-report,primary-report,https://www.ijeei.org/docs-1804133866588e9f62ade3b.pdf,IJEEI-8-4-2016,2026-07-02,full_text,NR,653c84ca93cecdadc6614e817765da0422340cf249b5fb7824c6c83fbb5a632a,C0011/prasetya-2016-ijeei-8-4.pdf,local-restricted,NR
C0015,official-documentation,official-documentation,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks,UN-Regulation-No-157-2021,2026-07-03,official_documentation,NR,22ed8b3070f28d578d665356c194a8b64e049750ba6cfb7c6812275a8a830c7a,C0015/C0015.pdf,local-restricted,NR
C0017,official-source,official-documentation,https://raw.githubusercontent.com/Farama-Foundation/Gymnasium/v1.2.3/gymnasium/envs/box2d/car_racing.py,Gymnasium-v1.2.3,2026-07-02,official_documentation,NR,d0d8c61ba32101d480b46c416b6a0854614efd6f7180aba1276ac0ec4e7f3662,C0017/gymnasium-v1.2.3-car-racing.py,public-redistributable,NR
C0023,primary-report,primary-report,https://arxiv.org/pdf/2007.02787v1,arXiv-2007.02787v1,2026-07-02,full_text,NR,54ff312599150d891d4544961a92a26c8a783b30e69598ca3642f2f7fc74fe9c,C0023/riccio-2020-arxiv-2007.02787v1.pdf,local-restricted,NR
C0025,primary-report,primary-report,https://proceedings.mlr.press/v123/madaan20a/madaan20a.pdf,PMLR-v123-2020,2026-07-02,full_text,NR,ed3a9384cec193068e9c1631b7076a8eae1f8eaed2cbe704cdda7bac50e8ab7c,C0025/madaan-2020-pmlr123.pdf,local-restricted,NR
C0046,primary-report,primary-report,https://arxiv.org/pdf/2109.12674v3,arXiv-2109.12674v3,2026-07-02,full_text,NR,72e78ea7f50b48779f8f6e6344cdba945a5d0d1502139ff5dd16018215f5e2ef,C0046/metadrive-arxiv-2109.12674v3.pdf,local-restricted,NR
C0061,primary-report,primary-report,https://dl.acm.org/doi/10.1145/2994258.2994272,ACM-MIG-2016,2026-07-02,full_text,NR,cd96241fe2cce7816c3fa1cb2b9e862e5a610263fd38cc8560bb51b7f6ecd502,C0061/xpbd-mig2016.pdf,local-restricted,NR
C0063,official-source,official-documentation,https://github.com/AntoineRichard/TrackGen/blob/cf9e9433eafa30c8311476cf75a356dd42c541cd/track_gen/_src/track_generator.py,git-cf9e9433eafa30c8311476cf75a356dd42c541cd,2026-07-02,official_documentation,NR,c130ac12a1f94cb2514c17bcbb485747499bc31878d4d01aa72f0b587419dafd,C0063/trackgen-track-generator-cf9e9433.py,local-restricted,NR
C0088,official-rules,official-documentation,https://www.indyautonomouschallenge.com/s/2022-ACTMS-Rules-v100.pdf,IAC-ACTMS-Rules-v1.0.0,2026-07-02,official_documentation,NR,57488a57951b046b43e41de56ef5a6fdaf1bc4d4199895a387d4cc96a75bff0c,C0088/iac-actms-rules-v1.0.0.pdf,local-restricted,NR
C0090,official-documentation,official-documentation,https://www.ri.cmu.edu/robotics-groups/driverless-intelligent-vehicles-lab/,unversioned@2026-07-02,2026-07-02,official_documentation,NR,5907b2e622bdcdbaeb210b785b5143a460c7b65661bdc1c48efaf1bc8f49e957,C0090/drive-lab-profile-2026-07-02.html,local-restricted,NR
