candidate_id,input_sha256,snapshot_sha256,primary_snapshot_sha256,assignment_ids,adjudicator_id,reviewer_ids,decided_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,resolution_evidence,resolved_conflict_ids,notes
C0048,bcde21f04cb492556c5087c0521d75370c39458f7d4a099b664c57637d290ea8,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0048-02;A-C0048-05,adjudication-03,screening-02;screening-05,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://docs.unity3d.com/Manual/UnityManual.html,unversioned@2026-07-03,2026-07-06,NR,NR,Evidence manifest row C0048; retrieval_notes,"Unity (C0048) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0048, the first locked reason states: C0048 has no staged full text; metadata-only record cannot establish a retention condition. Whereas the second locked reason states: Frozen packet contains only metadata and no inspected primary report or documentation establishing a retention condition. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""Unity (C0048) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""Evidence manifest row C0048; retrieval_notes"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0048-02"",""reason"":""C0048 has no staged full text; metadata-only record cannot establish a retention condition.""},{""assignment_id"":""A-C0048-05"",""reason"":""Frozen packet contains only metadata and no inspected primary report or documentation establishing a retention condition.""}],""raw_ratings"":[{""assignment_id"":""A-C0048-02"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0048-05"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://docs.unity3d.com/Manual/UnityManual.html""}",NR,C0048: Full text unavailable in the frozen packet; metadata-only retrieval attempts are recorded.
C0053,a48a2375c8a91879edaac0ac0e46c01f26c9805dbb770cb3530211eec98c8c17,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0053-05;A-C0053-06,adjudication-03,screening-05;screening-06,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,official web checked 2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0053 metadata-only row,"ArcGIS CityEngine (C0053) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0053, the first locked reason states: Frozen packet contains only metadata and no inspected primary report or documentation establishing a retention condition. Whereas the second locked reason states: The staged artifact is metadata-only: no full report or versioned documentation was supplied, so a survey claim cannot be supported. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""ArcGIS CityEngine (C0053) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""evidence_packet_manifest.csv; C0053 metadata-only row"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0053-05"",""reason"":""Frozen packet contains only metadata and no inspected primary report or documentation establishing a retention condition.""},{""assignment_id"":""A-C0053-06"",""reason"":""The staged artifact is metadata-only: no full report or versioned documentation was supplied, so a survey claim cannot be supported.""}],""raw_ratings"":[{""assignment_id"":""A-C0053-05"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0053-06"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview""}",NR,Evidence limitation: metadata-only packet artifact with no staged primary report or official documentation.
C0055,d110e7b411eb4932f7e1f878b632ab8c1a98e78215dcb86d9c0d27608660b4fa,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0055-01;A-C0055-02,adjudication-03,screening-01;screening-02,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://pmc.ncbi.nlm.nih.gov/articles/PMC21766/,PMC full text checked 2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0055 provisional-metadata row,"Global Curvature, Thickness, and the Ideal Shapes of Knots (C0055) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0055, the first locked reason states: The C0055 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition. Whereas the second locked reason states: C0055 has no staged full text; metadata-only record cannot establish a retention condition. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""Global Curvature, Thickness, and the Ideal Shapes of Knots (C0055) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""evidence_packet_manifest.csv; C0055 provisional-metadata row"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0055-01"",""reason"":""The C0055 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.""},{""assignment_id"":""A-C0055-02"",""reason"":""C0055 has no staged full text; metadata-only record cannot establish a retention condition.""}],""raw_ratings"":[{""assignment_id"":""A-C0055-01"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0055-02"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC21766/""}",NR,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0055.
C0056,f158305a6e3f7515ca6e060f23e5d221862f78b6f7f9bd98995359382924e619,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0056-02;A-C0056-04,adjudication-03,screening-02;screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://link.springer.com/article/10.1007/s00222-002-0234-y,publisher record checked 2026-07-03,2026-07-06,NR,NR,Evidence manifest row C0056; retrieval_notes,"On the minimum ropelength of knots and links (C0056) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0056, the first locked reason states: C0056 has no staged full text; metadata-only record cannot establish a retention condition. Whereas the second locked reason states: The C0056 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""On the minimum ropelength of knots and links (C0056) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""Evidence manifest row C0056; retrieval_notes"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0056-02"",""reason"":""C0056 has no staged full text; metadata-only record cannot establish a retention condition.""},{""assignment_id"":""A-C0056-04"",""reason"":""The C0056 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.""}],""raw_ratings"":[{""assignment_id"":""A-C0056-02"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0056-04"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://link.springer.com/article/10.1007/s00222-002-0234-y""}",NR,C0056: Full text unavailable in the frozen packet; metadata-only retrieval attempts are recorded.
C0057,155621ac88cec28ad26fb454de58b3bc961b5c076d221dfbb116d19c016d2a3f,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0057-01;A-C0057-02,adjudication-03,screening-01;screening-02,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/,author project PDF checked 2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0057 provisional-metadata row,"Repulsive Curves (C0057) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0057, the first locked reason states: The C0057 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition. Whereas the second locked reason states: C0057 has no staged full text; metadata-only record cannot establish a retention condition. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""Repulsive Curves (C0057) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""evidence_packet_manifest.csv; C0057 provisional-metadata row"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0057-01"",""reason"":""The C0057 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.""},{""assignment_id"":""A-C0057-02"",""reason"":""C0057 has no staged full text; metadata-only record cannot establish a retention condition.""}],""raw_ratings"":[{""assignment_id"":""A-C0057-01"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0057-02"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/""}",NR,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0057.
C0058,c6152a74e070cd716162a4660a39b6ac8bf5b5fe05df6d9383a15104697e4ecc,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0058-03;A-C0058-04,adjudication-03,screening-03;screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://ieeexplore.ieee.org/document/10965488/,publisher record checked 2026-07-03,2026-07-06,NR,NR,Evidence manifest record C0058/provisional-metadata; retrieval_notes,"From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves (C0058) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0058, the first locked reason states: C0058 has only a metadata-only packet record; no staged full text establishes a core, supporting, or contextual retention condition. Whereas the second locked reason states: The C0058 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves (C0058) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""Evidence manifest record C0058/provisional-metadata; retrieval_notes"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0058-03"",""reason"":""C0058 has only a metadata-only packet record; no staged full text establishes a core, supporting, or contextual retention condition.""},{""assignment_id"":""A-C0058-04"",""reason"":""The C0058 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.""}],""raw_ratings"":[{""assignment_id"":""A-C0058-03"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0058-04"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://ieeexplore.ieee.org/document/10965488/""}",NR,C0058: metadata-only access remained after documented retrieval attempts; no staged full text was available to support an eligibility claim.
C0059,80f83feb6f321b0c8183f354611878a3c48ef2ca6d3afac677b72b4796a250b1,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0059-01;A-C0059-03,adjudication-03,screening-01;screening-03,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://arxiv.org/abs/2203.16383,arXiv:2203.16383 checked 2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0059 provisional-metadata row,"Tangent-point energies and ropelength as Gamma-limits of discrete tangent-point energies on biarc curves (C0059) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0059, the first locked reason states: The C0059 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition. Whereas the second locked reason states: C0059 has only a metadata-only packet record; no staged full text establishes a core, supporting, or contextual retention condition. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""Tangent-point energies and ropelength as Gamma-limits of discrete tangent-point energies on biarc curves (C0059) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""evidence_packet_manifest.csv; C0059 provisional-metadata row"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0059-01"",""reason"":""The C0059 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.""},{""assignment_id"":""A-C0059-03"",""reason"":""C0059 has only a metadata-only packet record; no staged full text establishes a core, supporting, or contextual retention condition.""}],""raw_ratings"":[{""assignment_id"":""A-C0059-01"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0059-03"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://arxiv.org/abs/2203.16383""}",NR,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0059.
C0060,a19d8413d12ad77aaa924c7abe50b2a915f5009ac8979fb1fdc84bacd795edac,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0060-01;A-C0060-04,adjudication-03,screening-01;screening-04,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://matthias-research.github.io/pages/publications/posBasedDyn.pdf,author PDF checked 2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0060 provisional-metadata row,"Position Based Dynamics (C0060) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0060, the first locked reason states: The C0060 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition. Whereas the second locked reason states: The C0060 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""Position Based Dynamics (C0060) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""evidence_packet_manifest.csv; C0060 provisional-metadata row"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0060-01"",""reason"":""The C0060 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.""},{""assignment_id"":""A-C0060-04"",""reason"":""The C0060 packet has only the metadata-only retrieval record and no staged primary report or authoritative artifact; it cannot establish a retention condition.""}],""raw_ratings"":[{""assignment_id"":""A-C0060-01"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0060-04"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://matthias-research.github.io/pages/publications/posBasedDyn.pdf""}",NR,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0060.
C0061,70ac570bc6190e430af01c80c7da830f3ba253774c776589e1dde8c3566520ed,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0061-04;A-C0061-05,adjudication-03,screening-04;screening-05,2026-07-06,excluded,exclude-out-of-scope,full_text,https://dl.acm.org/doi/10.1145/2994258.2994272,ACM-MIG-2016,2026-07-02,NR,cd96241fe2cce7816c3fa1cb2b9e862e5a610263fd38cc8560bb51b7f6ecd502,PDF p. 1; Abstract and Section 1 Introduction,"XPBD: Position-Based Simulation of Compliant Constrained Dynamics (C0061) establishes compliant position-based dynamics for deformable-body simulation, but no frozen evidence establishes a course representation, course generator, transferable route/test-input property, or contextual review.","{""comparison_analysis"":""For C0061, the first locked reason states: The paper establishes compliant position-based dynamics for deformable-body simulation but no course representation generation transferable route/test-input contribution supporting property or contextual review. Whereas the second locked reason states: The report defines a position-based dynamics method for deformable-body simulation and provides no course representation generator benchmark or transferable route property. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""XPBD: Position-Based Simulation of Compliant Constrained Dynamics (C0061) establishes compliant position-based dynamics for deformable-body simulation, but no frozen evidence establishes a course representation, course generator, transferable route/test-input property, or contextual review.""},""deciding_locator"":""PDF p. 1; Abstract and Section 1 Introduction"",""final_decision"":{""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0061-04"",""reason"":""The paper establishes compliant position-based dynamics for deformable-body simulation but no course representation generation transferable route/test-input contribution supporting property or contextual review.""},{""assignment_id"":""A-C0061-05"",""reason"":""The report defines a position-based dynamics method for deformable-body simulation and provides no course representation generator benchmark or transferable route property.""}],""raw_ratings"":[{""assignment_id"":""A-C0061-04"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""},{""assignment_id"":""A-C0061-05"",""criterion"":""exclude-out-of-scope"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://dl.acm.org/doi/10.1145/2994258.2994272""}",NR,NR
C0062,52d27c1fd5b28d91dc70e5b7935724845cde490a2a42c25c29d78e0c269b4fe3,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,4c3c7b94db4f0cab66f00e4c2f9ada1198f700b0ad9857f19b8b4fee1dd7f212,A-C0062-01;A-C0062-06,adjudication-03,screening-01;screening-06,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://ieeexplore.ieee.org/document/10093017/,publisher record checked 2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0062 provisional-metadata row,"Robotic Manipulation of Deformable Rope-Like Objects Using Differentiable Compliant Position-Based Dynamics (C0062) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.","{""comparison_analysis"":""For C0062, the first locked reason states: The C0062 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition. Whereas the second locked reason states: The staged artifact is metadata-only: no full report or versioned documentation was supplied, so a survey claim cannot be supported. The wording differs, but both describe the same frozen-evidence limitation rather than competing eligibility facts. The draft rationale therefore records the source-specific factual basis for the agreed exclusion under the frozen protocol."",""controlling_rules"":[""A3""],""deciding_fact"":{""kind"":""exclusion_reason"",""text"":""Robotic Manipulation of Deformable Rope-Like Objects Using Differentiable Compliant Position-Based Dynamics (C0062) is recorded as abstract-only in the frozen evidence packet: the packet contains only a metadata retrieval record and no staged primary artifact establishing a core, supporting, or contextual retention condition.""},""deciding_locator"":""evidence_packet_manifest.csv; C0062 provisional-metadata row"",""final_decision"":{""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},""raw_exclusion_reasons"":[{""assignment_id"":""A-C0062-01"",""reason"":""The C0062 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.""},{""assignment_id"":""A-C0062-06"",""reason"":""The staged artifact is metadata-only: no full report or versioned documentation was supplied, so a survey claim cannot be supported.""}],""raw_ratings"":[{""assignment_id"":""A-C0062-01"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""},{""assignment_id"":""A-C0062-06"",""criterion"":""exclude-insufficient-detail"",""screening_status"":""excluded""}],""resolved_conflicts"":[],""schema_version"":""1"",""source_url"":""https://ieeexplore.ieee.org/document/10093017/""}",NR,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0062.
