assignment_id,phase,candidate_id,input_sha256,snapshot_sha256,batch_id,coder_id,screened_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,notes
A-C0015-05,calibration,C0015,cb1ddc5dc32f8fcc322f467e83b4b075d0643984e7b5331c87f8334855af025b,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,excluded,exclude-insufficient-detail,abstract_only,https://unece.org/sites/default/files/2021-03/R157r1e.pdf;https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks,UN Regulation No. 157 (2021),2026-07-02,NR,NR,official landing page document record,"The official landing page and the linked official PDF both returned HTTP 403, so no regulation text or technical course-related material could be inspected.",Retrieval attempts: official regulation landing page and direct UNECE PDF URL; both were inaccessible.
A-C0023-05,calibration,C0023,61825c30c572beac04dd6f715721f6d40ea92eb6490a98897b9a795add4afffd,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,included,include-relevant,full_text,https://arxiv.org/pdf/2007.02787,arXiv:2007.02787v1,2026-07-02,https://arxiv.org/pdf/2007.02787v1,54ff312599150d891d4544961a92a26c8a783b30e69598ca3642f2f7fc74fe9c,p.1 Abstract; p.4 Sec.4.2 Regression; p.6 Sec.5.6 Repopulation Operator,NR,Adjacent-domain mapping: DeepJanus mutates road-spline control points for lane-keeping tests; that parameterized road geometry maps to racing-course centerlines and corridors.
A-C0025-05,calibration,C0025,408943733d19488289a738355c6a7be9a52883d16958081049d40dd8e7083d50,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,included,include-relevant,full_text,https://proceedings.mlr.press/v123/madaan20a/madaan20a.pdf,PMLR 123 (2020),2026-07-02,https://proceedings.mlr.press/v123/madaan20a/madaan20a.pdf,ed3a9384cec193068e9c1631b7076a8eae1f8eaed2cbe704cdda7bac50e8ab7c,p.1 Abstract; pp.3-4 Sec.3 Software Architecture; pp.4-5 Sec.4 Race Tracks and Baselines; p.10 Appendix A,NR,NR
A-C0061-05,calibration,C0061,688ce107f10ee42b641ca01698043395f91e4c82e7516ec62418456bc8a70c67,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1145/2994258.2994272;https://matthias-research.github.io/pages/publications/XPBD.pdf,DOI:10.1145/2994258.2994272,2026-07-02,NR,NR,publisher record and author PDF artifact,"The publisher record did not provide full text and the retrieved author-PDF artifact was incomplete and not inspectable, leaving no material evidence about course generation or a transferable course representation.",Retrieval attempts: DOI/publisher record and authors' PDF URL; the latter could not be parsed as a complete PDF.
A-C0088-05,calibration,C0088,e43001613a41da80bb64bd1e8903e48272831f1bceff71c0a40cf909d1a4d062,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,excluded,exclude-insufficient-detail,abstract_only,https://www.indyautonomouschallenge.com/,unversioned@2026-07-02,2026-07-02,NR,NR,official landing page home,The assigned official competition site returned HTTP 403 and no inspectable rules or technical artifact established a course-generation or transferable course contribution.,Retrieval attempt: official competition landing page with standard browser user agent; access was denied.
A-C0097-05,calibration,C0097,5cf9172bdac606f7f259d8586218d993065f7460d4d6967b69fcbe07715b3522,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,included,include-relevant,full_text,https://openaccess.thecvf.com/content/CVPR2021/papers/Mi_HDMapGen_A_Hierarchical_Graph_Generative_Model_of_High_Definition_Maps_CVPR_2021_paper.pdf,CVPR 2021,2026-07-02,https://openaccess.thecvf.com/content/CVPR2021/papers/Mi_HDMapGen_A_Hierarchical_Graph_Generative_Model_of_High_Definition_Maps_CVPR_2021_paper.pdf,49217d68969ec0ad5cdd9cf1932912f666775ba88679fc989e689de8f67c0f89,p.1 Abstract; pp.1-2 Sec.1 Introduction; p.3 Sec.3 Method,NR,Adjacent-domain mapping: generated HD lane-map graphs contain spatial coordinates and road geometry that map to racing-course centerlines corridors and topology.
A-C0110-05,calibration,C0110,6ba821e89c9ef39a58f6b77a4084c3c0e13fb8e5196ed444cac363b6edc432f4,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,excluded,exclude-insufficient-detail,abstract_only,https://api.openalex.org/works/https://doi.org/10.1016/j.scico.2024.103171;https://www.sciencedirect.com/science/article/pii/S0167642324000947,DOI:10.1016/j.scico.2024.103171,2026-07-02,NR,NR,publisher landing page article record,The publisher PDF endpoint returned HTTP 403 and the scholarly index reported no available full text so the accessible record could not substantiate the technical road-generator contribution.,Retrieval attempts: DOI/publisher record and OpenAlex work record; neither supplied inspectable full text.
A-C0128-05,calibration,C0128,fb7c0530c2dfb53fa06f790a2ccc75f318dc8a6bda6e342dd2effde98f840064,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,included,include-relevant,official_documentation,https://commonroad.in.tum.de/static/js/main.c9594b00.chunk.js,documentation bundle main.c9594b00,2026-07-02,https://commonroad.in.tum.de/static/js/main.c9594b00.chunk.js,fbe678e0b0745a999c75dc9600789764375fd493825405bb35c247373fcaf8f2,official documentation bundle: Introduction; Scenarios and Benchmarks; CommonRoad Input-Output,NR,Adjacent-domain mapping: CommonRoad XML scenarios and road benchmarks map to robot course corridors topology and simulator course interfaces.
A-C0136-05,calibration,C0136,dda1de9c4ea938803fa2926bc280d1036187ece14cba522943baa19229c1a2cd,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,included,include-relevant,full_text,https://digitalcollection.zhaw.ch/server/api/core/bitstreams/c06a4f2a-a833-4e82-8880-c4159addb4d4/content,ZHAW repository item 11475/23364,2026-07-02,https://digitalcollection.zhaw.ch/server/api/core/bitstreams/c06a4f2a-a833-4e82-8880-c4159addb4d4/content,e0c9723c8d01665aaec37115001bd5064b4bb40f6c0276e847cbd94a02438fec,pp.4-5 Sec.III-A Simulation-based Testing of Self-Driving Car Software; Fig.5; p.6 Sec.III-B,NR,Adjacent-domain mapping: virtual-road point sequences and cubic-spline road spines map directly to racing-course centerlines and corridor geometry.
A-C0140-05,calibration,C0140,6881035d700377962c4eebeff3019b87ea31a5cfc8eece28d73661f5ba2370f9,d91b44f278376601725a8290d24c75326d02808513f3e6c40f77b89493d6f14f,screening-05,screening-05,2026-07-02,boundary,boundary,full_text,https://arxiv.org/pdf/2309.14341,arXiv:2309.14341,2026-07-02,NR,50f1cf2b73b9147111100994d1dfffbfd15a9a6c2412aee1921d4d3e58ee2285,p.5 Fig.3 and Sec.3; p.7 Table 2,NR,Boundary transfer: report waypoint-completion performance and terrain-edge contact violations for fixed obstacle-course control.
