assignment_id,phase,candidate_id,input_sha256,snapshot_sha256,batch_id,coder_id,screened_on,screening_status,criterion,access_status,source_urls,evidence_version,evidence_retrieved_on,evidence_archive_url,evidence_sha256,screening_locator,exclusion_reason,notes
A-C0002-01,main,C0002,37a7f68b5d591a47bb01c19f8642da699c8d1e39e027ee6e7f48ba6648e88b4b,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://forge.a-lec.org/speed-dreams/speed-dreams-code,unversioned@2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0002 provisional-metadata row,The C0002 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0002.
A-C0008-01,main,C0008,29c4df0f71eaf837a407fdf3d3355ac389670183460ffcbc5ffbbc9dfb5ae16e,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,included,include-relevant,full_text,https://arxiv.org/pdf/2303.17900,arXiv:2303.17900v2,2026-07-06,NR,a16724999de0aa16fbdd1ee5d178a77a1dbd7cdbf31ed7efeaa30b6c1aa518f8,"PDF p. 1; Abstract; PDF p. 2; Section III, Methods for Roundabout Generation",NR,"Adjacent-domain mapping: generated road geometry and OpenDRIVE output map to racing-course corridors, topology, and boundaries."
A-C0012-01,main,C0012,f2d916679807edb81c1cf1f7b5cf9822595a3e8926454f15a380bf4d074db277,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.4018/ijamc.350330,DOI-10.4018-ijamc.350330,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0012 provisional-metadata row,The C0012 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0012.
A-C0022-01,main,C0022,e70e9e97ef2be48c1458f62b9e6cc94fd88ec7e6fff8954fe92d0c1e019d7944,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1145/3293882.3330566,DOI-10.1145-3293882.3330566,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0022 provisional-metadata row,The C0022 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0022.
A-C0026-01,main,C0026,17325e8221de27bf18903c0e782272b10985b5825fd1fce5af131c8c3d235e9c,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1109/IROS51168.2021.9636053,DOI-10.1109-IROS51168.2021.9636053,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0026 provisional-metadata row,The C0026 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0026.
A-C0028-01,main,C0028,f6d47e2c66ae9ffcc6b266ba97bc8749458d69ef6eaa01439a86b011d44a3afd,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://developer.nvidia.com/isaac-gym,unversioned@2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0028 provisional-metadata row,The C0028 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0028.
A-C0029-01,main,C0029,04a7d999e2d3de9802d683ca45611a74e737899ab3484d46b783d2c929777c58,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://doi.org/10.1038/s41586-021-04357-7,DOI-10.1038-s41586-021-04357-7,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0029 provisional-metadata row,The C0029 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0029.
A-C0030-01,main,C0030,5dd043717fec86384830a31d59bc9758fe903eca69bfb0e782eb3f567856dee6,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://www.polyphony.co.jp/products/,unversioned@2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0030 provisional-metadata row,The C0030 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0030.
A-C0032-01,main,C0032,87af24b751fca26935ea94e4482467be1c54e2ae1b24fa379678a66e2dd3a13e,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://rlj.cs.umass.edu/2024/papers/Paper213.html,RLJ-2024-Paper213,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0032 provisional-metadata row,The C0032 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0032.
A-C0034-01,main,C0034,04f4eaee14a7b681485cfb2e0b3265c6ac6de600f0d57ee896abe900cb9f8f0a,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,screening-01,screening-01,2026-07-06,excluded,exclude-insufficient-detail,abstract_only,https://www.gran-turismo.com/us/products/gtsport/,unversioned@2026-07-03,2026-07-06,NR,NR,evidence_packet_manifest.csv; C0034 provisional-metadata row,The C0034 frozen packet contains only a metadata record and no staged primary artifact establishing a retention condition.,Frozen-packet retrieval limitation: no full text or other primary artifact is staged for C0034.
