cite_key,source_candidate_id,title,field,primary_value,reliability_value,primary_evidence_locator,primary_coding_notes,evidence_bytes_locator,evidence_sha256
DRAFT_C0006,C0006,Improving the Generalization of End-to-End Driving through Procedural Generation,representation_family,segment_grammar;waypoint_graph,segment_grammar,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 3 Sec. III-A;representation_family=PDF p. 3 Sec. III-A;generator_family=PDF p. 3 Sec. III-B Algorithm 1;generation_role=PDF p. 3 Sec. III-B Algorithm 1;validity_strategy=PDF p. 3 Sec. III-B Algorithm 1 lines 16-26;training_distribution=PDF p. 6 Sec. IV-B;evaluation_suite=PDF p. 6 Secs. IV-B-IV-C;simulator=PDF p. 1 Sec. I;code_status=PDF p. 1 Abstract and Sec. I;reproducibility_fields=PDF p. 3 Secs. III-A-III-B and PDF p. 6 Sec. IV-A,NR,paper/data/source_archive/v8/C0006/improving_generalization_procedural_generation_arxiv_2012.13681.pdf,35fab1daecfccb222c2feac79cc5b019ebdc99f9b1b8d0efa300cbe542606fa0
DRAFT_C0006,C0006,Improving the Generalization of End-to-End Driving through Procedural Generation,validity_strategy,rejection,by_construction,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 3 Sec. III-A;representation_family=PDF p. 3 Sec. III-A;generator_family=PDF p. 3 Sec. III-B Algorithm 1;generation_role=PDF p. 3 Sec. III-B Algorithm 1;validity_strategy=PDF p. 3 Sec. III-B Algorithm 1 lines 16-26;training_distribution=PDF p. 6 Sec. IV-B;evaluation_suite=PDF p. 6 Secs. IV-B-IV-C;simulator=PDF p. 1 Sec. I;code_status=PDF p. 1 Abstract and Sec. I;reproducibility_fields=PDF p. 3 Secs. III-A-III-B and PDF p. 6 Sec. IV-A,NR,paper/data/source_archive/v8/C0006/improving_generalization_procedural_generation_arxiv_2012.13681.pdf,35fab1daecfccb222c2feac79cc5b019ebdc99f9b1b8d0efa300cbe542606fa0
DRAFT_C0008,C0008,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,representation_family,centerline_plus_width,parametric_curve,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 2 Sec. III;generator_family=PDF p. 2 Sec. III and PDF p. 3 Sec. III-A;generation_role=PDF p. 2 Sec. III;validity_strategy=PDF p. 3 Sec. III-A;export_format=PDF p. 1 Sec. I;reproducibility_fields=PDF p. 2 Sec. III and PDF p. 3 Secs. III-A-III-B,NR,paper/data/source_archive/v8/C0008/complex_roundabouts_autonomous_vehicle_testing_arxiv_2303.17900.pdf,a16724999de0aa16fbdd1ee5d178a77a1dbd7cdbf31ed7efeaa30b6c1aa518f8
DRAFT_C0008,C0008,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,generator_family,constructive;stochastic_procedural,constructive,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 2 Sec. III;generator_family=PDF p. 2 Sec. III and PDF p. 3 Sec. III-A;generation_role=PDF p. 2 Sec. III;validity_strategy=PDF p. 3 Sec. III-A;export_format=PDF p. 1 Sec. I;reproducibility_fields=PDF p. 2 Sec. III and PDF p. 3 Secs. III-A-III-B,NR,paper/data/source_archive/v8/C0008/complex_roundabouts_autonomous_vehicle_testing_arxiv_2303.17900.pdf,a16724999de0aa16fbdd1ee5d178a77a1dbd7cdbf31ed7efeaa30b6c1aa518f8
DRAFT_C0008,C0008,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,validity_strategy,rejection,by_construction,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 2 Sec. III;generator_family=PDF p. 2 Sec. III and PDF p. 3 Sec. III-A;generation_role=PDF p. 2 Sec. III;validity_strategy=PDF p. 3 Sec. III-A;export_format=PDF p. 1 Sec. I;reproducibility_fields=PDF p. 2 Sec. III and PDF p. 3 Secs. III-A-III-B,NR,paper/data/source_archive/v8/C0008/complex_roundabouts_autonomous_vehicle_testing_arxiv_2303.17900.pdf,a16724999de0aa16fbdd1ee5d178a77a1dbd7cdbf31ed7efeaa30b6c1aa518f8
DRAFT_C0009,C0009,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,representation_family,segment_grammar,segment_grammar;parametric_curve,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. I;vehicle=PDF p. 1, Sec. I;course_object=PDF p. 5, Sec. V-B;representation_family=PDF p. 5, Sec. V-B-C;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 1, Abstract;validity_strategy=PDF p. 5, Algorithm 1;diversity_metrics=PDF p. 6-7, Sec. VI-A-B;evaluation_suite=PDF p. 1, Abstract;simulator=PDF p. 1, Sec. I",NR,paper/data/source_archive/v8/C0009/C0009.pdf,96c04acf36aa8db5ac156d363258a029007f67fca270b77d5504928314941aa9
DRAFT_C0009,C0009,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,generation_role,geometry_synthesis,geometry_synthesis;mutation,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. I;vehicle=PDF p. 1, Sec. I;course_object=PDF p. 5, Sec. V-B;representation_family=PDF p. 5, Sec. V-B-C;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 1, Abstract;validity_strategy=PDF p. 5, Algorithm 1;diversity_metrics=PDF p. 6-7, Sec. VI-A-B;evaluation_suite=PDF p. 1, Abstract;simulator=PDF p. 1, Sec. I",NR,paper/data/source_archive/v8/C0009/C0009.pdf,96c04acf36aa8db5ac156d363258a029007f67fca270b77d5504928314941aa9
DRAFT_C0011,C0011,Search-based Procedural Content Generation for Race Tracks in Video Games,generation_role,geometry_synthesis,geometry_synthesis;mutation,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF p. 2, Sec. 3;representation_family=PDF p. 4, Sec. 4;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 1, Abstract;validity_strategy=PDF p. 4-5, Sec. 5-A;diversity_metrics=PDF p. 5, Sec. 5-B;evaluation_suite=PDF p. 1, Abstract",NR,paper/data/source_archive/v8/C0011/prasetya-2016-ijeei-8-4.pdf,653c84ca93cecdadc6614e817765da0422340cf249b5fb7824c6c83fbb5a632a
DRAFT_C0011,C0011,Search-based Procedural Content Generation for Race Tracks in Video Games,validity_strategy,by_construction;penalty,penalty,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF p. 2, Sec. 3;representation_family=PDF p. 4, Sec. 4;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 1, Abstract;validity_strategy=PDF p. 4-5, Sec. 5-A;diversity_metrics=PDF p. 5, Sec. 5-B;evaluation_suite=PDF p. 1, Abstract",NR,paper/data/source_archive/v8/C0011/prasetya-2016-ijeei-8-4.pdf,653c84ca93cecdadc6614e817765da0422340cf249b5fb7824c6c83fbb5a632a
DRAFT_C0020,C0020,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design,generator_family,environment_design,learned_generative;environment_design,domain=PDF p. 2 Fig. 1 and Sec. 1;vehicle=PDF p. 2 Fig. 1;course_object=PDF p. 2 Fig. 1;generator_family=PDF p. 5 Sec. 4 and Algorithm 1;generation_role=PDF p. 5 Algorithm 1 and PDF p. 7 Sec. 5.1;geometry_metrics=PDF p. 6 Fig. 2 and PDF p. 8 Sec. 5.1.2;difficulty_metrics=PDF p. 6 Fig. 2;training_distribution=PDF p. 4 Sec. 3 and PDF p. 5 Algorithm 1;evaluation_suite=PDF p. 7 Fig. 3 and Sec. 5.1.2;code_status=PDF p. 5 Sec. 4;reproducibility_fields=PDF p. 5 Sec. 4 and PDF p. 6 Fig. 2,Adjacent navigation-world source; no racing-specific vehicle or simulator is claimed.,paper/data/source_archive/v8/C0020/emergent_complexity_zero_shot_transfer_neurips_2020.pdf,06b29c20bada539ceac41556b78831f13ee296c4dccda8f2512dccd4b843624e
