source_path,source_heading,source_label,candidate_id,coverage_status,notes
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators",TORCS,C0001,linked,
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators",Speed Dreams,C0002,linked,
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators",Interactive Track Generator for TORCS and Speed Dreams,C0003,linked,
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators","Barthet et al., ""Closing the Affective Loop via Experience-Driven Reinforcement Learning Designers"" (2024)",C0004,linked,
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators",Solid Rally,C0005,linked,Named game in the Barthet et al. source description.
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators","Li et al., ""Improving the Generalization of End-to-End Driving through Procedural Generation"" / PGDrive (2020)",C0006,linked,
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators","Ikram, Muktadir, Whitehead, ""Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing"" (2023)",C0008,linked,
docs/related-work/state-of-the-art.rst,"Constructive Segment, Tile, and Road-Block Generators",OpenDRIVE,C0007,linked,Named export/road standard in the roundabout source description.
docs/related-work/state-of-the-art.rst,Evolutionary and Metaheuristic Race-Track Generators,"Loiacono, Cardamone, Lanzi, ""Automatic Track Generation for High-End Racing Games Using Evolutionary Computation"" (2011)",C0009,linked,
docs/related-work/state-of-the-art.rst,Evolutionary and Metaheuristic Race-Track Generators,"Togelius, De Nardi, Lucas, ""Making Racing Fun Through Player Modeling and Track Evolution"" (2006)",C0010,linked,
docs/related-work/state-of-the-art.rst,Evolutionary and Metaheuristic Race-Track Generators,"Prasetya and Maulidevi, ""Search-Based Procedural Content Generation for Race Tracks in Video Games"" (2016)",C0011,linked,
docs/related-work/state-of-the-art.rst,Evolutionary and Metaheuristic Race-Track Generators,"Alyaseri and Conner, ""Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games"" (2024)",C0012,linked,
docs/related-work/state-of-the-art.rst,Evolutionary and Metaheuristic Race-Track Generators,"Nascimento et al., ""Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games"" (2021)",C0013,linked,
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,"Klueck, Klampfl, Wotawa, ""Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search"" (2021)",C0014,linked,
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,ALKS,C0015,linked,Named standard/test regime in the paper title.
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,"Jiang et al., ""Replay-Guided Adversarial Environment Design"" / REPAIRED (2021)",C0016,linked,
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,OpenAI Gym CarRacing,C0017,linked,Named benchmark environment used by REPAIRED.
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,"Azad et al., ""CLUTR: Curriculum Learning via Unsupervised Task Representation Learning"" (2022)",C0018,linked,
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,PLR,C0019,linked,Named curriculum method in the CLUTR comparison.
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,PAIRED,C0020,linked,Named curriculum method in the CLUTR comparison.
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,ACCEL,C0021,linked,Named curriculum method in the CLUTR comparison.
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,"Gambi, Mueller, Fraser, ""Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation"" / ASFault (2019)",C0022,linked,
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,DeepJanus,C0023,linked,
docs/related-work/state-of-the-art.rst,Search over Splines and Control Points,Frenet-space SDC testing,C0024,linked,
docs/related-work/state-of-the-art.rst,3D Gate and Waypoint Course Generators,"Madaan et al., ""AirSim Drone Racing Lab"" (2020)",C0025,linked,
docs/related-work/state-of-the-art.rst,3D Gate and Waypoint Course Generators,"Song, Steinweg, Kaufmann, Scaramuzza, ""Autonomous Drone Racing with Deep Reinforcement Learning"" (2021)",C0026,linked,
docs/related-work/state-of-the-art.rst,3D Gate and Waypoint Course Generators,"Liu et al., ""Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing"" (2024)",C0027,linked,
docs/related-work/state-of-the-art.rst,3D Gate and Waypoint Course Generators,Isaac Gym,C0028,linked,Named simulator in the Liu et al. source description.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing Agents on Fixed Tracks,"Wurman et al., ""Outracing champion Gran Turismo drivers with deep reinforcement learning"" / GT Sophy (Nature 2022)",C0029,linked,
docs/related-work/state-of-the-art.rst,Boundary Case: Racing Agents on Fixed Tracks,Gran Turismo,C0030,linked,Named fixed-track game platform in the GT Sophy source description.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing Agents on Fixed Tracks,"Fuchs et al., ""Super-Human Performance in Gran Turismo Sport Using Deep Reinforcement Learning"" (2020/2021)",C0031,linked,
docs/related-work/state-of-the-art.rst,Boundary Case: Racing Agents on Fixed Tracks,Sony AI vision-based GT agents (arXiv:2406.12563),C0032,linked,Compound source label split by its first visible link.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing Agents on Fixed Tracks,Sony AI vision-based GT agents (arXiv:2504.09021),C0033,linked,Compound source label split by its second visible link.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing Agents on Fixed Tracks,Gran Turismo Sport,C0034,linked,Named game platform in the Fuchs et al. source description.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing Agents on Fixed Tracks,Gran Turismo 7,C0035,linked,Named game platform in the later-agent source description.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Theodosis and Gerdes, ""Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques"" (2011)",C0036,linked,
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Braghin et al., ""Race driver model"" (2008)",C0037,linked,Compound source label split into distinct works.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Heilmeier et al., ""Minimum curvature trajectory planning and control for an autonomous race car"" (2020)",C0038,linked,Compound source label split into distinct works.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Muehlmeier and Mueller, ""Optimization of the Driving Line on a Race Track"" (2002)",C0039,linked,Compound source label split into distinct works.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Cardamone et al., ""Searching for the optimal racing line using genetic algorithms"" (2010)",C0040,linked,Compound source label split into distinct works.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Christ et al., ""Time-optimal trajectory planning for a race car considering variable tyre-road friction coefficients"" (2021)",C0041,linked,
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Jain and Morari, ""Computing the racing line using Bayesian optimization"" (2020)",C0042,linked,
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Kapania and Gerdes, ""Learning at the Racetrack"" (2020)",C0043,linked,Compound source label split into distinct works.
docs/related-work/state-of-the-art.rst,Boundary Case: Racing-Line Optimization on Fixed Tracks,"Bonab and Emadi, ""Optimization-based Path Planning for an Autonomous Vehicle in a Racing Track"" (2019)",C0044,linked,Compound source label split into distinct works.
