candidate_id,input_sha256,agent_id,input_conflict_id,field,value_a,value_b,resolution,resolution_evidence
C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,metadata-03,X1ED69D0F8DC4,title,Car Racing,Gymnasium / OpenAI Gym CarRacing,Car Racing,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/
C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,metadata-03,X99E6B9BD79FB,title,Gymnasium CarRacing environment track generator,Gymnasium / OpenAI Gym CarRacing,Car Racing,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/
C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,metadata-03,X0EEE1618BA5F,venue,Gymnasium documentation and official repository,Gymnasium official source repository,Gymnasium Documentation,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/
C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,metadata-03,X9045855FEF12,url,https://github.com/Farama-Foundation/Gymnasium/blob/main/gymnasium/envs/box2d/car_racing.py,https://gymnasium.farama.org/environments/box2d/car_racing/,https://gymnasium.farama.org/environments/box2d/car_racing/,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/
C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,metadata-03,XA8AE531F9D33,source_type,benchmark,official documentation; official repository,benchmark environment; official documentation,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/
C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,metadata-03,X740901697A69,source_type,benchmark,software,benchmark environment; official documentation,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/
C0022,d0e9b7c9d3113150f3b351a577029cfab9c50ca0f9aa23762d59c5b504f2e520,metadata-03,X61868C21ACCF,title,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation / ASFault,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566
C0022,d0e9b7c9d3113150f3b351a577029cfab9c50ca0f9aa23762d59c5b504f2e520,metadata-03,X3D280183A33D,authors,Alessio Gambi; Marc Mueller; Gordon Fraser,Gambi; Mueller; Fraser,Alessio Gambi; Marc Mueller; Gordon Fraser,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566
C0022,d0e9b7c9d3113150f3b351a577029cfab9c50ca0f9aa23762d59c5b504f2e520,metadata-03,XA16F13F480E1,venue,Proceedings of ISSTA 2019,Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA),Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566
C0022,d0e9b7c9d3113150f3b351a577029cfab9c50ca0f9aa23762d59c5b504f2e520,metadata-03,X362EF6800BC7,url,https://doi.org/10.1145/3293882.3330566,https://doi.org/10.1145/3293882.3330566; https://github.com/alessiogambi/AsFault,https://doi.org/10.1145/3293882.3330566,doi::https://doi.org/10.1145/3293882.3330566;publisher::https://dl.acm.org/doi/10.1145/3293882.3330566
C0022,d0e9b7c9d3113150f3b351a577029cfab9c50ca0f9aa23762d59c5b504f2e520,metadata-03,XD574FF77C243,source_type,conference paper; official software,paper,conference paper,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566
C0061,057aac86e7dc383c11f804d558b9aff30c02b7411b0a8afe8bf78dc1deb2ad2c,metadata-03,X9CAF616BE34E,authors,Macklin et al.,Miles Macklin; Matthias Mueller; Nuttapong Chentanez,Miles Macklin; Matthias Müller; Nuttapong Chentanez,publisher::https://dl.acm.org/doi/10.1145/2994258.2994272
C0061,057aac86e7dc383c11f804d558b9aff30c02b7411b0a8afe8bf78dc1deb2ad2c,metadata-03,X43966B70C759,url,https://doi.org/10.1145/2994258.2994272; https://matthias-research.github.io/pages/publications/XPBD.pdf,https://matthias-research.github.io/pages/publications/XPBD.pdf,https://doi.org/10.1145/2994258.2994272,doi::https://doi.org/10.1145/2994258.2994272;publisher::https://dl.acm.org/doi/10.1145/2994258.2994272
C0107,50d8b501badbab055a0ccaf5f1c8e1489b589d98218c9dd4fd0dbdb0e18c25b7,metadata-03,X9E39BADD52DD,venue,Information and Software Technology,Information and Software Technology 149,Information and Software Technology,publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866
C0107,50d8b501badbab055a0ccaf5f1c8e1489b589d98218c9dd4fd0dbdb0e18c25b7,metadata-03,XCCA633D7421C,url,https://doi.org/10.1016/j.infsof.2022.106936,https://doi.org/10.1016/j.infsof.2022.106936; https://github.com/dgumenyuk/AmbieGen_tool,https://doi.org/10.1016/j.infsof.2022.106936,doi::https://doi.org/10.1016/j.infsof.2022.106936;publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866
C0107,50d8b501badbab055a0ccaf5f1c8e1489b589d98218c9dd4fd0dbdb0e18c25b7,metadata-03,X2B76EC7B938B,source_type,journal article; official software,paper,journal article,publisher::https://www.sciencedirect.com/science/article/pii/S0950584922000866
