candidate_id,draft_file,draft_status,draft_criterion,needs_accountable_author_review,input_sha256,snapshot_sha256,primary_snapshot_sha256,assignment_ids,reviewer_ids,raw_access_statuses,trigger_ids,resolved_conflict_ids,conversion_status
C0001,batch-01.md,included,include-1,false,d270eedaa9e11fbb23a369eb8cbda605ca61e780616d6ca95b35ad4fd5019beb,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0001-03;A-C0001-05,screening-03;screening-05,official_documentation;official_documentation,A2,NR,ready_for_normalization
C0002,batch-01.md,included,include-1,false,2450b25a3ab588f6d3e830da889e4bac48561cc3af5b4ee7d6a57d025c55e160,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0002-01;A-C0002-05,screening-01;screening-05,official_documentation;official_documentation,A2,NR,ready_for_normalization
C0003,batch-01.md,excluded,exclude-insufficient-detail,true,1734ebc62e9def5a18b9cb5bebe4f1e2af9fbc1372753d308862b0ca37d56232,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0003-05;A-C0003-06,screening-05;screening-06,full_text;abstract_only,A1;A2,NR,requires_accountable_author_review
C0005,batch-01.md,excluded,exclude-insufficient-detail,true,35b02ee0b6a91ffc0c813f8053b49dfbfa2d8abefd568aad0619cb72ebf413fa,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0005-03;A-C0005-05,screening-03;screening-05,official_documentation;official_documentation,A2,NR,requires_accountable_author_review
C0008,batch-01.md,included,include-1,false,dba4a85aac9045e4c82e07f6ee9b7bb290a0863d1b581e94c4c86b8eba3b2df5,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0008-01;A-C0008-05,screening-01;screening-05,abstract_only;full_text,A1;A2,NR,ready_for_normalization
C0012,batch-01.md,excluded,exclude-insufficient-detail,true,e1ea1561b167b5ebfb6bd216226c22f7c6a5e523f67a99119fe67a5d58215723,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0012-01;A-C0012-04,screening-01;screening-04,abstract_only;abstract_only,A3,NR,requires_accountable_author_review
C0013,batch-01.md,included,include-1,false,39c5e195e4faa59b5c8afb26b5004dcf8316e45cc3e97b9775fd7dc3e0e64e56,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0013-04;A-C0013-06,screening-04;screening-06,abstract_only;full_text,A1;A2,NR,ready_for_normalization
C0026,batch-01.md,included,include-1,false,4a11e5b16e5ed427bdc7fa4f148eb75912c7db85a730748652b4b5c04728deec,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0026-01;A-C0026-06,screening-01;screening-06,abstract_only;full_text,A1;A2,NR,ready_for_normalization
C0028,batch-01.md,excluded,exclude-out-of-scope,false,63b55e58569d52b4ecd7a3a9f4f9577d672d8862dc4760aaedf23e9df69f63b7,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0028-01;A-C0028-02,screening-01;screening-02,official_documentation;official_documentation,A3,NR,ready_for_normalization
C0030,batch-01.md,excluded,exclude-out-of-scope,false,67f0ec817d7ba8dd2c33b8d1d3b3e7a5429229a87f2f124d7d534e6bb9567390,2fded9335462434c82b4b85dc828fdc31d3ba3b4a876062b8399d2ad9f209b19,616631b486939300e1bd9e45dcb00b072d01456298c3669fbcb60380fdd912f5,A-C0030-01;A-C0030-06,screening-01;screening-06,official_documentation;official_documentation,A2,NR,ready_for_normalization
