cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
DRAFT_C0010,core,ground,car,open_corridor,segment_grammar,search_evolutionary,geometry_synthesis;mutation,penalty,NR,target final progress;maximum speed;final progress variance,NR,NR,NR,custom car-racing simulation,NR,NR,NR,population size 100;segment mutation probability 0.1,"survey_evidence_tier=PDF Sec. 6, Track evolution;domain=PDF Sec. 2, The car racing problem;vehicle=PDF Sec. 2, The car racing problem;course_object=PDF Sec. 6, Track evolution;representation_family=PDF p. 6, Sec. 6 (fixed-length segment sequence);generator_family=PDF Sec. 4.3, Evolutionary algorithm;generation_role=PDF Sec. 6, Track evolution;validity_strategy=PDF Sec. 6, Track evolution;difficulty_metrics=PDF Sec. 6, Fitness measures;simulator=PDF Sec. 2, The car racing problem;reproducibility_fields=PDF Sec. 4.3, Evolutionary algorithm;reproducibility_fields=PDF Sec. 6, Track evolution",NR
DRAFT_C0015,supporting,ground,M1_passenger_car,open_corridor,NR,NR,NR,NR,NR,NR,NR,NR,ALKS_type_approval_tests,NR,NR,NR,NR,NR,survey_evidence_tier=PDF p. 4 Introduction;domain=PDF p. 4 Introduction;vehicle=PDF p. 4 Introduction;course_object=PDF p. 4 Introduction;evaluation_suite=PDF p. 3 Contents and PDF p. 4 Introduction,Supporting-only: the regulation establishes a divided lane-constrained operating context and approval testing but no course-generation method.
DRAFT_C0025,supporting,aerial,quadrotor,gate_chain,gate_poses,human_designed,benchmark_only,NR,track curvature;gate count;gate poses,gate visibility,NR,NR,Game of Drones tiers and nine tracks,AirSim,NR,NR,NR,competition binaries;baseline implementations;API documentation,domain=PDF p. 1 Abstract;vehicle=PDF p. 1 Abstract and PDF p. 2 Sec. 1;course_object=PDF p. 5 Sec. 4;representation_family=PDF p. 5 Sec. 4;generator_family=PDF p. 5 Sec. 4;generation_role=PDF p. 5 Sec. 4 and PDF p. 6 Sec. 5;geometry_metrics=PDF p. 5 Sec. 4 Table 1;difficulty_metrics=PDF p. 5 Sec. 4;evaluation_suite=PDF p. 6 Sec. 5;simulator=PDF p. 3 Sec. 3;reproducibility_fields=PDF p. 6 Sec. 5 and PDF p. 9 Appendix A,Supporting fixed benchmark: nine human-designed gate tracks and their gate-pose representation are documented; no source-native parameterized or stochastic course-changing mechanism is established.
DRAFT_C0047,core,ground,car,closed_track,parametric_curve,constructive;stochastic_procedural,geometry_synthesis,rejection;repair_projection,point spacing;turn angle,NR,NR,NR,NR,Unity,NR,official_open,NR,random-point count;point-spacing iterations;angle iterations;maximum displacement,survey_evidence_tier=repo@8cf5fe26 README.md#L11-L44;domain=repo@8cf5fe26 README.md#L11-L12;vehicle=repo@8cf5fe26 README.md#L11-L12;course_object=repo@8cf5fe26 Generation/SplineGenerator.cs#L23-L33;representation_family=repo@8cf5fe26 README.md#L28-L34;generator_family=repo@8cf5fe26 Generation/PointGenerator.cs#L69-L95;generation_role=repo@8cf5fe26 README.md#L19-L44;validity_strategy=repo@8cf5fe26 Generation/PointGenerator.cs#L55-L66 (intersection and bounds rejection);validity_strategy=repo@8cf5fe26 Generation/PointGenerator.cs#L162-L244 (spacing and angle repair);geometry_metrics=repo@8cf5fe26 Generation/PointGenerator.cs#L17-L24;simulator=repo@8cf5fe26 README.md#L3-L4;code_status=repo@8cf5fe26 README.md#L11-L17;reproducibility_fields=repo@8cf5fe26 Generation/PointGenerator.cs#L8-L28,NR
DRAFT_C0050,core,ground,car,closed_track,sampled_centerline;occupancy_heightfield_mesh,constructive;stochastic_procedural,geometry_synthesis;serialization,by_construction,curvature;track width,NR,NR,NR,NR,NR,CSV;PNG;YAML,official_open,official_open,optional random seed;width;height;track width;control-point count,survey_evidence_tier=repo@45848d15 track_generator.py#L9-L52;domain=repo@45848d15 README.md#L1-L2;vehicle=repo@45848d15 README.md#L1-L2;course_object=repo@45848d15 track_generator.py#L29-L36;representation_family=repo@45848d15 track_generator.py#L54-L78 (sampled centerline CSV);representation_family=repo@45848d15 track_generator.py#L42-L52 and #L81-L96 (occupancy image and YAML);generator_family=repo@45848d15 track_generator.py#L29-L50 (spline and raster construction);generator_family=repo@45848d15 track_generator.py#L17-L27 (random geometry sampling);generation_role=repo@45848d15 track_generator.py#L54-L96;validity_strategy=repo@45848d15 track_generator.py#L29-L36 (explicit periodic closed loop);geometry_metrics=repo@45848d15 track_generator.py#L43-L50;export_format=repo@45848d15 track_generator.py#L76-L96;code_status=repo@45848d15 track_generator.py#L1-L120;asset_status=repo@45848d15 racing_map.yaml#L1-L9;reproducibility_fields=repo@45848d15 track_generator.py#L9-L13;reproducibility_fields=repo@45848d15 track_generator.py#L107-L120,NR
DRAFT_C0052,core,adjacent,NR,road_network,segment_grammar,constructive,geometry_synthesis,rejection;repair_projection,NR,NR,NR,NR,NR,NR,NR,NR,NR,extended parametric L-system;globalGoals;localConstraints,"survey_evidence_tier=PDF Sec. 3, Roadmap generation;domain=PDF Sec. 3, Roadmap generation;course_object=PDF Sec. 3, Roadmap generation;representation_family=PDF p. 3, Sec. 3.1 (extended parametric L-system modules and productions);generator_family=PDF Sec. 3, Roadmap generation;generation_role=PDF p. 3, Sec. 3.1 (road-segment creation);validity_strategy=PDF p. 3, Sec. 3.1 (FAILED modules deleted);validity_strategy=PDF pp. 3-4, Secs. 3.1 and 3.3 (localConstraints parameter adjustment);reproducibility_fields=PDF Sec. 3, Roadmap generation",NR
DRAFT_C0063,core,NR,NR,NR,NR,NR,geometry_synthesis,not_reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,num_envs;device;seeds,survey_evidence_tier=repo@cf9e9433 track_gen/_src/track_generator.py#L1-L19;generation_role=repo@cf9e9433 track_gen/_src/track_generator.py#L34-L56;validity_strategy=repo@cf9e9433 track_gen/_src/track_generator.py#L1-L19;reproducibility_fields=repo@cf9e9433 track_gen/_src/track_generator.py#L43-L52;reproducibility_fields=repo@cf9e9433 track_gen/_src/track_generator.py#L116-L136,NR
DRAFT_C0071,contextual,adjacent,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. 1",NR
DRAFT_C0110,core,ground,autonomous driving agent,road_network,segment_grammar,constructive;stochastic_procedural;search_evolutionary,geometry_synthesis;boundary_case,rejection,feature-map coverage,off-lane deviation,total coverage;clustering coverage;clustering entropy,NR,SBFT 2024 CPS competition,NR,NR,NR,NR,Algorithm 1;length and curvature partitions;strength and budget,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. 1;vehicle=PDF p. 1 Sec. 1;course_object=PDF p. 1 Sec. 1;representation_family=PDF p. 1 Sec. 2;generator_family=PDF p. 1 Sec. 1 and PDF p. 2 Sec. 2 Road generation;generation_role=PDF p. 1 Abstract and Sec. 1;validity_strategy=PDF p. 2 Sec. 2 Road generation;geometry_metrics=PDF p. 2 Sec. 3;difficulty_metrics=PDF p. 1 Sec. 1 and PDF p. 2 Sec. 2;diversity_metrics=PDF p. 2 Sec. 3;evaluation_suite=PDF p. 2 Sec. 3;reproducibility_fields=PDF p. 1 Sec. 2 and PDF p. 2 Algorithm 1,NR
DRAFT_C0126,supporting,ground,highly automated vehicle,road_network,boundary_pair,NR,NR,NR,NR,NR,NR,NR,NR,NR,OSM,NR,NR,NR,survey_evidence_tier=PDF p. 1 Abstract and PDF pp. 5-7 Secs. IV-V;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 1 Sec. I;representation_family=PDF pp. 5-7 Secs. IV-V;export_format=PDF p. 6 Sec. IV IO module,NR
