candidate_id,input_sha256,agent_id,verified_on,metadata_status,title,authors,year,venue,doi,url,source_type,title_evidence,authors_evidence,year_evidence,venue_evidence,doi_evidence,url_evidence,source_type_evidence,bib_entry_type,bib_venue_field,bib_url,key_author,author_kinds,notes
C0017,f7d3ae110d165d18ae1eeee29874e2e9d077ff7f922f18e643b12a5f3792469f,metadata-03,2026-06-30,verified,Car Racing,Oleg Klimov,NR,Gymnasium Documentation,NR,https://gymnasium.farama.org/environments/box2d/car_racing/,benchmark environment; official documentation,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/,NR,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/,NR,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/,official_documentation::https://gymnasium.farama.org/environments/box2d/car_racing/,misc,howpublished,https://gymnasium.farama.org/environments/box2d/car_racing/,Klimov,personal,The official documentation provides no canonical publication year or DOI and credits Oleg Klimov as creator.
C0022,d0e9b7c9d3113150f3b351a577029cfab9c50ca0f9aa23762d59c5b504f2e520,metadata-03,2026-06-30,verified,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,Alessio Gambi; Marc Mueller; Gordon Fraser,2019,Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3293882.3330566,https://doi.org/10.1145/3293882.3330566,conference paper,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566,doi::https://doi.org/10.1145/3293882.3330566;publisher::https://dl.acm.org/doi/10.1145/3293882.3330566,doi::https://doi.org/10.1145/3293882.3330566;publisher::https://dl.acm.org/doi/10.1145/3293882.3330566,publisher::https://dl.acm.org/doi/10.1145/3293882.3330566,inproceedings,booktitle,https://doi.org/10.1145/3293882.3330566,Gambi,personal;personal;personal,The ASFault software name is not part of the ACM version-of-record title.
C0029,5838897a3d1c85f3bd278122e8eeda94f8685c1fea34bb8e8efe60106379fc55,metadata-03,2026-06-30,verified,Outracing champion Gran Turismo drivers with deep reinforcement learning,Peter R. Wurman; Samuel Barrett; Kenta Kawamoto; James MacGlashan; Kaushik Subramanian; Thomas J. Walsh; Roberto Capobianco; Alisa Devlic; Franziska Eckert; Florian Fuchs; Leilani Gilpin; Piyush Khandelwal; Varun Kompella; HaoChih Lin; Patrick MacAlpine; Declan Oller; Takuma Seno; Craig Sherstan; Michael D. Thomure; Houmehr Aghabozorgi; Leon Barrett; Rory Douglas; Dion Whitehead; Peter Dürr; Peter Stone; Michael Spranger; Hiroaki Kitano,2022,Nature,10.1038/s41586-021-04357-7,https://www.nature.com/articles/s41586-021-04357-7,journal article,publisher::https://www.nature.com/articles/s41586-021-04357-7,publisher::https://www.nature.com/articles/s41586-021-04357-7,publisher::https://www.nature.com/articles/s41586-021-04357-7,publisher::https://www.nature.com/articles/s41586-021-04357-7,publisher::https://www.nature.com/articles/s41586-021-04357-7,publisher::https://www.nature.com/articles/s41586-021-04357-7,publisher::https://www.nature.com/articles/s41586-021-04357-7,article,journal,https://www.nature.com/articles/s41586-021-04357-7,Wurman,personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal;personal,The provisional GT Sophy suffix and truncated author string were replaced by the Nature version-of-record metadata.
C0035,8b5afc31206e1ec022c2cb81abb9c0dd4b8e3704b687f267cac389ce2086690e,metadata-03,2026-06-30,verified,Gran Turismo 7,Polyphony Digital Inc.,2022,Sony Interactive Entertainment,NR,https://www.gran-turismo.com/us/products/gt7/,video game software,official_documentation::https://www.gran-turismo.com/us/products/gt7/,official_documentation::https://www.gran-turismo.com/us/products/gt7/,official_release::https://www.gran-turismo.com/us/products/gt7/,official_documentation::https://www.gran-turismo.com/us/products/gt7/,NR,official_release::https://www.gran-turismo.com/us/products/gt7/,official_documentation::https://www.gran-turismo.com/us/products/gt7/,misc,howpublished,https://www.gran-turismo.com/us/products/gt7/,PolyphonyDigital,corporate,The official product page reports a 4 March 2022 release and Polyphony Digital as developer; no DOI is assigned.
C0045,cd692948e8af438aa3159809119b2bed5b908a325ab04ea1dc67f9db0fa2798f,metadata-03,2026-06-30,verified,Box2D,Erin Catto,NR,GitHub,NR,https://github.com/erincatto/box2d,software repository,official_repository::https://github.com/erincatto/box2d,official_repository::https://github.com/erincatto/box2d,NR,official_repository::https://github.com/erincatto/box2d,NR,official_repository::https://github.com/erincatto/box2d,official_repository::https://github.com/erincatto/box2d,misc,howpublished,https://github.com/erincatto/box2d,Catto,personal,The official repository identifies Erin Catto as developer but does not define a canonical publication year or DOI for the living project.
C0049,c45428694aa8fcf8efc0f6c17c5e3954b62807d55a3c506268199d3c5e366b1d,metadata-03,2026-06-30,verified,Procedural Race Track Generator,Luke Gillard,NR,GitHub,NR,https://github.com/Drallig/ProceduralTrack,software repository,official_repository::https://github.com/Drallig/ProceduralTrack,official_repository::https://github.com/Drallig/ProceduralTrack;official_repository::https://api.github.com/users/Drallig,NR,official_repository::https://github.com/Drallig/ProceduralTrack,NR,official_repository::https://github.com/Drallig/ProceduralTrack,official_repository::https://github.com/Drallig/ProceduralTrack,misc,howpublished,https://github.com/Drallig/ProceduralTrack,Gillard,personal,"The repository description says the owner created it, and the official GitHub profile maps Drallig to Luke Gillard; the living repository has no canonical release year or DOI."
C0053,c670b115468c4d089276d06e56223b23487c826bce4b6e920e0ebf6ba97b81da,metadata-03,2026-06-30,verified,ArcGIS CityEngine,Esri,NR,Esri,NR,https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,software,official_documentation::https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,official_documentation::https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,NR,official_documentation::https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,NR,official_documentation::https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,official_documentation::https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,misc,howpublished,https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview,Esri,corporate,Esri's living product page does not identify a canonical release year or DOI for ArcGIS CityEngine.
C0061,057aac86e7dc383c11f804d558b9aff30c02b7411b0a8afe8bf78dc1deb2ad2c,metadata-03,2026-06-30,verified,XPBD: Position-Based Simulation of Compliant Constrained Dynamics,Miles Macklin; Matthias Müller; Nuttapong Chentanez,2016,Proceedings of the 9th International Conference on Motion in Games,10.1145/2994258.2994272,https://doi.org/10.1145/2994258.2994272,conference paper,publisher::https://dl.acm.org/doi/10.1145/2994258.2994272,publisher::https://dl.acm.org/doi/10.1145/2994258.2994272,publisher::https://dl.acm.org/doi/10.1145/2994258.2994272,publisher::https://dl.acm.org/doi/10.1145/2994258.2994272,doi::https://doi.org/10.1145/2994258.2994272;publisher::https://dl.acm.org/doi/10.1145/2994258.2994272,doi::https://doi.org/10.1145/2994258.2994272;publisher::https://dl.acm.org/doi/10.1145/2994258.2994272,publisher::https://dl.acm.org/doi/10.1145/2994258.2994272,inproceedings,booktitle,https://doi.org/10.1145/2994258.2994272,Macklin,personal;personal;personal,Verified against the ACM version of record; the canonical URL is the DOI resolver.
C0094,1a6d5e692f39f35924362a7dd5ca18b0b399f5251d24771a24fb3dfb21690ac7,metadata-03,2026-06-30,verified,Adaptive Planning and Control with Time-Varying Tire Models for Autonomous Racing Using Extreme Learning Machine,Dvij Kalaria; Qin Lin; John M. Dolan,2023,arXiv,10.48550/arxiv.2303.08235,https://arxiv.org/abs/2303.08235,preprint,preprint_repository::https://arxiv.org/abs/2303.08235,preprint_repository::https://arxiv.org/abs/2303.08235,preprint_repository::https://arxiv.org/abs/2303.08235,preprint_repository::https://arxiv.org/abs/2303.08235,preprint_repository::https://arxiv.org/abs/2303.08235,preprint_repository::https://arxiv.org/abs/2303.08235,preprint_repository::https://arxiv.org/abs/2303.08235,misc,howpublished,https://arxiv.org/abs/2303.08235,Kalaria,personal;personal;personal,The official arXiv record reports no journal reference; this is treated as preprint-only.
C0095,46fdb3ba902bb3c9a1c70452b4fd950f80258afa00a52aacae653df54a387edd,metadata-03,2026-06-30,verified,LLA-MPC: Fast Adaptive Control for Autonomous Racing,Maitham F. AL-Sunni; Hassan Almubarak; Katherine Horng; John M. Dolan,2025,arXiv,10.48550/arxiv.2505.19512,https://arxiv.org/abs/2505.19512,preprint,preprint_repository::https://arxiv.org/abs/2505.19512,preprint_repository::https://arxiv.org/abs/2505.19512,preprint_repository::https://arxiv.org/abs/2505.19512,preprint_repository::https://arxiv.org/abs/2505.19512,preprint_repository::https://arxiv.org/abs/2505.19512,preprint_repository::https://arxiv.org/abs/2505.19512,preprint_repository::https://arxiv.org/abs/2505.19512,misc,howpublished,https://arxiv.org/abs/2505.19512,AL-Sunni,personal;personal;personal;personal,The official arXiv record reports no journal reference; this is treated as preprint-only.
