candidate_id,cite_key,title,authors,year,venue,doi,url,source_type,discovery_stream,discovery_query,discovery_agent,screening_status,exclusion_reason,metadata_status,metadata_evidence
C0001,TORCSNodateTORCSOpen,TORCS - The Open Racing Car Simulator,TORCS Project,,SourceForge project,,https://sourceforge.net/projects/torcs/,simulator; official repository,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_repository::https://sourceforge.net/projects/torcs/
C0002,SpeedDreamsNodateSpeedDreams,Speed Dreams,Speed Dreams Development Team,,Speed Dreams project,,https://forge.a-lec.org/speed-dreams/speed-dreams-code,simulator; official repository,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_documentation::https://www.speed-dreams.net/en/about;official_repository::https://forge.a-lec.org/speed-dreams/speed-dreams-code
C0003,Cardamone2015TrackGenInteractive,TrackGen: An interactive track generator for TORCS and Speed-Dreams,Luigi Cardamone; Pier Luca Lanzi; Daniele Loiacono,2015,Applied Soft Computing,10.1016/j.asoc.2014.11.010,https://www.sciencedirect.com/science/article/pii/S1568494614005705,journal article,aware-geometry-rl; bootstrap,citation::10.1109/tciaig.2011.2163692; docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,aware-geometry-rl; main,candidate,,verified,doi::https://doi.org/10.1016/j.asoc.2014.11.010;official_repository::https://re.public.polimi.it/handle/11311/984831;publisher::https://www.sciencedirect.com/science/article/pii/S1568494614005705
C0004,Barthet2024ClosingAffective,Closing the Affective Loop via Experience-Driven Reinforcement Learning Designers,Matthew Barthet;Diogo Branco;Roberto Gallotta;Ahmed Khalifa;Georgios N. Yannakakis,2024,2024 12th International Conference on Affective Computing and Intelligent Interaction (ACII),10.1109/acii63134.2024.00034,https://doi.org/10.1109/acii63134.2024.00034,conference paper,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0004,aware-geometry-rl; main,candidate,,verified,doi::https://doi.org/10.1109/acii63134.2024.00034;publisher::https://ieeexplore.ieee.org/document/10970325/
C0005,Barthet2023SolidRally,Solid-Rally-Plus,Matthew Barthet,2023,Official GitHub repository,,https://github.com/DiogoAABranco/Solid-Rally-Plus,software,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus;official_repository::https://github.com/DiogoAABranco/Solid-Rally-Plus/blob/main/LICENSE;official_repository::https://github.com/Matt-Barthet
C0006,Li2020ImprovingGeneralization,Improving the Generalization of End-to-End Driving through Procedural Generation,Quanyi Li; Zhenghao Peng; Qihang Zhang; Chunxiao Liu; Bolei Zhou,2020,arXiv,10.48550/arxiv.2012.13681,https://arxiv.org/abs/2012.13681,preprint,aware-geometry-rl; bootstrap; robot-learning benchmark,"""Improving the Generalization of End-to-End Driving through Procedural Generation"" authors; docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0006",aware-geometry-rl; blind-ground; main,candidate,,verified,preprint_repository::https://arxiv.org/abs/2012.13681
C0007,ASAM2026ASAMOpenDRIVEa,ASAM OpenDRIVE,ASAM e.V.,2026,ASAM,,https://www.asam.net/standards/detail/opendrive/,standard,bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst,main,candidate,,verified,official_standard::https://www.asam.net/standards/detail/opendrive/
C0008,Ikram2023ProceduralGeneration,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,Zarif Ikram; Golam Md Muktadir; Jim Whitehead,2023,2023 IEEE Intelligent Vehicles Symposium (IV),10.1109/iv55152.2023.10186533,https://doi.org/10.1109/iv55152.2023.10186533,conference paper,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0008,aware-geometry-rl; main,candidate,,verified,doi::https://doi.org/10.1109/iv55152.2023.10186533;preprint_repository::https://arxiv.org/abs/2303.17900;publisher::https://ieeexplore.ieee.org/document/10186533/
C0009,Loiacono2011AutomaticTrack,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,Daniele Loiacono; Luigi Cardamone; Pier Luca Lanzi,2011,IEEE Transactions on Computational Intelligence and AI in Games,10.1109/tciaig.2011.2163692,https://doi.org/10.1109/tciaig.2011.2163692,journal article,aware-geometry-rl; bootstrap; racing-game PCG transfer,docs/related-work/state-of-the-art.rst; race track generation entropy curvature speed profiles evolutionary paper; seed::C0009,aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.1109/tciaig.2011.2163692;publisher::https://ieeexplore.ieee.org/document/5975206/
C0010,Togelius2006MakingRacing,Making Racing Fun Through Player Modeling and Track Evolution,Julian Togelius; Renzo De Nardi; Simon M. Lucas,2006,Proceedings of the SAB'06 Workshop on Adaptive Approaches for Optimizing Player Satisfaction in Computer and Physical Games,,https://web-archive.southampton.ac.uk/cogprints.org/5221/,workshop paper,aware-geometry-rl; bootstrap; racing-game PCG transfer,"""Making Racing Fun Through Player Modeling and Track Evolution""; docs/related-work/state-of-the-art.rst; seed::C0010",aware-geometry-rl; blind-ground; main,candidate,,verified,preprint_repository::https://web-archive.southampton.ac.uk/cogprints.org/5221/;proceedings::https://www.um.edu.mt/library/oar/bitstream/123456789/30972/1/Adaptive_Approaches_for_Optimizing_Player_Satisfaction_in_Computer_and_Physical_Games_2006.pdf
C0011,Prasetya2016SearchBased,Search-based Procedural Content Generation for Race Tracks in Video Games,Hafizh Adi Prasetya; Nur Ulfa Maulidevi,2016,International Journal on Electrical Engineering and Informatics,10.15676/ijeei.2016.8.4.6,https://doi.org/10.15676/ijeei.2016.8.4.6,journal article,aware-geometry-rl; bootstrap; racing-game PCG transfer,"""Search-based procedural content generation for race tracks"" official journal; docs/related-work/state-of-the-art.rst; seed::C0011",aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.15676/ijeei.2016.8.4.6;publisher::https://ijeei.org/archives-number-49.html;publisher::https://www.ijeei.org/docs-1804133866588e9f62ade3b.pdf
C0012,Alyaseri2024ComparativeAnalysis,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,Sana Alyaseri; Andy Conner,2024,International Journal of Applied Metaheuristic Computing,10.4018/ijamc.350330,https://doi.org/10.4018/ijamc.350330,journal article,aware-geometry-rl; bootstrap; racing-game PCG transfer,"""procedural generation"" racetracks racing games paper DOI; docs/related-work/state-of-the-art.rst; seed::C0012",aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.4018/ijamc.350330;publisher::https://www.igi-global.com/article/comparative-analysis-of-metaheuristic-algorithms-for-procedural-race-track-generation-in-games/350330;publisher::https://www.igi-global.com/journal-contents/international-journal-applied-metaheuristic-computing/1139
C0013,doNascimento2021ProceduralGeneration,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,Erik Jhones F. do Nascimento; Tassiana M. Castro; Ana Carolina S. Abreu; Filipe A. Lira; Amauri H. Souza,2021,2021 20th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),10.1109/sbgames54170.2021.00025,https://doi.org/10.1109/sbgames54170.2021.00025,conference paper,aware-geometry-rl; bootstrap; racing-game PCG transfer,"docs/related-work/state-of-the-art.rst; seed::C0013; site:sbgames.org/proceedings2021 ""Procedural Generation of Isometric Racetracks Using Chain Code""",aware-geometry-rl; blind-ground; main,candidate,,verified,doi::https://doi.org/10.1109/sbgames54170.2021.00025;proceedings::https://www.sbgames.org/proceedings2021/ComputacaoFull/217347.pdf;publisher::https://ieeexplore.ieee.org/document/9637636/
C0014,Kluck2021AutomaticGeneration,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,Florian Klück;Lorenz Klampfl;Franz Wotawa,2021,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288,preprint,aware-geometry-rl; bootstrap,docs/related-work/prior-art.rst; docs/related-work/state-of-the-art.rst; seed::C0014; seed::C0015,aware-geometry-rl; main,candidate,,verified,doi::https://doi.org/10.48550/arxiv.2103.01288;preprint_repository::https://arxiv.org/abs/2103.01288
