candidate_id,cite_key,title,authors,year,venue,doi,url,source_type,source_candidate_id,canonical_cite_key,citation_activation_status
DRAFT_C0006,DRAFT_C0006,Improving the Generalization of End-to-End Driving through Procedural Generation,Quanyi Li; Zhenghao Peng; Qihang Zhang; Chunxiao Liu; Bolei Zhou,2020,arXiv,10.48550/arxiv.2012.13681,https://arxiv.org/abs/2012.13681,preprint,C0006,Li2020ImprovingGeneralization,not_activated
DRAFT_C0008,DRAFT_C0008,Procedural Generation of Complex Roundabouts for Autonomous Vehicle Testing,Zarif Ikram; Golam Md Muktadir; Jim Whitehead,2023,2023 IEEE Intelligent Vehicles Symposium (IV),10.1109/iv55152.2023.10186533,https://doi.org/10.1109/iv55152.2023.10186533,conference paper,C0008,Ikram2023ProceduralGeneration,not_activated
DRAFT_C0009,DRAFT_C0009,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,Daniele Loiacono; Luigi Cardamone; Pier Luca Lanzi,2011,IEEE Transactions on Computational Intelligence and AI in Games,10.1109/tciaig.2011.2163692,https://doi.org/10.1109/tciaig.2011.2163692,journal article,C0009,Loiacono2011AutomaticTrack,not_activated
DRAFT_C0010,DRAFT_C0010,Making Racing Fun Through Player Modeling and Track Evolution,Julian Togelius; Renzo De Nardi; Simon M. Lucas,2006,Proceedings of the SAB'06 Workshop on Adaptive Approaches for Optimizing Player Satisfaction in Computer and Physical Games,,https://web-archive.southampton.ac.uk/cogprints.org/5221/,workshop paper,C0010,Togelius2006MakingRacing,not_activated
DRAFT_C0011,DRAFT_C0011,Search-based Procedural Content Generation for Race Tracks in Video Games,Hafizh Adi Prasetya; Nur Ulfa Maulidevi,2016,International Journal on Electrical Engineering and Informatics,10.15676/ijeei.2016.8.4.6,https://doi.org/10.15676/ijeei.2016.8.4.6,journal article,C0011,Prasetya2016SearchBased,not_activated
DRAFT_C0013,DRAFT_C0013,Procedural Generation of Isometric Racetracks Using Chain Code for Racing Games,Erik Jhones F. do Nascimento; Tassiana M. Castro; Ana Carolina S. Abreu; Filipe A. Lira; Amauri H. Souza,2021,2021 20th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),10.1109/sbgames54170.2021.00025,https://doi.org/10.1109/sbgames54170.2021.00025,conference paper,C0013,doNascimento2021ProceduralGeneration,not_activated
DRAFT_C0014,DRAFT_C0014,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,Florian Klück;Lorenz Klampfl;Franz Wotawa,2021,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288,preprint,C0014,Kluck2021AutomaticGeneration,not_activated
DRAFT_C0015,DRAFT_C0015,UN Regulation No. 157 - Automated Lane Keeping Systems (ALKS),United Nations Economic Commission for Europe,2021,United Nations Regulation No. 157,,https://unece.org/transport/documents/2021/03/standards/un-regulation-no-157-automated-lane-keeping-systems-alks,official standard,C0015,UNECE2021UNRegulation,not_activated
DRAFT_C0016,DRAFT_C0016,Replay-Guided Adversarial Environment Design,Minqi Jiang; Michael Dennis; Jack Parker-Holder; Jakob Foerster; Edward Grefenstette; Tim Rocktäschel,2021,Advances in Neural Information Processing Systems 34,,https://proceedings.neurips.cc/paper_files/paper/2021/hash/0e915db6326b6fb6a3c56546980a8c93-Abstract.html,conference paper,C0016,Jiang2021ReplayGuided,not_activated
DRAFT_C0017,DRAFT_C0017,Car Racing,Oleg Klimov,,Gymnasium Documentation,,https://gymnasium.farama.org/environments/box2d/car_racing/,benchmark environment; official documentation,C0017,KlimovNodateCarRacing,not_activated
