cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
ASAM2024ASAMOpenDRIVE,NR,ground,NR,open_corridor,parametric_curve,NR,serialization,NR,NR,NR,NR,NR,NR,NR,OpenDRIVE XML,NR,NR,official specification version 1.8.1,https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.8.1/specification/index.html Section 9.2 Road reference line Figure 25 Table 18 planView and geometry,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the standard defines representation and gap-free geometry constraints but not a sampling procedure.
Althoff2017CommonRoadComposable,NR,ground,autonomous road vehicle,road_network,NR,NR,serialization; benchmark_only,NR,NR,NR,NR,constructed scenarios; count NR,NR,NR,CommonRoad XML,NR,official benchmark and scenario assets documented,DOI; archived author manuscript,https://doi.org/10.1109/ivs.2017.7995802; https://web.archive.org/web/20180720100708id_/http://mediatum.ub.tum.de/doc/1379638/document.pdf pp. 2 and 5 Portability Section V.A Road Network Figure 4,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: composition is documented but a probability distribution over road geometries is NR.
Brockman2016OpenAIGym,NR,ground,physics-based racing car,closed_track,tile_grid; sampled_centerline,constructive; stochastic_procedural,geometry_synthesis,NR,NR,NR,NR,per-episode randomized track; count NR,NR,Box2D environment,NR,official_open,open official source repository,arXiv record; pinned official Gym commit,https://arxiv.org/abs/1606.01540; https://github.com/openai/gym/commit/c17ac6cc55fda4be60548e2e05b54f22e83e2c1b paper Sections 3-4 and gym/envs/box2d/car_racing.py lines 22-29 and 134-171,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the general API is in the paper and track generation is documented in the authoritative companion implementation.
CARLA2021OpenDRIVEStandalone,NR,ground,simulated road vehicle,road_network,NR,constructive,geometry_synthesis,NR,NR,NR,NR,NR,NR,CARLA,OpenDRIVE; generated road mesh and boundaries,NR,NR,official CARLA 0.9.12 documentation,https://carla.readthedocs.io/en/0.9.12/adv_opendrive/ OpenDRIVE standalone mode Run a standalone map Mesh generation client.generate_opendrive_world(),Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the API generates a world mesh from supplied geometry and does not select or sample the input road network.
Chen2008InteractiveProcedural,NR,adjacent,NR,road_network,waypoint_graph,constructive; human_designed,geometry_synthesis; mutation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,water/park/forest/height/population-density input maps; tensor-field design; graph-edit operations,https://web.engr.oregonstate.edu/~zhange/images/street_sig08.pdf (Abstract; Sections 3; 5; 6.1-6.4; Figure 2),Direct source. Generates street networks from tensor fields as graphs and supports user-controlled tensor-field and graph editing; no course/simulator claim is made.
Jain2020ComputingRacing,NR,ground,autonomous race car,NR,centerline_plus_width,NR,boundary_case,constraint_solver,NR,minimum traversal/lap time,NR,NR,two ETH Zurich 1/43-scale tracks and one UC Berkeley 1/10-scale track,NR,NR,official_open,NR,centerline XY waypoints; track width; vehicle mass m; center-of-gravity distances lf and lr,"https://arxiv.org/abs/2002.04794 (Abstract; Introduction; Sections II, IV-A, IV-B, and V)",Direct source. Boundary evidence only: Bayesian optimization searches smooth racing-line trajectories on a supplied track and does not generate course geometry.
Loquercio2020DeepDrone,NR,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,NR,NR,NR,20000 static and 100000 dynamic simulated images; 25000 static and 15000 additional dynamic real images; approximately 10000 appendix-dataset real images,DAgger recovery margin; task completion; lap time; RMSE; randomization ablations,simulation and physical quadrotor,NR,official_open,trained models referenced on the project page,project page source code and trained models,https://rpg.ifi.uzh.ch/docs/TRO19_Loquercio.pdf (Section III-A Training Procedure; Section IV-B/IV-C; Tables I-II; Appendix C),Unsealed evidence draft; visual domain randomization and moving-gate layouts are documented but explicit course-topology checking is not reported.
OpenRoboticsNodateVRXAutomated,NR,maritime,autonomous surface vessel,gate_chain,gate_poses; simulator_native,constructive,geometry_synthesis; serialization,NR,NR,NR,NR,trial set documented; count NR,NR,VRX/Gazebo,YAML task configuration; generated VRX/Gazebo world,official_open,open official repository,pinned official repository source files,https://github.com/osrf/vrx-docker; https://github.com/osrf/vrx-docker/blob/f599871a83ddfef9851e2f9bc95d082baff47bf2/README.md prepare_task_trials.bash lines 3-5 and 32-51 task_config/gymkhana.yaml lines 1-19 and 46-69 and 97-120 and 147-170 README lines 21-29 and 43-53,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: configured trial worlds are generated but a probability distribution over configurations is NR.
QGroundControlNodatePlanFile,NR,NR,generic MAV or vehicle,waypoint_sequence,NR,NR,serialization,NR,NR,NR,NR,NR,NR,NR,QGroundControl JSON .plan format,NR,NR,official format documentation,https://docs.qgroundcontrol.com/master/en/qgc-dev-guide/file_formats/plan.html Plan File Mission Object SimpleItem Complex Mission Item CorridorScan,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: the schema serializes provided mission structures and does not define a course generator.
RoboNation2026RoboBoat2026,NR,maritime,autonomous surface vessel,gate_chain; buoy_course,gate_poses,NR,benchmark_only,NR,NR,NR,NR,multi-task course set; count NR,traversal and scoring constraints,NR,NR,NR,NR,official RoboBoat 2026 handbook,https://robonation.org/app/uploads/sites/3/2025/10/RoboBoat-2026-Team-Handbook_111125.pdf pp. 45-50 Sections 3.2.1-3.2.3 task-layout figures pp. 58-60 Sections 3.2.7 and 3.4-3.5,Unsealed evidence draft. Limited access: live HTTP retrieval was blocked (HTTP 403) and web search was unavailable. Ambiguity: variable task elements are documented but no procedural course-generation algorithm is specified.
