conflict_id,record_type,record_key,field,value_a,value_b,resolution,resolver,resolution_evidence
XDBA5F65BEA06,candidate,C0003,title,Interactive Track Generator for TORCS and Speed Dreams,TrackGen: An interactive track generator for TORCS and Speed-Dreams,,,value_a=paper/data/candidates.csv#C0003@sha256:50f8b4c3412e35d2d2a7a083423bef0c2833651da3828a14ea7d3187fdb453b9; value_a=paper/data/candidates.csv#C0003@sha256:77827a82c28ceeb9312e0282dda328d0394b6ccacd4fdfa07df086b4dc85f0b0; value_b=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0005@sha256:ced31cbb40dfc3c6fc969fea5b84c75dcb120d9d14902ea444684a06e29d7790; value_b=paper/data/candidates.csv#C0105@sha256:ce6346774a3d360599bfdfd08a05540f9bea725623553e0c871f7c4f33b9e4d4
X74541EDFB3BB,candidate,C0003,source_type,paper,software,,,value_a=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0005@sha256:ced31cbb40dfc3c6fc969fea5b84c75dcb120d9d14902ea444684a06e29d7790; value_a=paper/data/candidates.csv#C0105@sha256:ce6346774a3d360599bfdfd08a05540f9bea725623553e0c871f7c4f33b9e4d4; value_b=paper/data/candidates.csv#C0003@sha256:50f8b4c3412e35d2d2a7a083423bef0c2833651da3828a14ea7d3187fdb453b9; value_b=paper/data/candidates.csv#C0003@sha256:77827a82c28ceeb9312e0282dda328d0394b6ccacd4fdfa07df086b4dc85f0b0
X1003BFC5B77A,candidate,C0004,authors,Barthet et al.,Matthew Barthet; Diogo Branco; Roberto Gallotta; Ahmed Khalifa; Georgios N. Yannakakis,,,value_a=paper/data/candidates.csv#C0004@sha256:1a059b8c511e710b7911d62a519da16a512dfd56467399232b7fbeaa146dd51e; value_b=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0010@sha256:1a9e937df888b0aaa80084bc0d906482c173ebd5fa0cb760f143555f2712bc32
X3BA67F30AED0,candidate,C0004,url,https://arxiv.org/abs/2408.06346,https://doi.org/10.1109/ACII63134.2024.00034; https://arxiv.org/abs/2408.06346,,,value_a=paper/data/candidates.csv#C0004@sha256:1a059b8c511e710b7911d62a519da16a512dfd56467399232b7fbeaa146dd51e; value_b=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0010@sha256:1a9e937df888b0aaa80084bc0d906482c173ebd5fa0cb760f143555f2712bc32
XB5836EFBA2E1,candidate,C0006,authors,Quanyi Li; Zhenghao Peng; Qihang Zhang; Chun-Xiao Liu; Bolei Zhou,Quanyi Li; Zhenghao Peng; Qihang Zhang; Chunxiao Liu; Bolei Zhou,,,value_a=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0014@sha256:b4ee4992d3379bca76f5a1a8e53f7f73c731238b37325076472d72c66e3d7082; value_b=paper/data/candidates.csv#C0006@sha256:aaa2e06dbcb83924ab633d40e3a136a72987340afca20cca007c8f583c7020d9
X759441F4C691,candidate,C0006,authors,Quanyi Li; Zhenghao Peng; Qihang Zhang; Chunxiao Liu; Bolei Zhou,Quanyi Li; Zhenghao Peng; Qihang Zhang; Cong Qiu; Chunxiao Liu; Bolei Zhou,,,value_a=paper/data/candidates.csv#C0006@sha256:aaa2e06dbcb83924ab633d40e3a136a72987340afca20cca007c8f583c7020d9; value_b=paper/data/agent_runs/blind-ground.csv#BG-013@sha256:99e697a940e96d5c7787789ff2d7fb43f37c9547258b59537a415d4decf1a63d
X4B1E170995A7,candidate,C0006,url,https://arxiv.org/abs/2012.13681,https://arxiv.org/abs/2012.13681; https://github.com/decisionforce/pgdrive,,,value_a=paper/data/candidates.csv#C0006@sha256:aaa2e06dbcb83924ab633d40e3a136a72987340afca20cca007c8f583c7020d9; value_b=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0014@sha256:b4ee4992d3379bca76f5a1a8e53f7f73c731238b37325076472d72c66e3d7082
XF75EF61C5F4C,candidate,C0006,source_type,paper,preprint; official software,,,value_a=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0014@sha256:b4ee4992d3379bca76f5a1a8e53f7f73c731238b37325076472d72c66e3d7082; value_a=paper/data/candidates.csv#C0006@sha256:aaa2e06dbcb83924ab633d40e3a136a72987340afca20cca007c8f583c7020d9; value_b=paper/data/agent_runs/blind-ground.csv#BG-013@sha256:99e697a940e96d5c7787789ff2d7fb43f37c9547258b59537a415d4decf1a63d
X64D080A5D5B9,candidate,C0008,authors,Ikram; Muktadir; Whitehead,Zarif Ikram; Golam Md Muktadir; Jim Whitehead,,,value_a=paper/data/candidates.csv#C0008@sha256:c4a834a0796ffc80785425a2110304ad404038a8549c7fd00ce09b468fb70098; value_b=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0017@sha256:8e68e2a1c4d24907d444c95a1df14f64ab96ac23329be22f9d0b228cee22f7fe
X8BE6D9BDA923,candidate,C0008,url,https://arxiv.org/abs/2303.17900,https://doi.org/10.1109/IV55152.2023.10186533; https://arxiv.org/abs/2303.17900,,,value_a=paper/data/candidates.csv#C0008@sha256:c4a834a0796ffc80785425a2110304ad404038a8549c7fd00ce09b468fb70098; value_b=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0017@sha256:8e68e2a1c4d24907d444c95a1df14f64ab96ac23329be22f9d0b228cee22f7fe
X6BBF6AB9401B,candidate,C0009,authors,Daniele Loiacono; Luigi Cardamone; Pier Luca Lanzi,Loiacono; Cardamone; Lanzi,,,value_a=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0001@sha256:25f6282c3503b4af15c921f56f49f8c14866bd3924ddde0d2fb1e823a50022ce; value_a=paper/data/agent_runs/blind-ground.csv#BG-003@sha256:51bd0244fa74b39b51d12687416ab5f57fabde95985ec1b22826368c59fbdff7; value_b=paper/data/candidates.csv#C0009@sha256:2a40c1ad80b17af80b516be3b24895ea2dcca38cefddc85afd644d72ce83227d
XAE22506EC1BB,candidate,C0009,venue,IEEE Transactions on Computational Intelligence and AI in Games,IEEE Transactions on Computational Intelligence and AI in Games 3(3),,,value_a=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0001@sha256:25f6282c3503b4af15c921f56f49f8c14866bd3924ddde0d2fb1e823a50022ce; value_a=paper/data/candidates.csv#C0009@sha256:2a40c1ad80b17af80b516be3b24895ea2dcca38cefddc85afd644d72ce83227d; value_b=paper/data/agent_runs/blind-ground.csv#BG-003@sha256:51bd0244fa74b39b51d12687416ab5f57fabde95985ec1b22826368c59fbdff7
X0327D60B7A1A,candidate,C0009,url,https://doi.org/10.1109/TCIAIG.2011.2163692,https://doi.org/10.1109/tciaig.2011.2163692,,,value_a=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0001@sha256:25f6282c3503b4af15c921f56f49f8c14866bd3924ddde0d2fb1e823a50022ce; value_a=paper/data/agent_runs/blind-ground.csv#BG-003@sha256:51bd0244fa74b39b51d12687416ab5f57fabde95985ec1b22826368c59fbdff7; value_b=paper/data/candidates.csv#C0009@sha256:2a40c1ad80b17af80b516be3b24895ea2dcca38cefddc85afd644d72ce83227d
XC4564D7C228E,candidate,C0009,source_type,journal article,paper,,,value_a=paper/data/agent_runs/blind-ground.csv#BG-003@sha256:51bd0244fa74b39b51d12687416ab5f57fabde95985ec1b22826368c59fbdff7; value_b=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0001@sha256:25f6282c3503b4af15c921f56f49f8c14866bd3924ddde0d2fb1e823a50022ce; value_b=paper/data/candidates.csv#C0009@sha256:2a40c1ad80b17af80b516be3b24895ea2dcca38cefddc85afd644d72ce83227d
X941E46F8B8D3,candidate,C0010,authors,Julian Togelius; Renzo De Nardi; Simon M. Lucas,Togelius; De Nardi; Lucas,,,value_a=paper/data/agent_runs/aware-geometry-rl.csv#AGRL0002@sha256:25fe94a65d354454d8a14d2351b8d64af134b34a21c87566febf4b5741330a0d; value_a=paper/data/agent_runs/blind-ground.csv#BG-001@sha256:d970311592164df8d3e15433d5205adc9bfbc7ee179460c756595860f2a4d0ba; value_b=paper/data/candidates.csv#C0010@sha256:fcdcfa56f7c61010e9979baca66bc1914377740dea494cba915865f31c346aea
