candidate_id,title,source_url,attempted_urls,outcome,recommended_next_action
C0003,TrackGen: An interactive track generator for TORCS and Speed-Dreams,https://doi.org/10.1016/j.asoc.2014.11.010,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1016/j.asoc.2014.11.010"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=TrackGen%3A+An+interactive+track+generator+for+TORCS+and+Speed-Dreams&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=TrackGen%3A+An+interactive+track+generator+for+TORCS+and+Speed-Dreams&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""institutional_repository"",""url"":""https://re.public.polimi.it/handle/11311/984831"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_403"",""observed_result"":""Public preprint record located; byte retrieval was denied and no bypass was attempted.""}]",Non-exhaustive access limitation: A lawful Politecnico preprint record was identified but its server denied byte retrieval and no independently retrievable matching copy was verified,user-fetch: obtain the Politecnico preprint through a browser or institutional route
C0012,Comparative Analysis of Metaheuristic Algorithms for Procedural Race Track Generation in Games,https://doi.org/10.4018/ijamc.350330,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.4018/ijamc.350330"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Comparative+Analysis+of+Metaheuristic+Algorithms+for+Procedural+Race+Track+Generation+in+Games&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Comparative+Analysis+of+Metaheuristic+Algorithms+for+Procedural+Race+Track+Generation+in+Games&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0022,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,https://doi.org/10.1145/3293882.3330566,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1145/3293882.3330566"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_403"",""observed_result"":""Access was denied; no bypass was attempted.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Automatically+Testing+Self-Driving+Cars+with+Search-Based+Procedural+Content+Generation&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Automatically+Testing+Self-Driving+Cars+with+Search-Based+Procedural+Content+Generation&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: Only publisher metadata and non-authoritative sharing pages were located; no lawful full-text source was verified,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0036,Generating a Racing Line for an Autonomous Racecar Using Professional Driving Techniques,https://doi.org/10.1115/DSCC2011-6097,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1115/DSCC2011-6097"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_403"",""observed_result"":""Access was denied; no bypass was attempted.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Generating+a+Racing+Line+for+an+Autonomous+Racecar+Using+Professional+Driving+Techniques&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Generating+a+Racing+Line+for+an+Autonomous+Racecar+Using+Professional+Driving+Techniques&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0039,Optimization of the Driving Line on a Race Track,https://doi.org/10.4271/2002-01-3339,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.4271/2002-01-3339"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Optimization+of+the+Driving+Line+on+a+Race+Track&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Optimization+of+the+Driving+Line+on+a+Race+Track&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0041,Time-optimal trajectory planning for a race car considering variable tyre-road friction coefficients,https://doi.org/10.1080/00423114.2019.1704804,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1080/00423114.2019.1704804"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Time-optimal+trajectory+planning+for+a+race+car+considering+variable+tyre-road+friction+coefficients&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Time-optimal+trajectory+planning+for+a+race+car+considering+variable+tyre-road+friction+coefficients&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0043,Learning at the Racetrack: Data-Driven Methods to Improve Racing Performance Over Multiple Laps,https://doi.org/10.1109/tvt.2020.2998065,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1109/tvt.2020.2998065"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Learning+at+the+Racetrack%3A+Data-Driven+Methods+to+Improve+Racing+Performance+Over+Multiple+Laps&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Learning+at+the+Racetrack%3A+Data-Driven+Methods+to+Improve+Racing+Performance+Over+Multiple+Laps&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0044,Optimization-based Path Planning for an Autonomous Vehicle in a Racing Track,https://doi.org/10.1109/iecon.2019.8926856,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1109/iecon.2019.8926856"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Optimization-based+Path+Planning+for+an+Autonomous+Vehicle+in+a+Racing+Track&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""transport_error"",""observed_result"":""Transport error; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Optimization-based+Path+Planning+for+an+Autonomous+Vehicle+in+a+Racing+Track&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""institutional_repository"",""url"":""https://experts.mcmaster.ca/scholarly-works/1892314"",""retrieved_on"":""2026-07-06"",""observed_status"":""metadata_record"",""observed_result"":""Institutional metadata record observed; no downloadable full text was identified.""}]",Non-exhaustive access limitation: An institutional metadata record was found but no lawful downloadable full text was verified,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0058,From Generation to Gameplay: Authoring Race Tracks With Repulsive Curves,https://ieeexplore.ieee.org/document/10965488/,"[{""route_type"":""publisher_or_doi"",""url"":""https://ieeexplore.ieee.org/document/10965488/"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=From+Generation+to+Gameplay%3A+Authoring+Race+Tracks+With+Repulsive+Curves&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=From+Generation+to+Gameplay%3A+Authoring+Race+Tracks+With+Repulsive+Curves&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0068,Search-Based Procedural Content Generation: A Taxonomy and Survey,https://ieeexplore.ieee.org/document/5756645/,"[{""route_type"":""publisher_or_doi"",""url"":""https://ieeexplore.ieee.org/document/5756645/"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Search-Based+Procedural+Content+Generation%3A+A+Taxonomy+and+Survey&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Search-Based+Procedural+Content+Generation%3A+A+Taxonomy+and+Survey&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""institutional_repository"",""url"":""https://www.um.edu.mt/library/oar/handle/123456789/29609"",""retrieved_on"":""2026-07-06"",""observed_status"":""restricted_pdf"",""observed_result"":""Repository record reports the matching PDF as restricted access.""}]",Non-exhaustive access limitation: A matching institutional repository item was located but its PDF is restricted and no other lawful full text was verified,user-fetch: request the restricted University of Malta repository PDF or an author copy
C0070,Procedural Content Generation for Games: A Survey,https://dl.acm.org/doi/10.1145/2422956.2422957,"[{""route_type"":""publisher_or_doi"",""url"":""https://dl.acm.org/doi/10.1145/2422956.2422957"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Procedural+Content+Generation+for+Games%3A+A+Survey&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Procedural+Content+Generation+for+Games%3A+A+Survey&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0109,Frenetic-lib: An extensible framework for search-based generation of road structures for ADS testing,https://doi.org/10.1016/j.scico.2023.102996,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1016/j.scico.2023.102996"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Frenetic-lib%3A+An+extensible+framework+for+search-based+generation+of+road+structures+for+ADS+testing&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Frenetic-lib%3A+An+extensible+framework+for+search-based+generation+of+road+structures+for+ADS+testing&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0110,CRAG – a combinatorial testing-based generator of road geometries for ADS testing,https://doi.org/10.1016/j.scico.2024.103171,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1016/j.scico.2024.103171"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=CRAG+%E2%80%93+a+combinatorial+testing-based+generator+of+road+geometries+for+ADS+testing&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""transport_error"",""observed_result"":""Transport error; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=CRAG+%E2%80%93+a+combinatorial+testing-based+generator+of+road+geometries+for+ADS+testing&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: The cited Science of Computer Programming article was identified but no lawful full text or accepted preprint of that same work was retrievable; the mismatched SBFT tool paper was not reused,user-fetch: obtain the cited Science of Computer Programming article or its accepted manuscript
C0114,Racing tracks improvisation,https://doi.org/10.1109/cig.2014.6932899,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1109/cig.2014.6932899"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Racing+tracks+improvisation&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Racing+tracks+improvisation&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: Only publisher metadata and non-authoritative sharing pages were located; no lawful full-text source was verified,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0115,Personalised track design in car racing games,https://doi.org/10.1109/cig.2016.7860435,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1109/cig.2016.7860435"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Personalised+track+design+in+car+racing+games&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Personalised+track+design+in+car+racing+games&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0116,Controllable Procedural Generation of Race Track Surroundings for Iterative Level Design,https://doi.org/10.1109/cog64752.2025.11114175,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1109/cog64752.2025.11114175"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=Controllable+Procedural+Generation+of+Race+Track+Surroundings+for+Iterative+Level+Design&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=Controllable+Procedural+Generation+of+Race+Track+Surroundings+for+Iterative+Level+Design&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
C0125,EvoScenario: Integrating Road Structures into Critical Scenario Generation for Autonomous Driving System Testing,https://doi.org/10.1109/issre59848.2023.00054,"[{""route_type"":""publisher_or_doi"",""url"":""https://doi.org/10.1109/issre59848.2023.00054"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_202"",""observed_result"":""Accepted or asynchronous response observed; no archiveable full text was added.""},{""route_type"":""title_metadata_search"",""url"":""https://api.crossref.org/works?query.title=EvoScenario%3A+Integrating+Road+Structures+into+Critical+Scenario+Generation+for+Autonomous+Driving+System+Testing&rows=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_429"",""observed_result"":""Request was rate-limited; no availability conclusion was drawn.""},{""route_type"":""scholarly_index_search"",""url"":""https://api.openalex.org/works?search=EvoScenario%3A+Integrating+Road+Structures+into+Critical+Scenario+Generation+for+Autonomous+Driving+System+Testing&per-page=5"",""retrieved_on"":""2026-07-06"",""observed_status"":""http_200"",""observed_result"":""Response received; no archiveable full text was added in this non-exhaustive pass.""}]",Non-exhaustive access limitation: No independently verifiable lawful full text or accepted manuscript was found,"user-fetch: obtain a lawful copy through the cited publisher, library, or author"
