cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
Chen2008InteractiveProcedural,NR,adjacent,NR,road_network,waypoint_graph,constructive; human_designed,geometry_synthesis; mutation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,water/park/forest/height/population-density input maps; tensor-field design; graph-edit operations,https://web.engr.oregonstate.edu/~zhange/images/street_sig08.pdf (Abstract; Sections 3; 5; 6.1-6.4; Figure 2),Direct source. Generates street networks from tensor fields as graphs and supports user-controlled tensor-field and graph editing; no course/simulator claim is made.
EsriNodateArcGISCityEngine,NR,adjacent,NR,world_asset,NR,environment_design,geometry_synthesis,NR,NR,NR,NR,NR,NR,CityEngine,NR,NR,NR,NR,https://www.esri.com/en-us/arcgis/products/arcgis-cityengine/overview (page title/description and 3D GIS for urban design),Unsealed evidence draft; the inspected official overview supports procedural urban environment creation but does not expose a rule-language representation or interchange format.
Heilmeier2020MinimumCurvature,NR,ground,autonomous race car,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,https://doi.org/10.1080/00423114.2019.1631455 (publisher article-title heading),Unsealed evidence draft; limited official endpoint access exposed only title metadata and no abstract-derived method claims were used.
Herman2021LearnRace,NR,ground,simulated race car,closed_track,NR,NR,NR,NR,ADE to centerline,NR,NR,Track01 Thruxton and Track02 Anglesey train; Track03 Vegas test; 10600 samples per sensor/action dimension; nine laps per training track; one-hour pre-evaluation on the test track,ECP; episode duration; AATS; ADE to centerline; trajectory admissibility; trajectory efficiency; movement smoothness,Arrival simulator on Unreal Engine 4; Gym interface; TCP/UDP interaction; CARLA integration,NR,official_open,academic release of simulator; L2R framework; baseline implementations,github.com/learn-to-race/l2r,https://openaccess.thecvf.com/content/ICCV2021/papers/Herman_Learn-To-Race_A_Multimodal_Control_Environment_for_Autonomous_Racing_ICCV_2021_paper.pdf (Sections 3.1-3.2; 4.1-4.4; Tables 1-4),Unsealed evidence draft; scanned-dataset and custom track construction are reported but no serialized geometry schema or algorithmic generator is documented.
Ikram2023ProceduralGeneration,NR,ground,autonomous road vehicle/testing target,road_network,parametric_curve,constructive; stochastic_procedural,geometry_synthesis,by_construction,radius and radius-derivative distributions; 35-45 m input circles,NR,qualitative shape variation,NR,20 random n-way roundabouts; 30 fixed-input three-way roundabouts,NR,OpenDRIVE road description,NR,NR,NR,https://arxiv.org/pdf/2303.17900 (Sections III Classic Roundabout Generation and Turbo Roundabout Generation; Section IV Evaluation),Unsealed evidence draft; OpenDRIVE rule compliance is reported for road connections and no separate collision or topology proof is reported.
IndyAutonomousChallengeNodateIndyAutonomous,NR,ground,attacker and defender race cars,fixed_benchmark,NR,NR,NR,NR,prescribed racing-line and lateral-distance constraints,pass success; achieved speed; two-lap attempt limit,NR,NR,completed pass definition; 15 m longitudinal gap; return to defensive line; lateral-distance/racing-line constraints,physical competition with CURWB/MyLaps telemetry,NR,NR,NR,NR,https://www.indyautonomouschallenge.com/s/2022-ACTMS-Rules-v100.pdf (Sections 4.4; 4.6; 4.8; 4.8.1; and 7),Unsealed evidence draft; the rules define competition constraints and outcomes but no generator or generated-geometry metrics.
Jain2020ComputingRacing,NR,ground,autonomous race car,NR,centerline_plus_width,NR,boundary_case,constraint_solver,NR,minimum traversal/lap time,NR,NR,two ETH Zurich 1/43-scale tracks and one UC Berkeley 1/10-scale track,NR,NR,official_open,NR,centerline XY waypoints; track width; vehicle mass m; center-of-gravity distances lf and lr,"https://arxiv.org/abs/2002.04794 (Abstract; Introduction; Sections II, IV-A, IV-B, and V)",Direct source. Boundary evidence only: Bayesian optimization searches smooth racing-line trajectories on a supplied track and does not generate course geometry.
Kaufmann2018DeepDrone,NR,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,NR,NR,NR,20000 static-track simulation images; 100000 random-gate-position images; 25000 static real images; 15000 dynamic real images,expert recovery within a distance margin; track-completion evaluation,simulated environment; physical quadrotor,NR,NR,NR,NR,https://proceedings.mlr.press/v87/kaufmann18a/kaufmann18a.pdf (Sections 3.1 and 4; supplementary Sections 6.1-6.2),Unsealed evidence draft; moving-gate layout variation is documented but no explicit geometric validity check or named diversity statistic is reported.
Krishnan2021AirLearning,NR,aerial,UAV,world_asset,NR,environment_design,task_selection,NR,NR,NR,NR,NR,success rate and additional quality-of-flight metrics,UE4 plus Microsoft AirSim via an OpenAI Gym interface,NR,official_open,linked UE4 environment-generator and RL repositories,official Air Learning repository,https://github.com/harvard-edge/airlearning (Key features; Air Learning Environment Generator; Air Learning RL; and How to get it),Unsealed evidence draft; the environment is configurable and randomized for RL training but generated-environment geometric validity and numeric metric results are not reported at the README locator.
Loquercio2020DeepDrone,NR,aerial,quadrotor,gate_chain,gate_poses,stochastic_procedural,geometry_synthesis,simulation_validation,NR,NR,NR,20000 static and 100000 dynamic simulated images; 25000 static and 15000 additional dynamic real images; approximately 10000 appendix-dataset real images,DAgger recovery margin; task completion; lap time; RMSE; randomization ablations,simulation and physical quadrotor,NR,official_open,trained models referenced on the project page,project page source code and trained models,https://rpg.ifi.uzh.ch/docs/TRO19_Loquercio.pdf (Section III-A Training Procedure; Section IV-B/IV-C; Tables I-II; Appendix C),Unsealed evidence draft; visual domain randomization and moving-gate layouts are documented but explicit course-topology checking is not reported.
