cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
DRAFT_C0013,core,adjacent,kart,closed_track,sampled_centerline,stochastic_procedural,geometry_synthesis,repair_projection,path_size,track_quality_factors,pairwise_track_difference,NR,2D_kart_game;participant_survey,Unity,NR,official_open,NR,source_code_repository,"survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. Abstract;vehicle=PDF p. 1 Sec. Introduction;course_object=PDF p. 1 Sec. Abstract;representation_family=PDF p. 1 Sec. Abstract;generator_family=PDF p. 1 Sec. Abstract;generation_role=PDF p. 1 Sec. Abstract;validity_strategy=PDF p. 1 Sec. Abstract;geometry_metrics=PDF p. 6 Sec. V;difficulty_metrics=PDF p. 2 Sec. II-A;diversity_metrics=PDF p. 1 Sec. Abstract;evaluation_suite=PDF p. 1 Sec. Abstract;simulator=PDF p. 1 Sec. Abstract;code_status=PDF p. 8 Sec. VI;reproducibility_fields=PDF p. 8 Sec. VI",NR
DRAFT_C0021,core,ground,bipedal_walker,world_asset,tile_grid,search_evolutionary;environment_design,geometry_synthesis;task_selection;mutation,not_reported,shortest_path_length;number_of_blocks,regret;return,NR,level_replay_buffer;domain_randomization_samples,MiniHack;MiniGrid;BipedalWalker,MiniHack;MiniGrid;BipedalWalker,NR,official_open,NR,open_source_implementation,"survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. Abstract;vehicle=PDF p. 1 Sec. Abstract;course_object=PDF p. 2 Fig. 1;representation_family=PDF p. 23 Sec. C.1;generator_family=PDF p. 3 Sec. 3;generation_role=PDF p. 3 Algorithm 1;validity_strategy=PDF p. 3 Sec. 3;geometry_metrics=PDF p. 4 Fig. 3;difficulty_metrics=PDF p. 3 Sec. 3;training_distribution=PDF p. 23 Sec. C.2;evaluation_suite=PDF p. 4 Sec. 4;simulator=PDF p. 23 Sec. C.1;code_status=PDF p. 1 Sec. 1;reproducibility_fields=PDF p. 1 Sec. 1",NR
DRAFT_C0023,core,ground,autonomous_car,open_corridor,sampled_centerline,search_evolutionary,geometry_synthesis;mutation,not_reported,NR,lane_center_distance,sparseness,NR,BeamNG_lane_keeping;MNIST,BeamNG,JSON,official_open,official_open,source_code;objects;experimental_data,"survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. Abstract;vehicle=PDF p. 1 Sec. Abstract;course_object=PDF p. 4 Fig. 3;representation_family=PDF p. 4 Sec. 4.2;generator_family=PDF p. 5 Sec. 5;generation_role=PDF p. 5 Algorithm 1;validity_strategy=PDF p. 4 Sec. 4.2;difficulty_metrics=PDF p. 6 Sec. 5.1.2;diversity_metrics=PDF p. 6 Sec. 5.1.1;evaluation_suite=PDF p. 1 Sec. Abstract;simulator=PDF p. 4 Sec. 4.2;export_format=PDF p. 4 Sec. 4.2;code_status=PDF p. 5 Sec. 5;asset_status=PDF p. 11 Sec. 7.4;reproducibility_fields=PDF p. 11 Sec. 7.4",NR
DRAFT_C0107,core,ground,Pioneer_3_AT;lane_keeping_vehicle,open_corridor;world_asset,tile_grid;sampled_centerline,search_evolutionary,geometry_synthesis,rejection,NR,fault_revealing_fitness,Jaccard_distance,NR,smart_thermostat;robot_obstacle_avoidance;lane_keeping,Player_Stage;SBST2021_test_pipeline,NR,official_open,NR,source_code_repository,"survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. 1;vehicle=PDF p. 1 Sec. 1;course_object=PDF p. 2 Sec. 1;representation_family=PDF p. 4 Sec. 3;generator_family=PDF p. 1 Sec. Abstract;generation_role=PDF p. 2 Sec. 1;validity_strategy=PDF p. 18 Sec. 8;difficulty_metrics=PDF p. 1 Sec. Abstract;diversity_metrics=PDF p. 1 Sec. Abstract;evaluation_suite=PDF p. 1 Sec. Abstract;simulator=PDF p. 18 Sec. 8;code_status=PDF p. 2 Sec. 1;reproducibility_fields=PDF p. 20 Ref. 24",NR
DRAFT_C0118,core,ground,Mana_robot,world_asset,occupancy_heightfield_mesh,stochastic_procedural,geometry_synthesis,by_construction,map_size;obstruction_percentage;smoothness,mission_success_rate;mission_duration;trajectory_tortuousness,NR,NR,NR,MORSE,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 2 Sec. Abstract;domain=PDF p. 2 Sec. I;vehicle=PDF p. 3 Sec. III;course_object=PDF p. 2 Sec. Abstract;representation_family=PDF p. 4 Fig. 3;generator_family=PDF p. 4 Sec. IV-A;generation_role=PDF p. 4 Sec. IV-A;validity_strategy=PDF p. 4 Sec. IV-A;geometry_metrics=PDF p. 4 Sec. IV-A;difficulty_metrics=PDF p. 6 Sec. V;simulator=PDF p. 3 Sec. III",NR
DRAFT_C0128,supporting,ground,road_vehicle,road_network;fixed_benchmark,waypoint_graph,NR,benchmark_only,not_reported,driving_corridor_size;obstacle_count,scenario_complexity,NR,NR,motion_planning_benchmark,NR,XML,official_open,official_open,unique_benchmark_ID;XML_scenario,"survey_evidence_tier=PDF p. 1 Sec. I;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Sec. I;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 6 Sec. V-C;generation_role=PDF p. 1 Sec. I;validity_strategy=PDF p. 2 Sec. II-B;geometry_metrics=PDF p. 2 Sec. I;difficulty_metrics=PDF p. 2 Sec. I;evaluation_suite=PDF p. 1 Sec. I;export_format=PDF p. 2 Sec. I;code_status=PDF p. 2 Sec. I;asset_status=PDF p. 2 Sec. I;reproducibility_fields=PDF p. 2 Sec. II-A",NR
DRAFT_C0143,core,ground,lane_assist_car,open_corridor,sampled_centerline,learned_generative,geometry_synthesis,rejection,NR,body_outside_lane_percentage,median_pairwise_Euclidean_distance,fitness_biased_valid_test_batch,20_two_hour_experiments;random_search;Frenetic,NR,NR,closed,NR,NR,"survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. 1;vehicle=PDF p. 1 Sec. 1;course_object=PDF p. 1 Sec. 1;representation_family=PDF p. 2 Sec. 2.1;generator_family=PDF p. 2 Sec. 2.2;generation_role=PDF p. 2 Algorithm 1;validity_strategy=PDF p. 2 Sec. 2.1;difficulty_metrics=PDF p. 1 Sec. 1;diversity_metrics=PDF p. 4 Sec. 3.2;training_distribution=PDF p. 2 Sec. 2.2;evaluation_suite=PDF p. 3 Sec. 3.1;code_status=PDF p. 5 Sec. 4",NR
DRAFT_C0145,core,ground,ant_robot;autonomous_vehicle,open_corridor;world_asset,tile_grid;sampled_centerline,search_evolutionary;environment_design,geometry_synthesis;mutation,rejection,NR,surrogate_reward;simulator_fitness,test_suite_diversity,RL_pretraining_with_surrogate_rewards,ant_maze;BeamNG_lane_keeping,MuJoCo;BeamNG,NR,official_open,NR,Zenodo_replication_package,"survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. 1;vehicle=PDF p. 1 Sec. Abstract;course_object=PDF p. 1 Sec. Abstract;representation_family=PDF p. 5 Sec. 3;generator_family=PDF p. 1 Sec. Abstract;generation_role=PDF p. 10 Algorithm 1;validity_strategy=PDF p. 5 Sec. 3;difficulty_metrics=PDF p. 22 Sec. 6.3.1;diversity_metrics=PDF p. 22 Sec. 6.3.1;training_distribution=PDF p. 2 Sec. 1;evaluation_suite=PDF p. 20 Sec. 6.2;simulator=PDF p. 20 Fig. 10;code_status=PDF p. 28 Sec. 6.5;reproducibility_fields=PDF p. 28 Sec. 6.5",NR
DRAFT_C0158,core,ground,road_vehicle,road_network,sampled_centerline;waypoint_graph,learned_generative,geometry_synthesis,not_reported,GEO;TOPO,NR,diversity_score;FID_discrepancy,Waymo_Open_Motion_dataset,5000_generated_scenarios;70000_ground_truth_scenarios,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 2 Sec. III-B.1;course_object=PDF p. 1 Sec. Abstract;representation_family=PDF p. 2 Sec. III-B.1;generator_family=PDF p. 2 Sec. III-A;generation_role=PDF p. 2 Sec. III-A;validity_strategy=PDF p. 8 Sec. V;geometry_metrics=PDF p. 6 Sec. IV-C.2;diversity_metrics=PDF p. 5 Table I;training_distribution=PDF p. 6 Sec. IV-C.2;evaluation_suite=PDF p. 1 Sec. Abstract",NR
DRAFT_C0195,supporting,ground,race_car,closed_track;fixed_benchmark,sampled_centerline;centerline_plus_width,NR,benchmark_only,not_reported,track_width;curvature_profile,NR,NR,NR,NR,NR,CSV,not_applicable,official_open,pinned_commit;track_and_raceline_CSV_schema,"survey_evidence_tier=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L1-L3;domain=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L7-L32;vehicle=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L7-L32;course_object=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L1-L3;representation_family=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L40-L46;generation_role=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L1-L3;validity_strategy=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L48-L50;geometry_metrics=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L40-L46;export_format=repo@e59595d1f3573b30d1ded6a08984935b957688e0 tracks/Austin.csv#L1;code_status=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L1-L3;asset_status=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L1-L3;reproducibility_fields=repo@e59595d1f3573b30d1ded6a08984935b957688e0 README.md#L40-L46",NR
