cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
DRAFT_C0006,core,ground,autonomous driving vehicle,road_network,segment_grammar;waypoint_graph,stochastic_procedural,geometry_synthesis,rejection,NR,NR,NR,1-to-1000 procedurally generated training scenes,RL generalization and safety-generalization suites,PGDrive,NR,official_open,NR,Algorithm 1;road-block parameter spaces;default lane width lane count and traffic density,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 3 Sec. III-A;representation_family=PDF p. 3 Sec. III-A;generator_family=PDF p. 3 Sec. III-B Algorithm 1;generation_role=PDF p. 3 Sec. III-B Algorithm 1;validity_strategy=PDF p. 3 Sec. III-B Algorithm 1 lines 16-26;training_distribution=PDF p. 6 Sec. IV-B;evaluation_suite=PDF p. 6 Secs. IV-B-IV-C;simulator=PDF p. 1 Sec. I;code_status=PDF p. 1 Abstract and Sec. I;reproducibility_fields=PDF p. 3 Secs. III-A-III-B and PDF p. 6 Sec. IV-A,NR
DRAFT_C0008,core,ground,autonomous vehicle,road_network,centerline_plus_width,constructive;stochastic_procedural,geometry_synthesis,rejection,NR,NR,NR,NR,NR,NR,OpenDRIVE,NR,NR,three-phase construction;incident-road position heading and lane-count tuple,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 2 Sec. III;generator_family=PDF p. 2 Sec. III and PDF p. 3 Sec. III-A;generation_role=PDF p. 2 Sec. III;validity_strategy=PDF p. 3 Sec. III-A;export_format=PDF p. 1 Sec. I;reproducibility_fields=PDF p. 2 Sec. III and PDF p. 3 Secs. III-A-III-B,NR
DRAFT_C0009,core,ground,car,closed_track,segment_grammar,search_evolutionary,geometry_synthesis,rejection,NR,NR,curvature_profile_entropy;speed_profile_entropy,NR,human_subject_validation,TORCS,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. I;vehicle=PDF p. 1, Sec. I;course_object=PDF p. 5, Sec. V-B;representation_family=PDF p. 5, Sec. V-B-C;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 1, Abstract;validity_strategy=PDF p. 5, Algorithm 1;diversity_metrics=PDF p. 6-7, Sec. VI-A-B;evaluation_suite=PDF p. 1, Abstract;simulator=PDF p. 1, Sec. I",NR
DRAFT_C0011,core,ground,car,closed_track,segment_grammar,search_evolutionary,geometry_synthesis,by_construction;penalty,NR,NR,curvature_profile;speed_profile,NR,tester_questionnaire,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF p. 2, Sec. 3;representation_family=PDF p. 4, Sec. 4;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 1, Abstract;validity_strategy=PDF p. 4-5, Sec. 5-A;diversity_metrics=PDF p. 5, Sec. 5-B;evaluation_suite=PDF p. 1, Abstract",NR
DRAFT_C0020,core,adjacent,navigation agent,world_asset,NR,environment_design,geometry_synthesis;task_selection,NR,block count;start-goal distance;shortest path length,solved maze path length,NR,PAIRED environment-parameter distribution,zero-shot transfer on six held-out environments across five seeds,NR,NR,official_open,NR,open-source code;five random seeds,domain=PDF p. 2 Fig. 1 and Sec. 1;vehicle=PDF p. 2 Fig. 1;course_object=PDF p. 2 Fig. 1;generator_family=PDF p. 5 Sec. 4 and Algorithm 1;generation_role=PDF p. 5 Algorithm 1 and PDF p. 7 Sec. 5.1;geometry_metrics=PDF p. 6 Fig. 2 and PDF p. 8 Sec. 5.1.2;difficulty_metrics=PDF p. 6 Fig. 2;training_distribution=PDF p. 4 Sec. 3 and PDF p. 5 Algorithm 1;evaluation_suite=PDF p. 7 Fig. 3 and Sec. 5.1.2;code_status=PDF p. 5 Sec. 4;reproducibility_fields=PDF p. 5 Sec. 4 and PDF p. 6 Fig. 2,Adjacent navigation-world source; no racing-specific vehicle or simulator is claimed.
DRAFT_C0054,core,adjacent,NR,road_network,waypoint_graph,constructive;human_designed,geometry_synthesis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,survey_evidence_tier=PDF p. 1 Abstract and Sec. 1;domain=PDF p. 1 Abstract;course_object=PDF p. 1 Abstract and Sec. 3;representation_family=PDF p. 2 Sec. 3;generator_family=PDF p. 1 Abstract and PDF p. 2 Sec. 3;generation_role=PDF p. 2 Sec. 3,Adjacent-domain street-network synthesis is source-native; the paper reports no racing vehicle or release availability.
DRAFT_C0063,core,NR,NR,NR,NR,NR,geometry_synthesis,NR,NR,NR,NR,NR,NR,NR,NR,official_open,NR,num_envs;device;seeds,survey_evidence_tier=repo@cf9e9433 track_gen/_src/track_generator.py#L1-L19;generation_role=repo@cf9e9433 track_gen/_src/track_generator.py#L34-L56;code_status=repo@cf9e9433 track_gen/_src/track_generator.py#L1-L19;reproducibility_fields=repo@cf9e9433 track_gen/_src/track_generator.py#L43-L52;repo@cf9e9433 track_gen/_src/track_generator.py#L116-L136,NR
DRAFT_C0119,core,ground,autonomous race car,closed_track;fixed_benchmark,simulator_native,NR,benchmark_only,NR,track curvature,NR,NR,expert demonstrations from Track01 and Track02,three-track L2R task with reference agents and human baseline,Arrival Autonomous Racing Simulator,NR,official_open,official_open,simulator release;L2R code;expert dataset;reference implementations,domain=PDF p. 1 Abstract and Sec. 2.2;vehicle=PDF p. 1 Abstract;course_object=PDF p. 3 Sec. 3.2 and PDF p. 4 Sec. 4.1;representation_family=PDF p. 3 Sec. 3.1;generation_role=PDF p. 1 Abstract and PDF p. 4 Sec. 4.1;geometry_metrics=PDF p. 6 Table 2;training_distribution=PDF p. 4 Sec. 4.1 and Sec. 4.2;evaluation_suite=PDF p. 6 Sec. 4.4 and PDF p. 7 Sec. 6;simulator=PDF p. 3 Sec. 3.1;code_status=PDF p. 1 Abstract;asset_status=PDF p. 1 Abstract and PDF p. 4 Sec. 4.2;reproducibility_fields=PDF p. 1 Abstract and PDF p. 7 Sec. 8,Core simulator-task and fixed-track benchmark source; no source-native synthesis algorithm is specified.
DRAFT_C0121,core,aerial,quadrotor,gate_chain,gate_poses,learned_generative;environment_design,geometry_synthesis,simulation_validation,NR,relative_ranking_by_gates_passed;gate_passing_error,NR,adaptive_generated_gate_layouts,six_unseen_tracks;real_world_deployment,Flightmare,NR,NR,NR,initial_8_gate_oval;100_parallel_environments;per_gate_position_and_yaw_action_bounds;800M_training_samples,survey_evidence_tier=PDF p. 1 Abstract and Fig. 1;domain=PDF p. 1 Abstract;vehicle=PDF p. 2 Sec. III-A;course_object=PDF p. 2 Sec. III-A;representation_family=PDF p. 3 Sec. III-B.1;generator_family=PDF p. 3 Sec. III-B.1 and Sec. III-B.2;generation_role=PDF p. 3 Algorithm 1;validity_strategy=PDF p. 4 Sec. IV-A;difficulty_metrics=PDF p. 3 Sec. III-B.1;training_distribution=PDF p. 3 Sec. III-B.2;evaluation_suite=PDF p. 3 Fig. 3 and PDF p. 4 Sec. IV-A;simulator=PDF p. 3 Sec. IV-A;reproducibility_fields=PDF p. 4 Sec. IV-A,The environment policy changes each gate position and yaw from racing performance; no code or serialized course format is stated in the frozen paper.
DRAFT_C0128,supporting,ground,road_vehicle,road_network;fixed_benchmark,waypoint_graph,NR,benchmark_only,not_reported,driving_corridor_size;obstacle_count,scenario_complexity,NR,NR,motion_planning_benchmark,NR,XML,official_open,official_open,unique_benchmark_ID;XML_scenario,survey_evidence_tier=PDF p. 1 Sec. I;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Sec. I;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 6 Sec. V-C;generation_role=PDF p. 1 Sec. I;validity_strategy=PDF p. 2 Sec. II-B;geometry_metrics=PDF p. 2 Sec. I;difficulty_metrics=PDF p. 2 Sec. I;evaluation_suite=PDF p. 1 Sec. I;export_format=PDF p. 2 Sec. I;code_status=PDF p. 2 Sec. I;asset_status=PDF p. 2 Sec. I;reproducibility_fields=PDF p. 2 Sec. II-A,NR
