cite_key,survey_evidence_tier,domain,vehicle,course_object,representation_family,generator_family,generation_role,validity_strategy,geometry_metrics,difficulty_metrics,diversity_metrics,training_distribution,evaluation_suite,simulator,export_format,code_status,asset_status,reproducibility_fields,evidence_locator,coding_notes
DRAFT_C0006,core,ground,autonomous driving vehicle,road_network,segment_grammar,constructive;stochastic_procedural,geometry_synthesis,rejection,NR,NR,NR,1-to-1000 procedurally generated training scenes,RL generalization and safety-generalization suites,PGDrive,NR,NR,NR,Algorithm 1;road-block parameter spaces;default lane width lane count and traffic density,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 3 Sec. III-A;representation_family=PDF p. 3 Sec. III-A road-block and socket representation;generator_family=PDF p. 3 Sec. III-B Algorithm 1 lines 15-30;generation_role=PDF p. 3 Sec. III-B Algorithm 1;validity_strategy=PDF p. 3 Sec. III-B Algorithm 1 lines 16-26;training_distribution=PDF p. 6 Sec. IV-B;evaluation_suite=PDF p. 6 Secs. IV-B-IV-C;simulator=PDF p. 1 Sec. I;reproducibility_fields=PDF p. 3 Secs. III-A-III-B and PDF p. 6 Sec. IV-A,NR
DRAFT_C0008,core,ground,autonomous vehicle,road_network,centerline_plus_width,constructive;stochastic_procedural,geometry_synthesis;serialization,by_construction,NR,NR,NR,NR,NR,NR,OpenDRIVE,NR,NR,three-phase construction;incident-road position heading and lane-count tuple,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. I;vehicle=PDF p. 1 Abstract;course_object=PDF p. 1 Sec. I;representation_family=PDF p. 2 Sec. III and PDF p. 3 Sec. III-A.2;generator_family=PDF p. 2 Sec. III and PDF p. 3 Sec. III-A.2;generation_role=PDF p. 2 Sec. III and PDF p. 1 Sec. I OpenDRIVE output;validity_strategy=PDF p. 3 Secs. III-A.2-III-A.3 overlap-avoiding construction rules;export_format=PDF p. 1 Sec. I;reproducibility_fields=PDF p. 2 Sec. III and PDF p. 3 Secs. III-A-III-B,NR
DRAFT_C0009,core,ground,car,closed_track,segment_grammar;parametric_curve,constructive;search_evolutionary,geometry_synthesis;mutation,rejection;penalty,NR,NR,curvature_profile_entropy;speed_profile_entropy,NR,human_subject_validation,TORCS,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Sec. I;vehicle=PDF p. 1, Sec. I;course_object=PDF p. 5, Sec. V-B;representation_family=PDF p. 4, Sec. V-A;representation_family=PDF p. 5, Sec. V-B-C;generator_family=PDF p. 5, Sec. V-C;generator_family=PDF p. 1, Abstract;generation_role=PDF p. 5, Sec. V-C;generation_role=PDF p. 5, Sec. V-E;validity_strategy=PDF p. 5, Algorithm 1;validity_strategy=PDF p. 9, Sec. VII-A;diversity_metrics=PDF p. 6-7, Sec. VI-A-B;evaluation_suite=PDF p. 1, Abstract;simulator=PDF p. 1, Sec. I",NR
DRAFT_C0010,core,ground,car,open_corridor,segment_grammar,search_evolutionary,geometry_synthesis;mutation,penalty,NR,target final progress;maximum speed;final progress variance,NR,NR,NR,custom car-racing simulation,NR,NR,NR,population size 100;segment mutation probability 0.1,"survey_evidence_tier=PDF Sec. 6, Track evolution;domain=PDF Sec. 2, The car racing problem;vehicle=PDF Sec. 2, The car racing problem;course_object=PDF Sec. 6, Track evolution;representation_family=PDF p. 6, Sec. 6 (fixed-length segment sequence);generator_family=PDF Sec. 4.3, Evolutionary algorithm;generation_role=PDF Sec. 6, Track evolution;validity_strategy=PDF Sec. 6, Track evolution;difficulty_metrics=PDF Sec. 6, Fitness measures;simulator=PDF Sec. 2, The car racing problem;reproducibility_fields=PDF Sec. 4.3, Evolutionary algorithm;reproducibility_fields=PDF Sec. 6, Track evolution",NR
DRAFT_C0011,core,ground,car,closed_track,segment_grammar,constructive;search_evolutionary,geometry_synthesis;mutation,by_construction;penalty,NR,NR,curvature_profile;speed_profile,NR,tester_questionnaire,NR,NR,NR,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF p. 1, Abstract;vehicle=PDF p. 1, Abstract;course_object=PDF p. 2, Sec. 3;representation_family=PDF p. 4, Sec. 4;generator_family=PDF p. 4, Sec. 4;generator_family=PDF p. 6, Sec. 6;generation_role=PDF p. 4, Sec. 4;generation_role=PDF p. 7, Sec. 6;validity_strategy=PDF p. 4-5, Sec. 5-A;diversity_metrics=PDF p. 5, Sec. 5-B;evaluation_suite=PDF p. 1, Abstract",NR
DRAFT_C0013,core,adjacent,kart,closed_track,segment_grammar,constructive;stochastic_procedural;repair_projection,geometry_synthesis;repair,by_construction,path_size,track_quality_factors,pairwise_track_difference,NR,2D_kart_game;participant_survey,Unity,NR,NR,NR,source_code_repository,survey_evidence_tier=PDF p. 1 Sec. Abstract;domain=PDF p. 1 Sec. Abstract;vehicle=PDF p. 1 Sec. Introduction;course_object=PDF p. 1 Sec. Abstract;representation_family=PDF p. 4 Sec. IV;generator_family=PDF p. 4 Sec. IV-A;generator_family=PDF p. 5 Sec. IV-B;generator_family=PDF p. 6 Sec. IV-D;generation_role=PDF p. 4 Sec. IV;generation_role=PDF p. 6 Sec. IV-D;validity_strategy=PDF p. 6 Sec. IV-E;geometry_metrics=PDF p. 6 Sec. V;difficulty_metrics=PDF p. 2 Sec. II-A;diversity_metrics=PDF p. 1 Sec. Abstract;evaluation_suite=PDF p. 1 Sec. Abstract;simulator=PDF p. 1 Sec. Abstract;reproducibility_fields=PDF p. 8 Sec. VI,NR
DRAFT_C0014,core,ground,ALKS-equipped vehicle,road_network,parametric_curve,constructive;search_evolutionary,geometry_synthesis;mutation;boundary_case,not_reported,Frechet distance,road-departure percentage and failure count,average and maximum Frechet distance,NR,three GA-Bezier configurations,BeamNG.research,NR,NR,NR,control-point encoding;GA population and time budgets;three configurations,survey_evidence_tier=PDF p. 1 Abstract;domain=PDF p. 1 Sec. 1;vehicle=PDF p. 1 Abstract;course_object=PDF p. 1 Sec. 2;representation_family=PDF p. 1 Sec. 2;generator_family=PDF p. 1 Abstract and PDF p. 2 Sec. 2;generation_role=PDF p. 1 Abstract and PDF p. 2 Sec. 2;validity_strategy=PDF p. 2 Secs. 2-3 validity-check description and invalid-candidate handling;geometry_metrics=PDF p. 2 Sec. 2;difficulty_metrics=PDF p. 2 Sec. 2 and PDF p. 3 Tables 1-3;diversity_metrics=PDF p. 2 Sec. 2 and PDF p. 3 Tables 1-3;evaluation_suite=PDF p. 2 Sec. 3;simulator=PDF p. 2 Sec. 2;reproducibility_fields=PDF p. 2 Sec. 2 and PDF p. 3 Sec. 4,NR
DRAFT_C0015,supporting,ground,M1_passenger_car,open_corridor,NR,NR,NR,NR,NR,NR,NR,NR,ALKS_type_approval_tests,NR,NR,NR,NR,NR,survey_evidence_tier=PDF p. 4 Introduction;domain=PDF p. 4 Introduction;vehicle=PDF p. 4 Introduction;course_object=PDF p. 4 Introduction;evaluation_suite=PDF p. 3 Contents and PDF p. 4 Introduction,Supporting-only: the regulation establishes a divided lane-constrained operating context and approval testing but no course-generation method.
DRAFT_C0016,core,adjacent,continuous-control car,closed_track,parametric_curve,constructive;stochastic_procedural;environment_design;selection_replay,geometry_synthesis;task_selection,by_construction;penalty,NR,learning potential;regret,NR,adaptive replay of random and teacher-proposed levels,maze domain;CarRacing OOD human-designed mazes and Formula 1 tracks,CarRacing,NR,official_open,NR,NR,"survey_evidence_tier=PDF p. 1, Abstract;domain=PDF Sec. 1, Introduction;vehicle=PDF Fig. 1, CarRacing tracks;course_object=PDF Fig. 1, CarRacing tracks;representation_family=PDF p. 8, Sec. 6.2 (Bezier tracks and control points);generator_family=PDF p. 8, Sec. 6.2 (Bezier control-point constructor);generator_family=PDF p. 8, Sec. 6.2 (random Bezier tracks);generator_family=PDF p. 2, Sec. 1 (adaptive teacher and replay curator);generation_role=PDF p. 8, Sec. 6.2 (track synthesis);generation_role=PDF pp. 2-3, Secs. 1 and 2.3 (prioritized replay);validity_strategy=PDF p. 8, Sec. 6.2 (closed-loop curvature constraints);validity_strategy=PDF p. 3, Sec. 2.2 (regret disincentive for unsolvable levels);difficulty_metrics=PDF Sec. 1, Introduction;training_distribution=PDF Sec. 1, Introduction;evaluation_suite=PDF Sec. 1, Introduction;simulator=PDF Fig. 1, CarRacing tracks;code_status=PDF Sec. 1, Introduction (facebookresearch/dcd URL)",NR
DRAFT_C0017,core,ground,car,closed_track,centerline_plus_width,constructive;stochastic_procedural,geometry_synthesis,rejection,NR,lap_complete_percent;tile_visit_reward,NR,NR,CarRacing-v3,Gymnasium_Box2D,NR,NR,NR,seed;track_constants,survey_evidence_tier=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L107-L201;domain=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L107-L149;vehicle=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L144-L149;course_object=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L308-L421;representation_family=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L40-L52 and L381-L470;generator_family=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L329-L383;generator_family=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L311-L326;generation_role=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L329-L470;validity_strategy=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L390-L421;difficulty_metrics=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L89-L101;evaluation_suite=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L107-L201;simulator=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L7-L10;reproducibility_fields=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L40-L52;reproducibility_fields=repo@gymnasium-v1.2.3 gymnasium/envs/box2d/car_racing.py#L498-L520,NR
